Tag	1094508.3	203119.11
TAG2644	"Tsac_2537,Tsac_2549"	Cthe_2580
TAG2648	-	-
TAG2649	Tsac_2274	-
TAG2650	Tsac_2273	-
TAG2672	Tsac_1991	Cthe_0617
TAG2693	-	-
TAG2695	Tsac_1469	-
TAG2703	-	Cthe_2807
TAG2713	Tsac_1521	-
TAG2714	Tsac_1275	-
TAG2716	Tsac_1278	Cthe_2548
TAG2738	Tsac_1201	Cthe_1112
TAG2757	Tsac_0589	-
TAG2759	Tsac_1625	-
TAG2760	Tsac_2662	Cthe_0407
TAG2761	Tsac_0017	-
TAG2764	Tsac_0388	Cthe_2298
TAG2769	Tsac_1714	Cthe_1316
TAG2776	Tsac_2040	Cthe_1312
TAG2778	Tsac_2045	-
TAG2779	Tsac_2060	Cthe_1324
TAG2802	Tsac_1494	-
TAG2803	Tsac_1493	-
TAG2808	Tsac_1497	-
TAG2810	Tsac_1432	Cthe_2575
TAG2819	Tsac_1589	-
TAG2820	Tsac_1580	Cthe_0450
TAG2822	Tsac_1565	Cthe_0977
TAG2825	-	Cthe_1305
TAG2835	Tsac_1761	Cthe_0771
TAG2836	Tsac_1764	Cthe_0768
TAG2847	Tsac_2810	Cthe_2464
TAG2866	Tsac_2327	-
TAG2869	Tsac_0245	-
TAG2871	Tsac_0916	Cthe_3121
TAG2883	-	-
TAG2884	-	-
TAG2885	Tsac_0053	-
TAG2888	Tsac_1853	Cthe_1091
TAG2891	Tsac_2551	Cthe_0188
TAG2894	-	-
TAG2901	"Tsac_0841,Tsac_0849"	-
TAG2904	-	Cthe_2459
TAG2907	Tsac_0411	-
TAG2909	Tsac_0248	Cthe_2787
TAG2916	Tsac_0215	-
TAG2921	-	Cthe_0882
TAG2922	Tsac_0121	-
TAG2930	Tsac_0210	-
TAG2965	-	Cthe_2252
TAG2967	Tsac_2164	Cthe_0509
TAG2971	Tsac_0753	-
TAG2983	Tsac_0034	-
TAG2989	-	-
TAG2996	"Tsac_0300,Tsac_0822"	Cthe_2616
TAG2997	Tsac_0298	Cthe_2618
TAG3001	Tsac_1228	Cthe_0683
TAG3006	Tsac_2631	Cthe_0365
TAG3007	-	Cthe_2433
TAG3012	"Tsac_1405,Tsac_0419"	Cthe_0283
TAG3019	Tsac_1259	-
TAG3024	Tsac_1630	-
TAG3025	Tsac_1466	-
TAG3030	Tsac_0619	-
TAG3034	-	Cthe_2310
TAG3036	Tsac_0441	-
TAG3041	-	Cthe_1256
TAG3046	Tsac_1547	-
TAG3047	"Tsac_0138,Tsac_1454"	Cthe_1824
TAG3061	Tsac_2290	-
TAG3063	-	Cthe_1202
TAG3064	Tsac_1052	-
TAG3075	Tsac_1980	Cthe_3200
TAG3092	Tsac_0223	-
TAG3093	Tsac_0218	"Cthe_2445,Cthe_0388"
TAG3094	Tsac_0217	-
TAG3099	-	-
TAG3100	Tsac_0514	Cthe_0301
TAG3112	-	-
TAG3121	-	-
TAG3123	Tsac_1284	-
TAG3124	-	-
TAG3137	-	-
TAG3145	-	-
TAG3147	-	-
TAG3181	-	-
TAG3190	-	-
TAG3196	Tsac_2666	Cthe_2643
TAG3197	Tsac_2665	Cthe_2639
TAG3220	-	-
TAG3227	Tsac_0207	Cthe_1584
TAG3263	-	-
TAG3331	-	-
TAG3335	-	-
TAG3360	-	-
TAG3364	-	-
TAG3365	-	Cthe_1838
TAG3381	Tsac_2386	-
TAG3382	Tsac_2387	-
TAG3389	-	-
TAG3392	-	Cthe_2742
TAG3393	Tsac_0317	Cthe_2597
TAG3408	Tsac_1498	Cthe_1384
TAG3426	Tsac_1248	Cthe_2737
TAG3428	-	Cthe_0115
TAG3464	-	Cthe_0684
TAG3469	Tsac_2115	Cthe_0983
TAG3471	Tsac_2015	Cthe_0875
TAG3472	Tsac_2009	Cthe_1411
TAG3479	Tsac_0026	Cthe_0723
TAG3482	Tsac_2195	Cthe_0215
TAG3485	Tsac_2669	Cthe_2640
TAG3492	Tsac_2203	Cthe_1228
TAG3495	Tsac_2205	Cthe_2071
TAG3506	Tsac_0174	-
TAG3534	Tsac_1112	-
TAG3551	Tsac_2577	Cthe_1245
TAG3559	Tsac_0237	Cthe_0127
TAG3580	Tsac_0037	"Cthe_1068,Cthe_1582"
TAG3587	Tsac_0802	Cthe_1863
TAG3588	Tsac_0961	Cthe_2973
TAG3590	"Tsac_1049,Tsac_2087,Tsac_2222,Tsac_0285"	"Cthe_0101,Cthe_2579,Cthe_0394"
TAG3595	Tsac_2486	Cthe_0137
TAG3623	Tsac_1653	Cthe_2526
TAG3628	-	-
TAG3629	-	-
TAG3640	"Tsac_0130,Tsac_1804"	"Cthe_2284,Cthe_0490"
TAG3660	"Tsac_0133,Tsac_0081"	Cthe_0363
TAG3662	Tsac_0757	"Cthe_1953,Cthe_2415"
TAG3670	Tsac_0435	Cthe_2326
TAG3672	Tsac_0444	-
TAG3674	-	Cthe_0907
TAG3702	-	-
TAG3712	-	Cthe_1852
TAG3740	"Tsac_1821,Tsac_1914,Tsac_0354,Tsac_0889"	Cthe_3099
TAG3777	-	Cthe_2738
TAG3779	-	Cthe_0580
TAG3782	Tsac_0416	Cthe_0423
TAG3784	-	-
TAG3787	Tsac_1702	Cthe_0953
TAG3791	Tsac_1686	Cthe_0958
TAG3847	Tsac_0789	Cthe_2414
TAG3850	Tsac_1813	Cthe_1004
TAG3856	Tsac_1750	Cthe_0936
TAG3857	Tsac_1751	-
TAG3858	"Tsac_0175,Tsac_0176"	Cthe_0169
TAG3860	Tsac_1229	Cthe_0170
TAG3864	-	"Cthe_1201,Cthe_0622"
TAG3868	Tsac_1603	Cthe_2058
TAG3872	Tsac_1807	Cthe_0493
TAG3873	Tsac_1794	Cthe_0479
TAG3895	-	Cthe_0705
TAG3915	"Tsac_2152,Tsac_2467"	-
TAG3917	Tsac_0195	-
TAG3918	-	"Cthe_1284,Cthe_0282"
TAG3924	-	-
TAG3927	-	-
TAG3930	Tsac_1492	Cthe_0368
TAG3931	Tsac_0979	Cthe_1790
TAG3933	Tsac_0103	Cthe_2685
TAG3938	Tsac_1774	Cthe_0460
TAG3939	-	Cthe_1787
TAG3946	Tsac_1148	-
TAG3983	-	Cthe_0680
TAG3996	Tsac_0652	-
TAG4000	-	-
TAG4004	-	-
TAG4015	-	Cthe_3119
TAG4032	Tsac_2610	Cthe_2070
TAG4037	-	Cthe_0696
TAG4078	Tsac_2544	-
TAG4098	-	Cthe_0370
TAG4108	Tsac_1045	Cthe_2939
TAG4110	Tsac_1012	Cthe_2904
TAG4111	Tsac_2085	Cthe_0372
TAG4134	-	-
TAG4136	Tsac_1231	Cthe_0201
TAG4137	Tsac_1528	-
TAG4138	Tsac_2127	"Cthe_0341,Cthe_0429"
TAG4140	-	Cthe_0430
TAG4170	Tsac_1887	Cthe_0694
TAG4181	Tsac_0677	Cthe_3022
TAG4184	-	Cthe_1399
TAG4186	Tsac_1355	Cthe_0357
TAG4190	Tsac_1596	Cthe_1022
TAG4191	Tsac_1593	Cthe_1025
TAG4199	"Tsac_1079,Tsac_0466,Tsac_0477,Tsac_0844"	"Cthe_2005,Cthe_2750,Cthe_0822"
TAG4220	Tsac_2358	-
TAG4239	Tsac_0967	Cthe_1282
TAG4278	Tsac_2210	Cthe_0556
TAG4282	Tsac_0371	Cthe_0265
TAG4327	-	-
TAG4335	Tsac_1955	-
TAG4340	Tsac_0997	Cthe_2718
TAG4341	Tsac_0999	Cthe_2720
TAG4348	-	Cthe_1426
TAG4349	Tsac_2475	Cthe_0893
TAG4370	Tsac_1616	Cthe_0786
TAG4381	Tsac_2238	-
TAG4403	Tsac_2201	Cthe_0732
TAG4472	-	-
TAG4496	Tsac_2039	-
TAG4512	Tsac_2735	-
TAG4516	Tsac_1778	Cthe_0462
TAG4525	-	-
TAG4614	"Tsac_0369,Tsac_0725"	-
TAG4617	Tsac_2492	"Cthe_1062,Cthe_2386"
TAG4629	Tsac_0924	Cthe_0409
TAG4690	"Tsac_1554,Tsac_1989"	"Cthe_1064,Cthe_0720"
TAG4693	Tsac_1694	Cthe_1346
TAG4694	Tsac_2489	-
TAG4701	Tsac_0524	Cthe_2257
TAG4707	Tsac_1063	Cthe_0869
TAG4711	Tsac_0640	Cthe_2105
TAG4712	Tsac_0641	Cthe_2104
TAG4717	Tsac_0667	Cthe_2092
TAG4731	Tsac_2094	-
TAG4734	Tsac_0735	Cthe_2629
TAG4756	-	Cthe_0021
TAG4759	Tsac_1711	Cthe_0581
TAG4767	-	-
TAG4770	Tsac_0483	-
TAG4775	Tsac_2168	-
TAG4778	"Tsac_1585,Tsac_1586"	"Cthe_1603,Cthe_1604"
TAG4781	Tsac_2655	Cthe_1458
TAG4791	-	Cthe_1717
TAG4799	-	Cthe_2489
TAG4813	Tsac_1561	Cthe_0981
TAG4816	Tsac_0732	Cthe_2626
TAG4820	Tsac_0270	Cthe_0611
TAG4833	Tsac_0990	Cthe_2066
TAG4835	Tsac_2073	Cthe_3155
TAG4846	Tsac_2723	-
TAG4869	Tsac_0862	-
TAG4893	Tsac_0819	-
TAG4895	Tsac_0829	-
TAG4897	Tsac_1482	Cthe_0716
TAG4899	Tsac_0941	Cthe_2399
TAG4904	Tsac_0958	Cthe_2581
TAG4929	Tsac_0306	-
TAG4932	-	Cthe_1486
TAG4944	-	Cthe_1749
TAG4951	Tsac_0816	Cthe_0042
TAG4963	Tsac_2181	-
TAG4964	Tsac_2183	-
TAG4974	Tsac_0064	-
TAG4979	-	Cthe_2566
TAG5019	"Tsac_1191,Tsac_1302,Tsac_1518,Tsac_1835"	"Cthe_1074,Cthe_0557"
TAG5062	-	fig|203119.11.peg.3190
TAG5064	Tsac_2277	-
TAG5090	Tsac_2458	Cthe_0067
TAG5112	"Tsac_1254,Tsac_1338"	Cthe_0111
TAG5121	Tsac_0646	Cthe_2102
TAG5132	Tsac_2288	-
TAG5141	Tsac_2299	-
TAG5198	Tsac_2347	-
TAG5215	-	Cthe_1690
TAG5223	Tsac_1987	-
TAG5230	Tsac_0563	Cthe_2517
TAG5249	Tsac_2567	-
TAG5287	Tsac_2505	-
TAG5288	Tsac_2315	-
TAG5295	-	Cthe_1654
TAG5296	-	fig|203119.11.peg.1750
TAG5297	-	Cthe_1652
TAG5298	-	Cthe_1650
TAG5299	-	Cthe_1647
TAG5300	-	Cthe_1645
TAG5304	Tsac_1810	-
TAG5308	"Tsac_2568,Tsac_0266,Tsac_0969"	-
TAG5316	"Tsac_1258,Tsac_1449,Tsac_0498"	-
TAG5331	-	Cthe_0518
TAG5341	Tsac_1365	-
TAG5343	Tsac_0612	"Cthe_0129,Cthe_1378"
TAG5350	Tsac_2207	Cthe_1805
TAG5351	Tsac_2533	-
TAG5353	Tsac_2515	-
TAG5374	-	Cthe_0703
TAG5377	Tsac_2054	Cthe_0150
TAG5394	-	Cthe_2467
TAG5425	Tsac_1139	-
TAG5439	Tsac_2473	Cthe_0722
TAG5442	Tsac_0019	-
TAG5443	Tsac_1500	-
TAG5493	-	-
TAG5511	Tsac_0362	-
TAG5541	Tsac_1195	-
TAG5579	Tsac_1727	"Cthe_1516,Cthe_0575"
TAG5709	-	Cthe_1437
TAG5734	Tsac_2434	-
TAG5741	-	Cthe_2475
TAG5742	-	Cthe_2476
TAG5745	-	Cthe_2479
TAG5762	Tsac_1606	-
TAG5807	Tsac_1567	Cthe_1041
TAG5903	Tsac_0943	Cthe_0699
TAG5917	Tsac_1860	-
TAG5924	"Tsac_1857,Tsac_2159"	Cthe_0755
TAG5961	-	-
TAG5994	Tsac_1747	Cthe_1026
TAG6061	-	-
TAG6069	Tsac_0651	Cthe_2098
TAG6080	Tsac_2600	-
TAG6082	Tsac_0157	-
TAG6083	Tsac_0162	-
TAG6122	"Tsac_1121,Tsac_0182,Tsac_2216"	-
TAG6142	Tsac_2170	-
TAG6192	Tsac_1443	-
TAG6201	Tsac_0154	-
TAG6232	-	"Cthe_2344,Cthe_2648"
TAG6239	Tsac_0363	-
TAG6244	Tsac_0996	Cthe_2730
TAG6249	-	"Cthe_1528,Cthe_0537"
TAG6269	Tsac_0608	-
TAG6279	Tsac_0033	-
TAG6286	Tsac_2280	-
TAG6293	Tsac_1399	Cthe_0415
TAG6294	-	Cthe_2434
TAG6298	Tsac_1303	Cthe_0561
TAG6307	Tsac_2498	-
TAG6355	Tsac_2612	-
TAG6371	Tsac_0431	-
TAG6387	-	Cthe_0730
TAG6390	Tsac_2043	"Cthe_1583,Cthe_1943"
TAG6394	Tsac_0119	Cthe_3000
TAG6405	-	Cthe_2266
TAG6420	Tsac_1047	Cthe_1782
TAG6456	Tsac_0978	Cthe_1791
TAG6478	Tsac_1210	-
TAG6479	-	-
TAG6505	"Tsac_1267,Tsac_2565"	-
TAG6534	Tsac_1607	-
TAG6540	Tsac_1123	Cthe_1109
TAG6564	-	Cthe_1139
TAG6593	Tsac_2654	"Cthe_1457,Cthe_2279"
TAG6600	Tsac_0124	Cthe_2981
TAG6617	-	Cthe_2800
TAG6649	-	Cthe_1732
TAG6664	fig|1094508.3.peg.2452	-
TAG6665	Tsac_2418	-
TAG6666	-	Cthe_1716
TAG6671	-	Cthe_1637
TAG6672	Tsac_0810	-
TAG6675	-	"Cthe_1638,Cthe_1729"
TAG6692	-	Cthe_1743
TAG6693	-	Cthe_1746
TAG6700	Tsac_1707	-
TAG6730	-	fig|203119.11.peg.2670
TAG6775	Tsac_2504	-
TAG6816	Tsac_1537	-
TAG6844	-	Cthe_2784
TAG6851	Tsac_1062	-
TAG6853	-	Cthe_3184
TAG6861	Tsac_1865	Cthe_0672
TAG6862	Tsac_0553	Cthe_2372
TAG6866	Tsac_0649	Cthe_2100
TAG6871	Tsac_0905	-
TAG6928	Tsac_2645	-
TAG6929	Tsac_2642	-
TAG6958	-	Cthe_0759
TAG7018	"Tsac_1130,Tsac_0014,Tsac_2490"	"Cthe_1482,Cthe_3074"
TAG7024	fig|1094508.3.peg.1856	-
TAG7040	Tsac_2317	-
TAG7076	Tsac_1369	-
TAG7087	Tsac_2199	Cthe_1224
TAG7128	-	Cthe_1404
TAG7141	-	Cthe_1809
TAG7145	-	Cthe_1491
TAG7177	Tsac_1251	-
TAG7178	Tsac_1250	Cthe_2803
TAG7200	-	-
TAG7203	-	-
TAG7204	-	-
TAG7228	-	-
TAG7237	-	-
TAG7242	-	-
TAG7270	-	-
TAG7271	Tsac_0549	Cthe_2367
TAG7272	Tsac_0551	Cthe_2369
TAG7278	-	-
TAG7288	-	-
TAG7298	Tsac_2331	-
TAG7304	Tsac_0740	Cthe_2631
TAG7310	-	-
TAG7313	-	-
TAG7317	Tsac_1222	-
TAG7339	-	-
TAG7340	-	-
TAG7349	-	-
TAG7353	-	-
TAG7354	-	-
TAG7355	-	-
TAG7375	-	Cthe_1643
TAG7380	-	-
TAG7386	-	Cthe_1285
TAG7391	-	-
TAG7403	Tsac_1773	Cthe_0459
TAG7404	-	-
TAG7405	-	-
TAG7406	Tsac_2408	-
TAG7407	-	-
TAG7412	-	-
TAG7414	-	-
TAG7424	-	-
TAG7425	-	-
TAG7436	-	-
TAG7441	Tsac_2352	-
TAG7443	Tsac_1613	Cthe_2452
TAG7444	-	-
TAG7454	-	Cthe_2301
TAG7459	-	-
TAG7461	-	-
TAG7481	-	-
TAG7487	-	-
TAG7488	-	-
TAG7493	-	"Cthe_1589,Cthe_1811,Cthe_3145"
TAG7502	-	-
TAG7503	Tsac_2132	Cthe_0336
TAG7505	Tsac_1915	-
TAG7508	Tsac_2023	Cthe_0789
TAG7516	-	-
TAG7524	-	Cthe_1619
TAG7533	-	-
TAG7534	-	-
TAG7555	-	-
TAG7561	-	-
TAG7563	Tsac_0519	Cthe_1408
TAG7566	-	-
TAG7573	Tsac_1490	Cthe_1259
TAG7577	Tsac_1866	Cthe_0774
TAG7579	Tsac_1827	Cthe_0990
TAG7591	-	-
TAG7597	-	-
TAG7598	-	-
TAG7599	-	-
TAG7602	"Tsac_1131,Tsac_2647"	"Cthe_2307,Cthe_3118"
TAG7603	-	-
TAG7604	Tsac_1816	Cthe_1001
TAG7605	Tsac_1729	Cthe_0577
TAG7608	Tsac_1687	Cthe_0957
TAG7609	-	-
TAG7623	-	fig|203119.11.peg.2295
TAG7632	-	-
TAG7635	Tsac_0048	-
TAG7645	-	Cthe_2212
TAG7646	Tsac_1277	-
TAG7649	Tsac_0446	-
TAG7656	Tsac_0567	Cthe_2210
TAG7734	Tsac_1235	Cthe_0197
TAG7760	-	Cthe_2181
TAG7782	Tsac_1398	Cthe_0414
TAG7792	Tsac_1840	Cthe_1097
TAG7797	Tsac_0973	Cthe_2736
TAG7799	Tsac_1576	Cthe_0446
TAG7801	Tsac_1337	Cthe_0112
TAG7807	Tsac_2218	-
TAG7815	-	Cthe_1295
TAG7833	Tsac_2648	-
TAG7839	-	Cthe_0318
TAG7841	Tsac_0827	Cthe_2661
TAG7860	-	Cthe_2087
TAG7861	Tsac_2196	Cthe_0214
TAG7875	Tsac_1918	Cthe_0813
TAG7902	Tsac_0803	Cthe_0081
TAG7924	"Tsac_1326,Tsac_2147,Tsac_0257,Tsac_0922"	"Cthe_1438,Cthe_1470,Cthe_2544,Cthe_2731,Cthe_0890"
TAG7970	Tsac_2468	Cthe_2752
TAG8006	-	-
TAG8015	-	Cthe_1164
TAG8018	Tsac_0570	"Cthe_2516,Cthe_2714"
TAG8020	Tsac_2083	-
TAG8033	Tsac_1878	-
TAG8040	-	Cthe_1507
TAG8055	Tsac_0806	"Cthe_1867,Cthe_0950"
TAG8056	Tsac_0807	"Cthe_1868,Cthe_0949"
TAG8074	-	Cthe_0152
TAG8085	Tsac_1696	Cthe_1344
TAG8137	-	Cthe_1813
TAG8138	-	Cthe_1817
TAG8151	Tsac_1762	Cthe_0770
TAG8181	Tsac_2674	"Cthe_2236,Cthe_2237"
TAG8192	Tsac_1800	Cthe_0485
TAG8204	Tsac_0024	Cthe_0900
TAG8249	Tsac_1208	-
TAG8259	Tsac_2575	Cthe_2073
TAG8265	Tsac_1503	Cthe_0166
TAG8290	Tsac_1400	-
TAG8293	"Tsac_0001,Tsac_2780"	-
TAG8354	-	Cthe_0714
TAG8355	Tsac_1590	-
TAG8358	Tsac_0377	Cthe_1377
TAG8395	Tsac_2111	Cthe_0156
TAG8421	-	-
TAG8456	-	Cthe_0155
TAG8461	Tsac_2071	Cthe_1040
TAG8557	Tsac_1650	Cthe_2527
TAG8569	-	Cthe_0858
TAG8577	Tsac_0555	Cthe_2374
TAG8580	Tsac_0539	Cthe_0655
TAG8581	Tsac_0538	Cthe_2379
TAG8589	Tsac_2142	-
TAG8594	Tsac_0532	Cthe_2511
TAG8619	-	-
TAG8638	-	Cthe_1420
TAG8669	Tsac_2234	-
TAG8672	Tsac_2223	-
TAG8681	Tsac_1898	Cthe_1389
TAG8736	-	-
TAG8742	-	-
TAG8756	-	Cthe_2341
TAG8769	-	-
TAG8780	-	-
TAG8811	Tsac_1933	-
TAG8843	-	Cthe_3107
TAG8863	Tsac_2452	Cthe_2461
TAG8873	Tsac_1776	-
TAG8876	Tsac_0284	-
TAG8881	-	Cthe_1823
TAG8916	Tsac_2350	-
TAG8925	Tsac_0775	Cthe_1933
TAG8981	-	Cthe_0616
TAG8984	Tsac_2552	-
TAG9000	Tsac_2014	Cthe_0874
TAG9021	Tsac_1034	Cthe_2926
TAG9041	Tsac_1029	Cthe_2921
TAG9048	Tsac_1718	Cthe_0566
TAG9089	-	-
TAG9098	Tsac_1184	Cthe_0756
TAG9132	-	-
TAG9137	-	-
TAG9144	Tsac_0742	Cthe_2632
TAG9145	"Tsac_2805,Tsac_0820"	Cthe_2657
TAG9147	Tsac_1911	Cthe_0674
TAG9153	"Tsac_0139,Tsac_2271"	-
TAG9154	"Tsac_2270,Tsac_2613"	-
TAG9171	Tsac_0061	-
TAG9187	-	Cthe_0612
TAG9200	Tsac_0065	-
TAG9216	Tsac_1325	-
TAG9226	Tsac_2601	-
TAG9258	-	-
TAG9270	-	-
TAG9275	Tsac_0517	-
TAG9283	Tsac_2188	Cthe_0726
TAG9289	Tsac_1032	Cthe_2924
TAG9293	-	Cthe_1503
TAG9296	-	-
TAG9300	-	-
TAG9309	-	-
TAG9311	Tsac_1716	Cthe_1314
TAG9312	Tsac_0515	Cthe_0302
TAG9313	-	-
TAG9360	-	-
TAG9380	-	-
TAG9385	-	-
TAG9399	Tsac_1913	-
TAG9400	Tsac_2124	Cthe_0087
TAG9419	"Tsac_2372,Tsac_0334"	-
TAG9424	-	-
TAG9435	Tsac_1748	Cthe_0938
TAG9439	-	-
TAG9442	-	-
TAG9467	-	-
TAG9476	Tsac_0153	-
TAG9478	"Tsac_1177,Tsac_0060"	Cthe_2883
TAG9479	-	-
TAG9482	-	Cthe_0346
TAG9483	-	-
TAG9517	-	-
TAG9519	Tsac_0262	"Cthe_2443,Cthe_2704"
TAG9562	Tsac_2336	Cthe_1425
TAG9563	-	-
TAG9564	-	-
TAG9565	-	-
TAG9593	"Tsac_2320,Tsac_2321,Tsac_0695"	Cthe_3112
TAG9594	-	-
TAG9604	-	-
TAG9612	-	-
TAG9624	-	Cthe_0275
TAG9627	-	-
TAG9631	Tsac_1234	Cthe_0198
TAG9662	Tsac_0917	-
TAG9672	-	-
TAG9690	Tsac_0393	Cthe_3201
TAG9707	-	-
TAG9708	Tsac_0788	-
TAG9716	-	-
TAG9717	-	-
TAG9742	-	-
TAG9775	Tsac_2608	-
TAG9799	-	-
TAG9847	-	-
TAG9849	Tsac_2332	-
TAG9853	-	-
TAG9855	Tsac_2334	Cthe_0647
TAG9882	Tsac_1781	Cthe_0465
TAG9883	-	-
TAG9884	"Tsac_1789,Tsac_0295,Tsac_0296"	"Cthe_2620,Cthe_2621,Cthe_0474"
TAG9889	-	Cthe_0126
TAG9898	-	-
TAG9901	Tsac_0313	Cthe_2601
TAG9904	-	-
TAG9912	-	-
TAG9929	-	-
TAG9931	-	-
TAG9949	-	-
TAG9950	-	-
TAG9958	-	-
TAG9961	Tsac_1850	-
TAG9962	Tsac_1851	-
TAG9966	-	-
TAG9967	Tsac_1658	Cthe_2540
TAG9969	Tsac_0706	-
TAG9970	Tsac_0704	-
TAG9973	Tsac_1654	Cthe_2529
TAG9974	Tsac_2200	Cthe_1225
TAG9977	-	-
TAG9988	-	-
TAG9990	Tsac_0909	-
TAG10016	-	-
TAG10023	-	-
TAG10032	-	-
TAG10037	-	-
TAG10042	-	Cthe_2554
TAG10066	-	-
TAG10071	Tsac_2075	Cthe_3154
TAG10073	-	-
TAG10076	-	-
TAG10078	-	-
TAG10079	-	-
TAG10085	-	"Cthe_0040,Cthe_0745"
TAG10088	-	-
TAG10089	-	-
TAG10090	-	-
TAG10109	-	Cthe_0408
TAG10110	-	-
TAG10136	-	-
TAG10137	-	-
TAG10142	-	-
TAG10159	-	-
TAG10160	-	-
TAG10161	-	-
TAG10162	-	-
TAG10163	-	-
TAG10165	-	-
TAG10167	-	-
TAG10176	-	-
TAG10189	Tsac_1097	"Cthe_1120,Cthe_1879"
TAG10190	Tsac_1098	"Cthe_1119,Cthe_1878"
TAG10191	Tsac_1099	"Cthe_1118,Cthe_1877"
TAG10207	-	-
TAG10208	-	-
TAG10239	-	-
TAG10242	-	-
TAG10243	-	-
TAG10260	-	-
TAG10264	-	-
TAG10270	-	Cthe_0020
TAG10271	Tsac_1495	Cthe_0061
TAG10299	Tsac_2356	-
TAG10312	-	-
TAG10321	-	Cthe_0308
TAG10326	-	-
TAG10330	-	-
TAG10341	-	-
TAG10347	-	-
TAG10383	-	-
TAG10386	-	-
TAG10389	-	-
TAG10398	Tsac_0708	-
TAG10400	-	-
TAG10402	-	-
TAG10414	-	-
TAG10467	-	-
TAG10500	-	-
TAG10547	Tsac_1241	-
TAG10557	-	-
TAG10575	-	-
TAG10602	-	-
TAG10610	-	-
TAG10612	-	-
TAG10617	-	-
TAG10619	-	-
TAG10640	-	-
TAG10690	-	-
TAG10708	-	-
TAG10723	-	-
TAG10732	-	Cthe_2746
TAG10748	-	-
TAG10755	-	-
TAG10780	-	-
TAG10835	-	-
TAG10851	-	-
TAG10869	-	-
TAG10873	-	-
TAG10876	-	-
TAG10892	-	Cthe_1480
TAG10893	-	-
TAG10934	Tsac_0947	Cthe_2588
TAG10990	-	-
TAG11023	Tsac_0898	-
TAG11024	fig|1094508.3.peg.880	-
TAG11030	Tsac_1553	-
TAG11041	Tsac_2221	-
TAG11051	Tsac_0663	-
TAG11057	fig|1094508.3.peg.2552	-
TAG11059	Tsac_0006	-
TAG11060	Tsac_0027	-
TAG11063	fig|1094508.3.peg.2290	-
TAG11064	Tsac_2255	-
TAG11065	Tsac_2263	-
TAG11066	Tsac_1279	-
TAG11068	Tsac_1212	-
TAG11069	fig|1094508.3.peg.1128	-
TAG11080	Tsac_2296	-
TAG11089	Tsac_0426	-
TAG11096	Tsac_2768	-
TAG11097	Tsac_2804	-
TAG11098	Tsac_2806	-
TAG11108	Tsac_1090	-
TAG11113	-	fig|203119.11.peg.1001
TAG11114	-	Cthe_0955
TAG11115	-	Cthe_0956
TAG11116	-	fig|203119.11.peg.1008
TAG11117	-	Cthe_0966
TAG11118	-	fig|203119.11.peg.1016
TAG11119	-	Cthe_0967
TAG11120	-	fig|203119.11.peg.1019
TAG11121	-	Cthe_0970
TAG11122	-	fig|203119.11.peg.1021
TAG11123	-	Cthe_0972
TAG11124	Tsac_1568	Cthe_0975
TAG11125	-	Cthe_0980
TAG11126	-	fig|203119.11.peg.1037
TAG11127	-	Cthe_0991
TAG11128	Tsac_1825	Cthe_0992
TAG11129	Tsac_1824	Cthe_0994
TAG11130	Tsac_1822	Cthe_0996
TAG11131	Tsac_1817	Cthe_1000
TAG11132	-	Cthe_1002
TAG11133	Tsac_2113	Cthe_0097
TAG11134	-	Cthe_1013
TAG11135	-	fig|203119.11.peg.1066
TAG11136	-	Cthe_1016
TAG11137	-	fig|203119.11.peg.1069
TAG11138	Tsac_1595	Cthe_1023
TAG11139	-	Cthe_0099
TAG11140	Tsac_1744	Cthe_1029
TAG11141	-	Cthe_1030
TAG11142	-	fig|203119.11.peg.1086
TAG11143	-	Cthe_1034
TAG11144	-	Cthe_1036
TAG11145	-	Cthe_0100
TAG11146	-	fig|203119.11.peg.1090
TAG11147	"Tsac_1056,Tsac_2066,Tsac_0907"	"Cthe_1037,Cthe_1702,Cthe_1804"
TAG11148	-	fig|203119.11.peg.1092
TAG11149	Tsac_2068	Cthe_1038
TAG11150	-	Cthe_1042
TAG11151	-	Cthe_1043
TAG11152	-	Cthe_1044
TAG11153	-	Cthe_0009
TAG11154	-	Cthe_1045
TAG11155	-	fig|203119.11.peg.1101
TAG11156	-	Cthe_1047
TAG11157	Tsac_1847	Cthe_1049
TAG11158	-	fig|203119.11.peg.1106
TAG11159	-	Cthe_1055
TAG11160	-	Cthe_1056
TAG11161	-	Cthe_1057
TAG11162	-	Cthe_1059
TAG11163	-	Cthe_1065
TAG11164	-	fig|203119.11.peg.1124
TAG11165	-	Cthe_1077
TAG11166	-	Cthe_1078
TAG11167	-	fig|203119.11.peg.1139
TAG11168	-	Cthe_1081
TAG11169	-	Cthe_1082
TAG11170	-	Cthe_1083
TAG11171	-	Cthe_1084
TAG11172	-	Cthe_1085
TAG11173	-	Cthe_1087
TAG11174	-	Cthe_1088
TAG11175	-	Cthe_1096
TAG11176	-	Cthe_1098
TAG11177	-	Cthe_1099
TAG11178	-	Cthe_1100
TAG11179	-	Cthe_1101
TAG11180	-	Cthe_1102
TAG11181	-	Cthe_1103
TAG11182	-	Cthe_1104
TAG11183	Tsac_1958	Cthe_1107
TAG11184	-	Cthe_1108
TAG11185	-	fig|203119.11.peg.1168
TAG11186	-	Cthe_0108
TAG11187	-	fig|203119.11.peg.117
