TAG	Genome_list	1121259.3	1214564.3	1387555.3	1387557.3	31899.1	351627.8	608506.3	632292.3	632335.8	632348.3	632516.3	632518.3
TAG1630	1387555.3	-	-	fig|1387555.3.peg.2291	-	-	-	-	-	-	-	-	-
TAG1631	1387555.3	-	-	fig|1387555.3.peg.2292	-	-	-	-	-	-	-	-	-
TAG1632	1387555.3	-	-	fig|1387555.3.peg.2294	-	-	-	-	-	-	-	-	-
TAG1633	1387555.3	-	-	fig|1387555.3.peg.2297	-	-	-	-	-	-	-	-	-
TAG1634	1387555.3	-	-	fig|1387555.3.peg.2299	-	-	-	-	-	-	-	-	-
TAG1635	1387555.3;351627.8	-	-	fig|1387555.3.peg.23	-	-	fig|351627.8.peg.637	-	-	-	-	-	-
TAG1636	1121259.3;1387555.3;608506.3;632292.3;632335.8;632516.3;632518.3	fig|1121259.3.peg.424	-	fig|1387555.3.peg.230	-	-	-	fig|608506.3.peg.270|COB47_0246	fig|632292.3.peg.2443|Calhy_2332	fig|632335.8.peg.291|Calkr_0246	-	fig|632516.3.peg.1674|CallaDRAFT_1607	fig|632518.3.peg.209|Calow_0190
TAG1637	1121259.3;1214564.3;1387555.3;1387557.3;31899.10;351627.8;608506.3;632292.3;632335.8;632348.3;632516.3;632518.3	fig|1121259.3.peg.2373	fig|1214564.3.peg.1051	fig|1387555.3.peg.2300	fig|1387557.3.peg.1022	fig|31899.10.peg.1212|SAMN05216182_1027	fig|351627.8.peg.1024|Csac_0905	fig|608506.3.peg.760|COB47_0687	fig|632292.3.peg.2024|Calhy_1934	fig|632335.8.peg.2122|Calkr_1960	fig|632348.3.peg.1995|Calkro_1895	fig|632516.3.peg.2115|CallaDRAFT_2040	fig|632518.3.peg.665|Calow_0603
TAG1638	1121259.3;1214564.3;1387555.3;1387557.3;31899.10;351627.8;608506.3;632292.3;632335.8;632348.3;632516.3;632518.3	fig|1121259.3.peg.2496	fig|1214564.3.peg.1052	fig|1387555.3.peg.2301	fig|1387557.3.peg.1021	fig|31899.10.peg.1211|SAMN05216182_1021	fig|351627.8.peg.1023|Csac_0904	fig|608506.3.peg.759|COB47_0686	fig|632292.3.peg.2025|Calhy_1935	fig|632335.8.peg.2123|Calkr_1961	fig|632348.3.peg.1996|Calkro_1896	fig|632516.3.peg.2116|CallaDRAFT_2041	fig|632518.3.peg.664|Calow_0602
TAG1639	1121259.3;1214564.3;1387555.3;1387557.3;31899.10;351627.8;608506.3;632292.3;632335.8;632348.3;632516.3;632518.3	fig|1121259.3.peg.2493	fig|1214564.3.peg.1055	fig|1387555.3.peg.2303	fig|1387557.3.peg.1018	fig|31899.10.peg.1208|SAMN05216182_1018	fig|351627.8.peg.1020|Csac_0901	fig|608506.3.peg.756|COB47_0683	fig|632292.3.peg.2028|Calhy_1938	fig|632335.8.peg.2126|Calkr_1964	fig|632348.3.peg.1999|Calkro_1899	fig|632516.3.peg.2119|CallaDRAFT_2044	fig|632518.3.peg.661|Calow_0599
TAG1640	1121259.3;1214564.3;1387555.3;1387557.3;31899.10;351627.8;608506.3;632292.3;632335.8;632348.3;632516.3;632518.3	fig|1121259.3.peg.2490	fig|1214564.3.peg.1058	fig|1387555.3.peg.2306	fig|1387557.3.peg.1015	fig|31899.10.peg.1205|SAMN05216182_1015	fig|351627.8.peg.1017|Csac_0898	fig|608506.3.peg.753|COB47_0680	fig|632292.3.peg.2031|Calhy_1941	fig|632335.8.peg.2129|Calkr_1967	fig|632348.3.peg.2002|Calkro_1902	fig|632516.3.peg.2122|CallaDRAFT_2047	fig|632518.3.peg.658|Calow_0596
TAG1641	1121259.3;1214564.3;1387555.3;1387557.3;31899.10;351627.8;608506.3;632292.3;632335.8;632348.3;632516.3;632518.3	fig|1121259.3.peg.2489	fig|1214564.3.peg.1059	fig|1387555.3.peg.2307	fig|1387557.3.peg.1014	fig|31899.10.peg.1204|SAMN05216182_1014	fig|351627.8.peg.1016|Csac_0897	fig|608506.3.peg.752|COB47_0679	fig|632292.3.peg.2032|Calhy_1942	fig|632335.8.peg.2130|Calkr_1968	fig|632348.3.peg.2003|Calkro_1903	fig|632516.3.peg.2123|CallaDRAFT_2048	fig|632518.3.peg.657|Calow_0595
TAG1642	1121259.3;1214564.3;1387555.3;1387557.3;31899.10;351627.8;608506.3;632292.3;632335.8;632348.3;632516.3;632518.3	fig|1121259.3.peg.939	fig|1214564.3.peg.1062	fig|1387555.3.peg.2309	fig|1387557.3.peg.1011	fig|31899.10.peg.1189|SAMN05216182_0999	fig|351627.8.peg.1013|Csac_0894	fig|608506.3.peg.749|COB47_0676	fig|632292.3.peg.2035|Calhy_1945	fig|632335.8.peg.2133|Calkr_1971	fig|632348.3.peg.2006|Calkro_1906	fig|632516.3.peg.2127|CallaDRAFT_2052	fig|632518.3.peg.654|Calow_0592
TAG1643	1121259.3;1387555.3;608506.3;632292.3;632335.8;632516.3;632518.3	fig|1121259.3.peg.425	-	fig|1387555.3.peg.231	-	-	-	fig|608506.3.peg.269|COB47_0245	fig|632292.3.peg.2444|Calhy_2333	fig|632335.8.peg.290|Calkr_0245	-	fig|632516.3.peg.1673|CallaDRAFT_1606	fig|632518.3.peg.208|Calow_0189
TAG1644	1387555.3;31899.10;608506.3	-	-	fig|1387555.3.peg.2311	-	fig|31899.10.peg.1181|SAMN05216182_0992	-	fig|608506.3.peg.746|COB47_0673	-	-	-	-	-
TAG1645	1121259.3;1387555.3;31899.10;608506.3	fig|1121259.3.peg.931	-	fig|1387555.3.peg.2312	-	fig|31899.10.peg.1171|SAMN05216182_0983	-	fig|608506.3.peg.742|COB47_0670	-	-	-	-	-
TAG1646	1121259.3;1214564.3;1387555.3;1387557.3;31899.10;351627.8;608506.3;632518.3	fig|1121259.3.peg.930	fig|1214564.3.peg.1069	fig|1387555.3.peg.2313	fig|1387557.3.peg.984	fig|31899.10.peg.1170|SAMN05216182_0982	fig|351627.8.peg.1005|Csac_0886	fig|608506.3.peg.741|COB47_0669	-	-	-	-	fig|632518.3.peg.644|Calow_0584
TAG1647	1121259.3;1214564.3;1387555.3;1387557.3;31899.10;351627.8;608506.3;632518.3	fig|1121259.3.peg.929	fig|1214564.3.peg.1070	fig|1387555.3.peg.2314	fig|1387557.3.peg.983	fig|31899.10.peg.1169|SAMN05216182_0981	fig|351627.8.peg.1004|Csac_0885	fig|608506.3.peg.740|COB47_0668	-	-	-	-	fig|632518.3.peg.643|Calow_0583
TAG1648	1121259.3;1214564.3;1387555.3;1387557.3;31899.10;351627.8;608506.3;632292.3;632335.8;632348.3;632516.3;632518.3	fig|1121259.3.peg.925	fig|1214564.3.peg.1078	fig|1387555.3.peg.2317	fig|1387557.3.peg.979	fig|31899.10.peg.1165|SAMN05216182_0977	fig|351627.8.peg.1000|Csac_0881	fig|608506.3.peg.736|COB47_0664	fig|632292.3.peg.2048|Calhy_1958	fig|632335.8.peg.871|Calkr_0769	fig|632348.3.peg.2022|Calkro_1919	fig|632516.3.peg.675|CallaDRAFT_0652	fig|632518.3.peg.639|Calow_0580
TAG1649	1121259.3;1214564.3;1387555.3;1387557.3;31899.10;351627.8;608506.3;632292.3;632335.8;632348.3;632516.3;632518.3	fig|1121259.3.peg.923	fig|1214564.3.peg.1080	fig|1387555.3.peg.2318	fig|1387557.3.peg.978	fig|31899.10.peg.1164|SAMN05216182_0976	fig|351627.8.peg.998|Csac_0880	fig|608506.3.peg.735|COB47_0663	fig|632292.3.peg.2049|Calhy_1959	fig|632335.8.peg.870|Calkr_0768	fig|632348.3.peg.2023|Calkro_1920	fig|632516.3.peg.674|CallaDRAFT_0651	fig|632518.3.peg.638|Calow_0579
TAG1650	1121259.3;1214564.3;1387555.3;1387557.3;31899.10;351627.8;608506.3;632292.3;632335.8;632348.3;632516.3;632518.3	fig|1121259.3.peg.921	fig|1214564.3.peg.1082	fig|1387555.3.peg.2320	fig|1387557.3.peg.976	fig|31899.10.peg.1162|SAMN05216182_0974	fig|351627.8.peg.996|Csac_0878	fig|608506.3.peg.733|COB47_0661	fig|632292.3.peg.2051|Calhy_1961	fig|632335.8.peg.868|Calkr_0766	fig|632348.3.peg.2025|Calkro_1922	fig|632516.3.peg.672|CallaDRAFT_0649	fig|632518.3.peg.636|Calow_0577
TAG1651	1387555.3	-	-	fig|1387555.3.peg.2321	-	-	-	-	-	-	-	-	-
TAG1652	1387555.3	-	-	fig|1387555.3.peg.2323	-	-	-	-	-	-	-	-	-
TAG1653	1387555.3;1387557.3	-	-	fig|1387555.3.peg.2324	fig|1387557.3.peg.2297	-	-	-	-	-	-	-	-
TAG1654	1387555.3	-	-	fig|1387555.3.peg.2325	-	-	-	-	-	-	-	-	-
TAG1655	1121259.3;1214564.3;1387555.3;1387557.3;31899.10;351627.8;608506.3;632292.3;632335.8;632348.3;632516.3;632518.3	fig|1121259.3.peg.902	fig|1214564.3.peg.1088	fig|1387555.3.peg.2326	fig|1387557.3.peg.959	fig|31899.10.peg.1144|SAMN05216182_0957	fig|351627.8.peg.980|Csac_0862	fig|608506.3.peg.707|COB47_0639	fig|632292.3.peg.2069|Calhy_1978	fig|632335.8.peg.1628|Calkr_1503	fig|632348.3.peg.2045|Calkro_1941	fig|632516.3.peg.6|CallaDRAFT_0006	fig|632518.3.peg.609|Calow_0552
TAG1656	1121259.3;1214564.3;1387555.3;1387557.3;31899.10;351627.8;632292.3;632335.8;632348.3;632516.3;632518.3	fig|1121259.3.peg.898	fig|1214564.3.peg.1092	fig|1387555.3.peg.2330	fig|1387557.3.peg.955	fig|31899.10.peg.1140|SAMN05216182_0953	fig|351627.8.peg.976|Csac_0858	-	fig|632292.3.peg.2073|Calhy_1982	fig|632335.8.peg.1632|Calkr_1507	fig|632348.3.peg.2049|Calkro_1945	fig|632516.3.peg.2696|CallaDRAFT_2609	fig|632518.3.peg.605|Calow_0548
TAG1657	1121259.3;1214564.3;1387555.3;1387557.3;31899.10;351627.8;608506.3;632292.3;632335.8;632348.3;632516.3;632518.3	fig|1121259.3.peg.897	fig|1214564.3.peg.1093	fig|1387555.3.peg.2331	fig|1387557.3.peg.954	fig|31899.10.peg.1139|SAMN05216182_0952	fig|351627.8.peg.974|Csac_0857	fig|608506.3.peg.702|COB47_0634	fig|632292.3.peg.2074|Calhy_1983	fig|632335.8.peg.1633|Calkr_1508	fig|632348.3.peg.2050|Calkro_1946	fig|632516.3.peg.2698|CallaDRAFT_2610	fig|632518.3.peg.603|Calow_0547
TAG1658	1387555.3	-	-	fig|1387555.3.peg.2332	-	-	-	-	-	-	-	-	-
TAG1659	1121259.3;1214564.3;1387555.3;1387557.3;31899.10;351627.8;608506.3;632292.3;632335.8;632348.3;632516.3;632518.3	fig|1121259.3.peg.891	fig|1214564.3.peg.1099	fig|1387555.3.peg.2333	fig|1387557.3.peg.947	fig|31899.10.peg.1131|SAMN05216182_0947	fig|351627.8.peg.967|Csac_0854	fig|608506.3.peg.694|COB47_0629	fig|632292.3.peg.2080|Calhy_1987	fig|632335.8.peg.1640|Calkr_1513	fig|632348.3.peg.2054|Calkro_1949	fig|632516.3.peg.2165|CallaDRAFT_2087	fig|632518.3.peg.599|Calow_0545
TAG1660	1121259.3;1214564.3;1387555.3;1387557.3;31899.10;351627.8;608506.3;632292.3;632335.8;632348.3;632516.3;632518.3	fig|1121259.3.peg.890	fig|1214564.3.peg.1100	fig|1387555.3.peg.2334	fig|1387557.3.peg.946	fig|31899.10.peg.1130|SAMN05216182_0946	fig|351627.8.peg.966|Csac_0853	fig|608506.3.peg.693|COB47_0628	fig|632292.3.peg.2081|Calhy_1988	fig|632335.8.peg.1641|Calkr_1514	fig|632348.3.peg.2055|Calkro_1950	fig|632516.3.peg.2164|CallaDRAFT_2086	fig|632518.3.peg.598|Calow_0544
TAG1661	1387555.3;1387557.3	-	-	fig|1387555.3.peg.2335	fig|1387557.3.peg.945	-	-	-	-	-	-	-	-
TAG1662	1387555.3;1387557.3	-	-	fig|1387555.3.peg.2336	fig|1387557.3.peg.944	-	-	-	-	-	-	-	-
TAG1663	1387555.3;1387557.3	-	-	fig|1387555.3.peg.2337	fig|1387557.3.peg.943	-	-	-	-	-	-	-	-
TAG1664	1387555.3;1387557.3	-	-	fig|1387555.3.peg.2338	fig|1387557.3.peg.942	-	-	-	-	-	-	-	-
TAG1665	1387555.3;1387557.3;31899.10	-	-	fig|1387555.3.peg.2339	fig|1387557.3.peg.941	fig|31899.10.peg.1116|SAMN05216182_0936	-	-	-	-	-	-	-
TAG1666	1387555.3	-	-	fig|1387555.3.peg.2342	-	-	-	-	-	-	-	-	-
TAG1667	1214564.3;1387555.3;1387557.3;31899.10;608506.3;632348.3	-	fig|1214564.3.peg.1762	fig|1387555.3.peg.2345	fig|1387557.3.peg.936	fig|31899.10.peg.1126|SAMN05216182_0942	-	fig|608506.3.peg.27|COB47_0027	-	-	fig|632348.3.peg.2059|Calkro_1954	-	-
TAG1668	1121259.3;1214564.3;1387555.3;1387557.3;31899.10;351627.8;608506.3;632292.3;632335.8;632348.3;632516.3;632518.3	fig|1121259.3.peg.888	fig|1214564.3.peg.1834	fig|1387555.3.peg.2347	fig|1387557.3.peg.932	fig|31899.10.peg.1111|SAMN05216182_0932	fig|351627.8.peg.949|Csac_0837	fig|608506.3.peg.688|COB47_0622	fig|632292.3.peg.2082|Calhy_1989	fig|632335.8.peg.1643|Calkr_1516	fig|632348.3.peg.2065|Calkro_1960	fig|632516.3.peg.2162|CallaDRAFT_2084	fig|632518.3.peg.597|Calow_0543
TAG1669	1121259.3;1214564.3;1387555.3;1387557.3;31899.10;351627.8;608506.3;632292.3;632335.8;632348.3;632516.3;632518.3	fig|1121259.3.peg.886	fig|1214564.3.peg.1836	fig|1387555.3.peg.2349	fig|1387557.3.peg.930	fig|31899.10.peg.1109|SAMN05216182_0930	fig|351627.8.peg.947|Csac_0835	fig|608506.3.peg.686|COB47_0620	fig|632292.3.peg.2084|Calhy_1991	fig|632335.8.peg.1645|Calkr_1518	fig|632348.3.peg.2067|Calkro_1962	fig|632516.3.peg.2160|CallaDRAFT_2082	fig|632518.3.peg.595|Calow_0541
TAG1670	1121259.3;1214564.3;1387555.3;1387557.3;31899.10;608506.3;632292.3;632335.8;632348.3;632516.3;632518.3	fig|1121259.3.peg.429	fig|1214564.3.peg.2247	fig|1387555.3.peg.235	fig|1387557.3.peg.518	fig|31899.10.peg.646|SAMN05216182_0503	-	fig|608506.3.peg.265|COB47_0241	fig|632292.3.peg.2468|Calhy_2353	fig|632335.8.peg.286|Calkr_0241	fig|632348.3.peg.2451|Calkro_2330	fig|632516.3.peg.1669|CallaDRAFT_1602	fig|632518.3.peg.203|Calow_0184
TAG1671	1387555.3	-	-	fig|1387555.3.peg.2350	-	-	-	-	-	-	-	-	-
TAG1672	1387555.3	-	-	fig|1387555.3.peg.2351	-	-	-	-	-	-	-	-	-
TAG1673	1387555.3	-	-	fig|1387555.3.peg.2352	-	-	-	-	-	-	-	-	-
TAG1674	1121259.3;1214564.3;1387555.3;1387557.3;31899.10;351627.8;608506.3;632292.3;632335.8;632348.3;632516.3;632518.3	fig|1121259.3.peg.884	fig|1214564.3.peg.1838	fig|1387555.3.peg.2353	fig|1387557.3.peg.928	fig|31899.10.peg.1105|SAMN05216182_0928	fig|351627.8.peg.945|Csac_0833	fig|608506.3.peg.682|COB47_0618	fig|632292.3.peg.2087|Calhy_1993	fig|632335.8.peg.1647|Calkr_1520	fig|632348.3.peg.2070|Calkro_1964	fig|632516.3.peg.2157|CallaDRAFT_2079	fig|632518.3.peg.592|Calow_0539
TAG1675	1121259.3;1214564.3;1387555.3;1387557.3;31899.10;351627.8;608506.3;632292.3;632335.8;632348.3;632516.3;632518.3	fig|1121259.3.peg.880	fig|1214564.3.peg.1842	fig|1387555.3.peg.2357	fig|1387557.3.peg.924	fig|31899.10.peg.1101|SAMN05216182_0924	fig|351627.8.peg.939|Csac_0827	fig|608506.3.peg.678|COB47_0614	fig|632292.3.peg.2091|Calhy_1997	fig|632335.8.peg.1651|Calkr_1524	fig|632348.3.peg.2074|Calkro_1968	fig|632516.3.peg.2153|CallaDRAFT_2075	fig|632518.3.peg.588|Calow_0535
TAG1676	1121259.3;1387555.3;632335.8;632348.3;632516.3	fig|1121259.3.peg.799	-	fig|1387555.3.peg.2358	-	-	-	-	-	fig|632335.8.peg.2179|Calkr_2013	fig|632348.3.peg.2156|Calkro_2041	fig|632516.3.peg.1555|CallaDRAFT_1496	-
TAG1677	1387555.3	-	-	fig|1387555.3.peg.236	-	-	-	-	-	-	-	-	-
TAG1678	1387555.3	-	-	fig|1387555.3.peg.2361	-	-	-	-	-	-	-	-	-
TAG1679	1121259.3;1214564.3;1387555.3;1387557.3;31899.10;351627.8;608506.3;632292.3;632335.8;632348.3;632516.3;632518.3	fig|1121259.3.peg.794	fig|1214564.3.peg.1846	fig|1387555.3.peg.2362	fig|1387557.3.peg.840	fig|31899.10.peg.1020|SAMN05216182_0851	fig|351627.8.peg.935|Csac_0824	fig|608506.3.peg.597|COB47_0538	fig|632292.3.peg.2169|Calhy_2071	fig|632335.8.peg.2184|Calkr_2017	fig|632348.3.peg.2161|Calkro_2045	fig|632516.3.peg.2232|CallaDRAFT_2148	fig|632518.3.peg.503|Calow_0452
TAG1680	1121259.3;1214564.3;1387555.3;1387557.3;31899.10;351627.8;608506.3;632292.3;632335.8;632348.3;632516.3;632518.3	fig|1121259.3.peg.792	fig|1214564.3.peg.1848	fig|1387555.3.peg.2364	fig|1387557.3.peg.838	fig|31899.10.peg.1018|SAMN05216182_0849	fig|351627.8.peg.933|Csac_0822	fig|608506.3.peg.595|COB47_0536	fig|632292.3.peg.2171|Calhy_2073	fig|632335.8.peg.2186|Calkr_2019	fig|632348.3.peg.2163|Calkro_2047	fig|632516.3.peg.2234|CallaDRAFT_2150	fig|632518.3.peg.501|Calow_0450
TAG1681	1121259.3;1214564.3;1387555.3;1387557.3;31899.10;351627.8;608506.3;632292.3;632335.8;632348.3;632516.3;632518.3	fig|1121259.3.peg.779	fig|1214564.3.peg.1851	fig|1387555.3.peg.2366	fig|1387557.3.peg.824	fig|31899.10.peg.1005|SAMN05216182_0836	fig|351627.8.peg.913|Csac_0803	fig|608506.3.peg.585|COB47_0526	fig|632292.3.peg.2173|Calhy_2075	fig|632335.8.peg.2188|Calkr_2021	fig|632348.3.peg.2176|Calkro_2060	fig|632516.3.peg.2236|CallaDRAFT_2152	fig|632518.3.peg.487|Calow_0436
TAG1682	1121259.3;1214564.3;1387555.3;1387557.3;31899.10;351627.8;608506.3;632292.3;632335.8;632348.3;632516.3;632518.3	fig|1121259.3.peg.431	fig|1214564.3.peg.2249	fig|1387555.3.peg.237	fig|1387557.3.peg.516	fig|31899.10.peg.644|SAMN05216182_0501	fig|351627.8.peg.184|Csac_0153	fig|608506.3.peg.263|COB47_0239	fig|632292.3.peg.2470|Calhy_2355	fig|632335.8.peg.284|Calkr_0239	fig|632348.3.peg.2453|Calkro_2332	fig|632516.3.peg.1667|CallaDRAFT_1600	fig|632518.3.peg.201|Calow_0182
TAG1683	1121259.3;1214564.3;1387555.3;1387557.3;31899.10;351627.8;608506.3;632292.3;632335.8;632348.3;632516.3;632518.3	fig|1121259.3.peg.775	fig|1214564.3.peg.1855	fig|1387555.3.peg.2370	fig|1387557.3.peg.820	fig|31899.10.peg.1001|SAMN05216182_0832	fig|351627.8.peg.908|Csac_0799	fig|608506.3.peg.581|COB47_0522	fig|632292.3.peg.2177|Calhy_2079	fig|632335.8.peg.2192|Calkr_2025	fig|632348.3.peg.2180|Calkro_2064	fig|632516.3.peg.2240|CallaDRAFT_2156	fig|632518.3.peg.483|Calow_0432
TAG1684	1121259.3;1214564.3;1387555.3;1387557.3;31899.10;351627.8;608506.3;632292.3;632335.8;632348.3;632516.3;632518.3	fig|1121259.3.peg.774	fig|1214564.3.peg.1548	fig|1387555.3.peg.2371	fig|1387557.3.peg.819	fig|31899.10.peg.1000|SAMN05216182_0831	fig|351627.8.peg.907|Csac_0798	fig|608506.3.peg.580|COB47_0521	fig|632292.3.peg.2179|Calhy_2080	fig|632335.8.peg.2193|Calkr_2026	fig|632348.3.peg.2181|Calkro_2065	fig|632516.3.peg.2241|CallaDRAFT_2157	fig|632518.3.peg.481|Calow_0431
TAG1685	1387555.3	-	-	fig|1387555.3.peg.2373	-	-	-	-	-	-	-	-	-
TAG1686	1121259.3;1214564.3;1387555.3;1387557.3;31899.10;351627.8;608506.3;632292.3;632335.8;632348.3;632516.3;632518.3	fig|1121259.3.peg.1672	fig|1214564.3.peg.1566	fig|1387555.3.peg.2381	fig|1387557.3.peg.804	fig|31899.10.peg.988|SAMN05216182_0820	fig|351627.8.peg.890|Csac_0782	fig|608506.3.peg.561|COB47_0502	fig|632292.3.peg.2196|Calhy_2096	fig|632335.8.peg.2207|Calkr_2040	fig|632348.3.peg.2193|Calkro_2078	fig|632516.3.peg.2366|CallaDRAFT_2276	fig|632518.3.peg.458|Calow_0411
TAG1687	1121259.3;1214564.3;1387555.3;1387557.3;31899.10;351627.8;608506.3;632292.3;632335.8;632348.3;632516.3;632518.3	fig|1121259.3.peg.1670	fig|1214564.3.peg.1568	fig|1387555.3.peg.2383	fig|1387557.3.peg.802	fig|31899.10.peg.986|SAMN05216182_0818	fig|351627.8.peg.888|Csac_0780	fig|608506.3.peg.559|COB47_0500	fig|632292.3.peg.2198|Calhy_2098	fig|632335.8.peg.2209|Calkr_2042	fig|632348.3.peg.2195|Calkro_2080	fig|632516.3.peg.2368|CallaDRAFT_2278	fig|632518.3.peg.456|Calow_0409
TAG1688	1121259.3;1214564.3;1387555.3;1387557.3;31899.10;351627.8;608506.3;632292.3;632335.8;632348.3;632516.3;632518.3	fig|1121259.3.peg.1668	fig|1214564.3.peg.1569	fig|1387555.3.peg.2386	fig|1387557.3.peg.799	fig|31899.10.peg.985|SAMN05216182_0817	fig|351627.8.peg.887|Csac_0779	fig|608506.3.peg.558|COB47_0499	fig|632292.3.peg.2199|Calhy_2099	fig|632335.8.peg.2211|Calkr_2044	fig|632348.3.peg.2196|Calkro_2081	fig|632516.3.peg.2739|CallaDRAFT_2652	fig|632518.3.peg.455|Calow_0408
TAG1689	1121259.3;1214564.3;1387555.3;1387557.3;31899.10;351627.8;608506.3;632292.3;632335.8;632348.3;632518.3	fig|1121259.3.peg.1667	fig|1214564.3.peg.1570	fig|1387555.3.peg.2387	fig|1387557.3.peg.798	fig|31899.10.peg.984|SAMN05216182_0816	fig|351627.8.peg.886|Csac_0778	fig|608506.3.peg.557|COB47_0498	fig|632292.3.peg.2200|Calhy_2100	fig|632335.8.peg.2212|Calkr_2045	fig|632348.3.peg.2197|Calkro_2082	-	fig|632518.3.peg.454|Calow_0407
TAG1690	1121259.3;1214564.3;1387555.3;1387557.3;31899.10;351627.8;608506.3;632292.3;632335.8;632348.3;632518.3	fig|1121259.3.peg.1659	fig|1214564.3.peg.1574	fig|1387555.3.peg.2389	fig|1387557.3.peg.793	fig|31899.10.peg.979|SAMN05216182_0811	fig|351627.8.peg.882|Csac_0774	fig|608506.3.peg.552|COB47_0493	fig|632292.3.peg.2207|Calhy_2106	fig|632335.8.peg.616|Calkr_0555	fig|632348.3.peg.2199|Calkro_2085	-	fig|632518.3.peg.450|Calow_0403
TAG1691	1121259.3;1214564.3;1387555.3;1387557.3;31899.10;351627.8;608506.3;632292.3;632335.8;632348.3;632516.3;632518.3	fig|1121259.3.peg.1263	fig|1214564.3.peg.1618	fig|1387555.3.peg.2391	fig|1387557.3.peg.2627	fig|31899.10.peg.2776|SAMN05216182_2532	fig|351627.8.peg.842|Csac_0734	fig|608506.3.peg.2129|COB47_1992	fig|632292.3.peg.596|Calhy_0548	fig|632335.8.peg.415|Calkr_0365	fig|632348.3.peg.455|Calkro_0427	fig|632516.3.peg.2176|CallaDRAFT_2095	fig|632518.3.peg.2021|Calow_1900
TAG1692	1121259.3;1387555.3;1387557.3;608506.3;632292.3;632348.3;632518.3	fig|1121259.3.peg.1261	-	fig|1387555.3.peg.2393	fig|1387557.3.peg.2629	-	-	fig|608506.3.peg.2131|COB47_1994	fig|632292.3.peg.594|Calhy_0546	-	fig|632348.3.peg.453|Calkro_0425	-	fig|632518.3.peg.2023|Calow_1902
TAG1693	1121259.3;1214564.3;1387555.3;1387557.3;31899.10;351627.8;608506.3;632292.3;632335.8;632348.3;632516.3;632518.3	fig|1121259.3.peg.1260	fig|1214564.3.peg.1622	fig|1387555.3.peg.2394	fig|1387557.3.peg.2630	fig|31899.10.peg.2778|SAMN05216182_2534	fig|351627.8.peg.837|Csac_0730	fig|608506.3.peg.2132|COB47_1995	fig|632292.3.peg.593|Calhy_0545	fig|632335.8.peg.412|Calkr_0363	fig|632348.3.peg.452|Calkro_0424	fig|632516.3.peg.2174|CallaDRAFT_2093	fig|632518.3.peg.2024|Calow_1903
TAG1694	1121259.3;1214564.3;1387555.3;1387557.3;31899.10;351627.8;608506.3;632292.3;632335.8;632348.3;632518.3	fig|1121259.3.peg.1259	fig|1214564.3.peg.1623	fig|1387555.3.peg.2395	fig|1387557.3.peg.2631	fig|31899.10.peg.2779|SAMN05216182_2535	fig|351627.8.peg.836|Csac_0729	fig|608506.3.peg.2133|COB47_1996	fig|632292.3.peg.592|Calhy_0544	fig|632335.8.peg.411|Calkr_0362	fig|632348.3.peg.451|Calkro_0423	-	fig|632518.3.peg.2025|Calow_1904
TAG1695	1387555.3	-	-	fig|1387555.3.peg.2397	-	-	-	-	-	-	-	-	-
TAG1696	1387555.3	-	-	fig|1387555.3.peg.2399	-	-	-	-	-	-	-	-	-
TAG1697	1121259.3;1214564.3;1387555.3;351627.8;632292.3;632335.8	fig|1121259.3.peg.1316	fig|1214564.3.peg.1261	fig|1387555.3.peg.24	-	-	"fig|351627.8.peg.474|Csac_0406,fig|351627.8.peg.636|Csac_0553"	-	fig|632292.3.peg.269|Calhy_0243	fig|632335.8.peg.127|Calkr_0095	-	-	-
TAG1698	1121259.3;1214564.3;1387555.3;1387557.3;31899.10;351627.8;608506.3;632292.3;632335.8;632348.3;632516.3;632518.3	fig|1121259.3.peg.434	fig|1214564.3.peg.2252	fig|1387555.3.peg.240	fig|1387557.3.peg.513	fig|31899.10.peg.641|SAMN05216182_0498	fig|351627.8.peg.181|Csac_0150	fig|608506.3.peg.260|COB47_0236	fig|632292.3.peg.2473|Calhy_2358	fig|632335.8.peg.281|Calkr_0236	fig|632348.3.peg.2456|Calkro_2335	fig|632516.3.peg.1664|CallaDRAFT_1597	fig|632518.3.peg.198|Calow_0179
TAG1699	1387555.3	-	-	fig|1387555.3.peg.2400	-	-	-	-	-	-	-	-	-
TAG1700	1121259.3;1214564.3;1387555.3;1387557.3;31899.10;351627.8;608506.3;632292.3;632335.8;632348.3;632516.3;632518.3	fig|1121259.3.peg.1255	fig|1214564.3.peg.361	fig|1387555.3.peg.2401	fig|1387557.3.peg.2635	fig|31899.10.peg.2790|SAMN05216182_2545	fig|351627.8.peg.830|Csac_0724	fig|608506.3.peg.2139|COB47_2001	fig|632292.3.peg.589|Calhy_0541	fig|632335.8.peg.2426|Calkr_2241	fig|632348.3.peg.448|Calkro_0420	fig|632516.3.peg.873|CallaDRAFT_0834	fig|632518.3.peg.2031|Calow_1908
TAG1701	1387555.3	-	-	fig|1387555.3.peg.2402	-	-	-	-	-	-	-	-	-
TAG1702	1387555.3	-	-	fig|1387555.3.peg.2403	-	-	-	-	-	-	-	-	-
TAG1703	1387555.3	-	-	fig|1387555.3.peg.2405	-	-	-	-	-	-	-	-	-
TAG1704	1387555.3	-	-	fig|1387555.3.peg.2406	-	-	-	-	-	-	-	-	-
TAG1705	1387555.3	-	-	fig|1387555.3.peg.2408	-	-	-	-	-	-	-	-	-
