fig|31899.10.peg.70|SAMN05216182_0004	WP_015908853.1	ATHE_RS12780	Athe_2535
fig|31899.10.peg.941|SAMN05216182_0772	WP_015907096.1	ATHE_RS02520	Athe_0510
fig|31899.10.peg.943|SAMN05216182_0774	WP_013431048.1	ATHE_RS02535	Athe_0513
fig|31899.10.peg.944|SAMN05216182_0775	WP_015907099.1	ATHE_RS02540	Athe_0514
fig|31899.10.peg.945|SAMN05216182_0776	WP_015907100.1	ATHE_RS02545	Athe_0515
fig|31899.10.peg.946|SAMN05216182_0777	WP_015907101.1	ATHE_RS02550	Athe_0516
fig|31899.10.peg.947|SAMN05216182_0778	WP_015907102.1	ATHE_RS02555	Athe_0517
fig|31899.10.peg.949|SAMN05216182_0779	WP_015907103.1	ATHE_RS02560	Athe_0518
fig|31899.10.peg.950|SAMN05216182_0780	WP_015907104.1	ATHE_RS02565	Athe_0519
fig|31899.10.peg.951|SAMN05216182_0781	WP_041727048.1	ATHE_RS02570	Athe_0520
fig|31899.10.peg.954|SAMN05216182_0784	WP_015907108.1	ATHE_RS02585	Athe_0523
fig|31899.10.peg.955|SAMN05216182_0785	WP_015907109.1	ATHE_RS02590	Athe_0524
fig|31899.10.peg.956|SAMN05216182_0786	WP_015907110.1	ATHE_RS02595	Athe_0525
fig|31899.10.peg.957|SAMN05216182_0787	WP_013431024.1	ATHE_RS02600	Athe_0526
fig|31899.10.peg.958|SAMN05216182_0788	WP_015907111.1	ATHE_RS02605	Athe_0527
fig|31899.10.peg.959|SAMN05216182_0789	WP_015907112.1	ATHE_RS02610	Athe_0528
fig|31899.10.peg.960|SAMN05216182_0791	WP_015907113.1	ATHE_RS02615	Athe_0529
fig|31899.10.peg.961|SAMN05216182_0792	WP_015907114.1	ATHE_RS02620	Athe_0530
fig|31899.10.peg.962|SAMN05216182_0793	WP_015907115.1	ATHE_RS02625	Athe_0531
fig|31899.10.peg.963|SAMN05216182_0794	WP_015907116.1	ATHE_RS02630	Athe_0532
fig|31899.10.peg.965|SAMN05216182_0796	WP_015907118.1	ATHE_RS02640	Athe_0534
fig|31899.10.peg.966|SAMN05216182_0797	WP_015907119.1	ATHE_RS02645	Athe_0535
fig|31899.10.peg.967|SAMN05216182_0798	WP_015907120.1	ATHE_RS02650	Athe_0536
fig|31899.10.peg.968|SAMN05216182_0799	WP_015907121.1	ATHE_RS02655	Athe_0537
fig|31899.10.peg.969|SAMN05216182_0801	WP_015907122.1	ATHE_RS02665	Athe_0538
fig|31899.10.peg.970|SAMN05216182_0802	WP_013431011.1	ATHE_RS02670	Athe_0539
fig|31899.10.peg.971|SAMN05216182_0803	WP_015907123.1	ATHE_RS02675	Athe_0540
fig|31899.10.peg.973|SAMN05216182_0805	WP_015907125.1	ATHE_RS02685	Athe_0542
fig|31899.10.peg.974|SAMN05216182_0806	WP_015907126.1	ATHE_RS02690	Athe_0543
fig|31899.10.peg.975|SAMN05216182_0807	WP_015907127.1	ATHE_RS02695	Athe_0544
fig|31899.10.peg.976|SAMN05216182_0808	WP_013431005.1	ATHE_RS02700	Athe_0545
fig|31899.10.peg.977|SAMN05216182_0809	WP_015907128.1	ATHE_RS02705	Athe_0546
fig|31899.10.peg.978|SAMN05216182_0810	WP_015907129.1	ATHE_RS02710	Athe_0547
fig|31899.10.peg.979|SAMN05216182_0811	WP_015907130.1	ATHE_RS02715	Athe_0548
fig|31899.10.peg.982|SAMN05216182_0813	WP_015907132.1	ATHE_RS02725	Athe_0550
fig|31899.10.peg.983|SAMN05216182_0815	WP_013289825.1	ATHE_RS02730	Athe_0551
fig|31899.10.peg.984|SAMN05216182_0816	WP_015907133.1	ATHE_RS02735	Athe_0552
fig|31899.10.peg.985|SAMN05216182_0817	WP_015907134.1	ATHE_RS02740	Athe_0553
fig|31899.10.peg.986|SAMN05216182_0818	WP_015907135.1	ATHE_RS02745	Athe_0554
fig|31899.10.peg.987|SAMN05216182_0819	WP_015907136.1	ATHE_RS02750	Athe_0555
fig|31899.10.peg.988|SAMN05216182_0820	WP_015907137.1	ATHE_RS02755	Athe_0556
fig|31899.10.peg.989|SAMN05216182_0821	WP_015907138.1	ATHE_RS02760	Athe_0557
fig|31899.10.peg.990|SAMN05216182_0822	WP_015907139.1	ATHE_RS02765	Athe_0558
fig|31899.10.peg.991|SAMN05216182_0823	WP_013430992.1	ATHE_RS02770	Athe_0559
fig|31899.10.peg.992|SAMN05216182_0824	WP_015907140.1	ATHE_RS02775	Athe_0560
fig|31899.10.peg.993|SAMN05216182_0825	WP_015907141.1	ATHE_RS02780	Athe_0561
fig|31899.10.peg.994|SAMN05216182_0826	WP_015907142.1	ATHE_RS02785	Athe_0562
fig|31899.10.peg.995|SAMN05216182_0827	WP_015907143.1	ATHE_RS02790	Athe_0563
fig|31899.10.peg.996|SAMN05216182_0828	WP_015907144.1	ATHE_RS02795	Athe_0564
fig|31899.10.peg.998|SAMN05216182_0829	WP_015907145.1	ATHE_RS02805	Athe_0565
fig|31899.10.peg.999|SAMN05216182_0830	WP_015907146.1	ATHE_RS02810	Athe_0566
fig|31899.10.peg.1000|SAMN05216182_0831	WP_015907147.1	ATHE_RS02815	Athe_0567
fig|31899.10.peg.1001|SAMN05216182_0832	WP_015907148.1	ATHE_RS02820	Athe_0568
fig|31899.10.peg.1002|SAMN05216182_0833	WP_015907149.1	ATHE_RS02825	Athe_0569
fig|31899.10.peg.1003|SAMN05216182_0834	WP_013430979.1	ATHE_RS02830	Athe_0570
fig|31899.10.peg.1005|SAMN05216182_0836	WP_015907151.1	ATHE_RS02840	Athe_0572
fig|31899.10.peg.1006|SAMN05216182_0837	WP_015907152.1	ATHE_RS02845	Athe_0573
fig|31899.10.peg.1007|SAMN05216182_0838	WP_015907153.1	ATHE_RS02850	Athe_0574
fig|31899.10.peg.1008|SAMN05216182_0839	WP_015907154.1	ATHE_RS02855	Athe_0575
fig|31899.10.peg.1009|SAMN05216182_0840	WP_015907155.1	ATHE_RS02860	Athe_0576
fig|31899.10.peg.1010|SAMN05216182_0841	WP_015907156.1	ATHE_RS02865	Athe_0577
fig|31899.10.peg.1011|SAMN05216182_0842	WP_015907157.1	ATHE_RS02870	Athe_0578
fig|31899.10.peg.1012|SAMN05216182_0843	WP_015907158.1	ATHE_RS02875	Athe_0579
fig|31899.10.peg.1013|SAMN05216182_0844	WP_015907159.1	ATHE_RS02880	Athe_0580
fig|31899.10.peg.1015|SAMN05216182_0846	WP_015907161.1	ATHE_RS02890	Athe_0582
fig|31899.10.peg.1016|SAMN05216182_0847	WP_015907162.1	ATHE_RS02895	Athe_0583
fig|31899.10.peg.1017|SAMN05216182_0848	WP_015907163.1	ATHE_RS02900	Athe_0584
fig|31899.10.peg.1018|SAMN05216182_0849	WP_015907164.1	ATHE_RS02905	Athe_0585
fig|31899.10.peg.1019|SAMN05216182_0850	WP_015907165.1	ATHE_RS02910	Athe_0586
fig|31899.10.peg.1020|SAMN05216182_0851	WP_015907166.1	ATHE_RS02915	Athe_0587
fig|31899.10.peg.1021|SAMN05216182_0852	WP_015907167.1	ATHE_RS02920	Athe_0588
fig|31899.10.peg.1023|SAMN05216182_0855	WP_015907169.1	ATHE_RS02930	Athe_0590
fig|31899.10.peg.1024|SAMN05216182_0856	WP_015907170.1	ATHE_RS02935	Athe_0591
fig|31899.10.peg.1025|SAMN05216182_0857	WP_015907171.1	ATHE_RS02940	Athe_0592
fig|31899.10.peg.1026|SAMN05216182_0858	WP_015907172.1	ATHE_RS02945	Athe_0593
fig|31899.10.peg.1027|SAMN05216182_0859	WP_015907173.1	ATHE_RS02950	Athe_0594
fig|31899.10.peg.1029|SAMN05216182_0860	WP_015907174.1	ATHE_RS02955	Athe_0595
fig|31899.10.peg.1030|SAMN05216182_0861	WP_015907175.1	ATHE_RS02960	Athe_0596
fig|31899.10.peg.1031|SAMN05216182_0862	WP_015907176.1	ATHE_RS02965	Athe_0597
fig|31899.10.peg.1032|SAMN05216182_0863	WP_015907177.1	ATHE_RS02970	Athe_0598
fig|31899.10.peg.1033|SAMN05216182_0864	WP_015907178.1	ATHE_RS02975	Athe_0599
fig|31899.10.peg.1034|SAMN05216182_0865	WP_015907179.1	ATHE_RS02980	Athe_0600
fig|31899.10.peg.1035|SAMN05216182_0866	WP_015907180.1	ATHE_RS02985	Athe_0601
fig|31899.10.peg.1036|SAMN05216182_0867	WP_015907181.1	ATHE_RS02990	Athe_0602
fig|31899.10.peg.1037|SAMN05216182_0868	WP_015907182.1	ATHE_RS02995	Athe_0603
fig|31899.10.peg.1038|SAMN05216182_0869	WP_015907183.1	ATHE_RS03000	Athe_0604
fig|31899.10.peg.1039|SAMN05216182_0870	WP_015907184.1	ATHE_RS03005	Athe_0605
fig|31899.10.peg.1043|SAMN05216182_0873	WP_015907186.1	ATHE_RS03020	Athe_0608
fig|31899.10.peg.1045|SAMN05216182_0874	WP_015907187.1	ATHE_RS03030	Athe_0609
fig|31899.10.peg.1046|SAMN05216182_0875	WP_015907188.1	ATHE_RS03035	Athe_0610
fig|31899.10.peg.1051|SAMN05216182_0877	WP_015907189.1	ATHE_RS03050	Athe_0612
fig|31899.10.peg.1052|SAMN05216182_0878	WP_015907190.1	ATHE_RS03055	Athe_0613
fig|31899.10.peg.1053|SAMN05216182_0879	WP_015907191.1	ATHE_RS03060	Athe_0614
fig|31899.10.peg.1054|SAMN05216182_0880	WP_015907192.1	ATHE_RS03065	Athe_0615
fig|31899.10.peg.1055|SAMN05216182_0881	WP_015907193.1	ATHE_RS03070	Athe_0616
fig|31899.10.peg.1056|SAMN05216182_0882	WP_015907194.1	ATHE_RS03075	Athe_0617
fig|31899.10.peg.1057|SAMN05216182_0883	WP_015907195.1	ATHE_RS03080	Athe_0618
fig|31899.10.peg.1059|SAMN05216182_0884	WP_015907196.1	ATHE_RS03085	Athe_0619
fig|31899.10.peg.1060|SAMN05216182_0885	WP_015907197.1	ATHE_RS03090	Athe_0620
fig|31899.10.peg.1061|SAMN05216182_0886	WP_013289899.1	ATHE_RS03095	Athe_0621
fig|31899.10.peg.1062|SAMN05216182_0887	WP_013289901.1	ATHE_RS14235	Athe_0622
fig|31899.10.peg.1064|SAMN05216182_0888	WP_015907198.1	ATHE_RS03100	Athe_0623
fig|31899.10.peg.1065|SAMN05216182_0889	WP_015907199.1	ATHE_RS03105	Athe_0624
fig|31899.10.peg.1066|SAMN05216182_0890	WP_015907200.1	ATHE_RS03110	Athe_0625
fig|31899.10.peg.1067|SAMN05216182_0891	WP_015907201.1	ATHE_RS03115	Athe_0626
fig|31899.10.peg.1068|SAMN05216182_0892	WP_015907202.1	ATHE_RS03120	Athe_0627
fig|31899.10.peg.1069|SAMN05216182_0893	WP_015907203.1	ATHE_RS03125	Athe_0628
fig|31899.10.peg.1070|SAMN05216182_0894	WP_041727071.1	ATHE_RS03130	Athe_0629
fig|31899.10.peg.1071|SAMN05216182_0895	WP_015907205.1	ATHE_RS03135	Athe_0630
fig|31899.10.peg.1072|SAMN05216182_0896	WP_015907206.1	ATHE_RS03140	Athe_0631
fig|31899.10.peg.1073|SAMN05216182_0897	WP_015907207.1	ATHE_RS03145	Athe_0632
fig|31899.10.peg.1074|SAMN05216182_0898	WP_013403882.1	ATHE_RS03150	Athe_0633
fig|31899.10.peg.1075|SAMN05216182_0899	WP_015907208.1	ATHE_RS03155	Athe_0634
fig|31899.10.peg.1076|SAMN05216182_0900	WP_015907209.1	ATHE_RS03160	Athe_0635
fig|31899.10.peg.1078|SAMN05216182_0902	WP_015907210.1	ATHE_RS03170	Athe_0637
fig|31899.10.peg.1079|SAMN05216182_0903	WP_015907211.1	ATHE_RS03175	Athe_0638
fig|31899.10.peg.1080|SAMN05216182_0904	WP_015907212.1	ATHE_RS03180	Athe_0639
fig|31899.10.peg.1081|SAMN05216182_0905	WP_015907213.1	ATHE_RS03185	Athe_0640
fig|31899.10.peg.1082|SAMN05216182_0906	WP_015907214.1	ATHE_RS03190	Athe_0641
fig|31899.10.peg.1083|SAMN05216182_0907	WP_015907215.1	ATHE_RS03195	Athe_0642
fig|31899.10.peg.1084|SAMN05216182_0908	WP_015907216.1	ATHE_RS03200	Athe_0643
fig|31899.10.peg.1086|SAMN05216182_0910	WP_015907218.1	ATHE_RS03210	Athe_0645
fig|31899.10.peg.1088|SAMN05216182_0911	WP_015907219.1	ATHE_RS03215	Athe_0646
fig|31899.10.peg.1089|SAMN05216182_0912	WP_015907220.1	ATHE_RS03220	Athe_0647
fig|31899.10.peg.1090|SAMN05216182_0913	WP_015907221.1	ATHE_RS03225	Athe_0648
fig|31899.10.peg.1091|SAMN05216182_0914	WP_015907222.1	ATHE_RS03230	Athe_0649
fig|31899.10.peg.1093|SAMN05216182_0916	WP_015907224.1	ATHE_RS03240	Athe_0651
fig|31899.10.peg.1094|SAMN05216182_0917	WP_013430895.1	ATHE_RS03245	Athe_0652
fig|31899.10.peg.1095|SAMN05216182_0918	WP_015907225.1	ATHE_RS03250	Athe_0653
fig|31899.10.peg.1096|SAMN05216182_0919	WP_015907226.1	ATHE_RS03255	Athe_0654
fig|31899.10.peg.1097|SAMN05216182_0920	WP_015907227.1	ATHE_RS03260	Athe_0655
fig|31899.10.peg.1098	WP_079504002.1	ATHE_RS14240	NA
fig|31899.10.peg.1099|SAMN05216182_0922	WP_013430891.1	ATHE_RS03270	Athe_0656
fig|31899.10.peg.1100|SAMN05216182_0923	WP_015907228.1	ATHE_RS03275	Athe_0657
fig|31899.10.peg.1101|SAMN05216182_0924	WP_013430889.1	ATHE_RS03280	Athe_0658
fig|31899.10.peg.1104|SAMN05216182_0927	WP_015907231.1	ATHE_RS03295	Athe_0661
fig|31899.10.peg.1105|SAMN05216182_0928	WP_015907232.1	ATHE_RS03300	Athe_0662
fig|31899.10.peg.1107|SAMN05216182_0929	WP_015907233.1	ATHE_RS03305	Athe_0663
fig|31899.10.peg.1108	WP_041727075.1	ATHE_RS03310	NA
fig|31899.10.peg.1109|SAMN05216182_0930	WP_015907234.1	ATHE_RS03315	Athe_0664
fig|31899.10.peg.1110|SAMN05216182_0931	WP_015907235.1	ATHE_RS03320	Athe_0665
fig|31899.10.peg.1111|SAMN05216182_0932	WP_015907236.1	ATHE_RS03325	Athe_0666
fig|31899.10.peg.1115|SAMN05216182_0935	WP_015907237.1	ATHE_RS03335	Athe_0668
fig|31899.10.peg.1124|SAMN05216182_0940	WP_015907238.1	ATHE_RS03350	Athe_0673
fig|31899.10.peg.1125|SAMN05216182_0941	WP_015907239.1	ATHE_RS03355	Athe_0674
fig|31899.10.peg.1126|SAMN05216182_0942	WP_015907240.1	ATHE_RS03360	Athe_0675
fig|31899.10.peg.1127|SAMN05216182_0943	WP_041727077.1	ATHE_RS03365	Athe_0676
fig|31899.10.peg.1128|SAMN05216182_0944	WP_015907242.1	ATHE_RS03370	Athe_0677
fig|31899.10.peg.1129|SAMN05216182_0945	WP_015907243.1	ATHE_RS03375	Athe_0678
fig|31899.10.peg.1130|SAMN05216182_0946	WP_013430872.1	ATHE_RS03380	Athe_0679
fig|31899.10.peg.1131|SAMN05216182_0947	WP_013430871.1	ATHE_RS03385	Athe_0680
fig|31899.10.peg.1136|SAMN05216182_0950	WP_013403845.1	ATHE_RS03400	Athe_0684
fig|31899.10.peg.1139|SAMN05216182_0952	WP_013430869.1	ATHE_RS03415	Athe_0686
fig|31899.10.peg.1140|SAMN05216182_0953	WP_015907245.1	ATHE_RS03420	Athe_0687
fig|31899.10.peg.1142|SAMN05216182_0955	WP_015907247.1	ATHE_RS03430	Athe_0689
fig|31899.10.peg.1143|SAMN05216182_0956	WP_041727080.1	ATHE_RS03435	Athe_0690
fig|31899.10.peg.1144|SAMN05216182_0957	WP_015907249.1	ATHE_RS03440	Athe_0691
fig|31899.10.peg.1145|SAMN05216182_0958	WP_015907250.1	ATHE_RS03445	Athe_0692
fig|31899.10.peg.1146|SAMN05216182_0959	WP_015907251.1	ATHE_RS03450	Athe_0693
fig|31899.10.peg.1149|SAMN05216182_0961	WP_015907252.1	ATHE_RS03460	Athe_0695
fig|31899.10.peg.1150|SAMN05216182_0962	WP_015907253.1	ATHE_RS03465	Athe_0696
fig|31899.10.peg.1151|SAMN05216182_0963	WP_015907254.1	ATHE_RS03470	Athe_0697
fig|31899.10.peg.1152|SAMN05216182_0964	WP_015907255.1	ATHE_RS03475	Athe_0698
fig|31899.10.peg.1153|SAMN05216182_0965	WP_015907256.1	ATHE_RS03480	Athe_0699
fig|31899.10.peg.1154|SAMN05216182_0966	WP_015907257.1	ATHE_RS03485	Athe_0700
fig|31899.10.peg.1155|SAMN05216182_0967	WP_015907258.1	ATHE_RS03490	Athe_0701
fig|31899.10.peg.1156|SAMN05216182_0968	WP_015907259.1	ATHE_RS03495	Athe_0702
fig|31899.10.peg.1157|SAMN05216182_0969	WP_015907260.1	ATHE_RS03500	Athe_0703
fig|31899.10.peg.1158|SAMN05216182_0970	WP_015907261.1	ATHE_RS03505	Athe_0704
fig|31899.10.peg.1159|SAMN05216182_0971	WP_015907262.1	ATHE_RS03510	Athe_0705
fig|31899.10.peg.1160|SAMN05216182_0972	WP_015907263.1	ATHE_RS03515	Athe_0706
fig|31899.10.peg.1162|SAMN05216182_0974	WP_015907265.1	ATHE_RS03525	Athe_0708
fig|31899.10.peg.1163|SAMN05216182_0975	WP_013430845.1	ATHE_RS03530	Athe_0709
fig|31899.10.peg.1164|SAMN05216182_0976	WP_015907266.1	ATHE_RS03535	Athe_0710
fig|31899.10.peg.1165|SAMN05216182_0977	WP_015907267.1	ATHE_RS03540	Athe_0711
fig|31899.10.peg.1166|SAMN05216182_0978	WP_015907268.1	ATHE_RS03545	Athe_0712
fig|31899.10.peg.1168|SAMN05216182_0980	WP_015907270.1	ATHE_RS03555	Athe_0714
fig|31899.10.peg.1169|SAMN05216182_0981	WP_015907271.1	ATHE_RS03560	Athe_0715
fig|31899.10.peg.1170|SAMN05216182_0982	WP_015907272.1	ATHE_RS03565	Athe_0716
fig|31899.10.peg.1171|SAMN05216182_0983	WP_015907273.1	ATHE_RS03570	Athe_0717
fig|31899.10.peg.1172|SAMN05216182_0984	WP_015907274.1	ATHE_RS03575	NA
fig|31899.10.peg.1176|SAMN05216182_0988	WP_015907278.1	ATHE_RS03585	Athe_0722
fig|31899.10.peg.1177|SAMN05216182_0989	WP_015907279.1	ATHE_RS03590	Athe_0723
fig|31899.10.peg.1178|SAMN05216182_0990	WP_015907280.1	ATHE_RS03595	Athe_0724
fig|31899.10.peg.1179	WP_015907281.1	ATHE_RS03600	Athe_0725
fig|31899.10.peg.1180	WP_015907282.1	ATHE_RS03605	Athe_0726
fig|31899.10.peg.1181|SAMN05216182_0992	WP_015907283.1	ATHE_RS03610	Athe_0727
fig|31899.10.peg.1182|SAMN05216182_0993	WP_015907284.1	ATHE_RS03615	Athe_0728
fig|31899.10.peg.1184|SAMN05216182_0994	WP_015906731.1	ATHE_RS13960	Athe_2764
fig|31899.10.peg.1185|SAMN05216182_0995	WP_015907285.1	ATHE_RS03625	Athe_0730
fig|31899.10.peg.1186|SAMN05216182_0996	WP_011916452.1	ATHE_RS03630	Athe_0731
fig|31899.10.peg.1187|SAMN05216182_0997	WP_015907286.1	ATHE_RS03635	Athe_0732
fig|31899.10.peg.1188|SAMN05216182_0998	WP_015907287.1	ATHE_RS03640	Athe_0733
fig|31899.10.peg.1189|SAMN05216182_0999	WP_015907288.1	ATHE_RS03645	Athe_0734
fig|31899.10.peg.1192|SAMN05216182_1002	WP_015907291.1	ATHE_RS03660	Athe_0737
fig|31899.10.peg.1193|SAMN05216182_1003	WP_015907292.1	ATHE_RS03665	Athe_0738
fig|31899.10.peg.1194|SAMN05216182_1004	WP_015907293.1	ATHE_RS03670	Athe_0739
fig|31899.10.peg.1195|SAMN05216182_1005	WP_015907294.1	ATHE_RS03675	Athe_0740
fig|31899.10.peg.1196|SAMN05216182_1006	WP_015907295.1	ATHE_RS03680	Athe_0741
fig|31899.10.peg.1197|SAMN05216182_1007	WP_015907296.1	ATHE_RS03685	Athe_0742
fig|31899.10.peg.1198|SAMN05216182_1008	WP_012660747.1	ATHE_RS14005	Athe_2773
fig|31899.10.peg.1200|SAMN05216182_1009	WP_015907297.1	ATHE_RS03695	Athe_0744
fig|31899.10.peg.1201|SAMN05216182_1010	WP_015907298.1	ATHE_RS03700	Athe_0745
fig|31899.10.peg.1202|SAMN05216182_1011	WP_015907299.1	ATHE_RS03705	Athe_0746
fig|31899.10.peg.1203|SAMN05216182_1012	WP_015907300.1	ATHE_RS03710	Athe_0747
fig|31899.10.peg.1204|SAMN05216182_1014	WP_015907301.1	ATHE_RS03720	Athe_0748
fig|31899.10.peg.1205|SAMN05216182_1015	WP_015907302.1	ATHE_RS03725	Athe_0749
fig|31899.10.peg.1206|SAMN05216182_1016	WP_015907303.1	ATHE_RS03730	Athe_0750
fig|31899.10.peg.1207|SAMN05216182_1017	WP_015907304.1	ATHE_RS03735	Athe_0751
fig|31899.10.peg.1208|SAMN05216182_1018	WP_015907305.1	ATHE_RS03740	Athe_0752
fig|31899.10.peg.1209|SAMN05216182_1019	WP_015907306.1	ATHE_RS03745	Athe_0753
fig|31899.10.peg.1210|SAMN05216182_1020	WP_015907307.1	ATHE_RS03750	Athe_0754
fig|31899.10.peg.1211|SAMN05216182_1021	WP_015907308.1	ATHE_RS03755	Athe_0755
fig|31899.10.peg.1212|SAMN05216182_1027	WP_015907309.1	ATHE_RS03785	Athe_0756
fig|31899.10.peg.1213|SAMN05216182_1028	WP_015907310.1	ATHE_RS03790	Athe_0757
fig|31899.10.peg.1216|SAMN05216182_1029	WP_015907311.1	ATHE_RS03795	Athe_0758
fig|31899.10.peg.1217|SAMN05216182_1030	WP_015907312.1	ATHE_RS03800	Athe_0759
fig|31899.10.peg.1218|SAMN05216182_1031	WP_015907313.1	ATHE_RS03805	Athe_0760
fig|31899.10.peg.1219|SAMN05216182_1032	WP_015907314.1	ATHE_RS03810	Athe_0761
fig|31899.10.peg.1220|SAMN05216182_1033	WP_015907315.1	ATHE_RS03815	Athe_0762
fig|31899.10.peg.1222|SAMN05216182_1035	WP_015907317.1	ATHE_RS03825	Athe_0764
fig|31899.10.peg.1225|SAMN05216182_1037	WP_015907319.1	ATHE_RS03835	Athe_0766
fig|31899.10.peg.1226|SAMN05216182_1038	WP_015907320.1	ATHE_RS03840	Athe_0767
fig|31899.10.peg.1227|SAMN05216182_1039	WP_015907321.1	ATHE_RS03845	Athe_0768
fig|31899.10.peg.1228|SAMN05216182_1040	WP_015907322.1	ATHE_RS03850	Athe_0769
fig|31899.10.peg.1230|SAMN05216182_1042	WP_015907324.1	ATHE_RS03860	Athe_0771
fig|31899.10.peg.1231|SAMN05216182_1043	WP_015907325.1	ATHE_RS03865	Athe_0772
fig|31899.10.peg.1233|SAMN05216182_1045	WP_015907327.1	ATHE_RS03875	Athe_0774
fig|31899.10.peg.1234|SAMN05216182_1046	WP_015907328.1	ATHE_RS03880	Athe_0775
fig|31899.10.peg.1235|SAMN05216182_1047	WP_015907329.1	ATHE_RS03885	Athe_0776
fig|31899.10.peg.1237|SAMN05216182_1049	WP_015907331.1	ATHE_RS03895	Athe_0778
fig|31899.10.peg.1240|SAMN05216182_1052	WP_015907333.1	ATHE_RS03910	Athe_0781
fig|31899.10.peg.1241|SAMN05216182_1053	WP_013430797.1	ATHE_RS03915	Athe_0782
fig|31899.10.peg.1242|SAMN05216182_1054	WP_015907334.1	ATHE_RS03920	Athe_0783
fig|31899.10.peg.1243|SAMN05216182_1055	WP_013430795.1	ATHE_RS03925	Athe_0784
fig|31899.10.peg.1244|SAMN05216182_1056	WP_015907335.1	ATHE_RS03930	Athe_0785
fig|31899.10.peg.1245|SAMN05216182_1057	WP_015907336.1	ATHE_RS03935	Athe_0786
fig|31899.10.peg.1246|SAMN05216182_1058	WP_015907337.1	ATHE_RS03940	Athe_0787
fig|31899.10.peg.1247|SAMN05216182_1059	WP_015907338.1	ATHE_RS03945	Athe_0788
fig|31899.10.peg.1248|SAMN05216182_1060	WP_015907339.1	ATHE_RS03950	Athe_0789
fig|31899.10.peg.1249|SAMN05216182_1061	WP_015907340.1	ATHE_RS03955	Athe_0790
fig|31899.10.peg.1250|SAMN05216182_1062	WP_015907341.1	ATHE_RS03960	Athe_0791
fig|31899.10.peg.1251|SAMN05216182_1063	WP_015907342.1	ATHE_RS03965	Athe_0792
fig|31899.10.peg.1252|SAMN05216182_1064	WP_015907343.1	ATHE_RS03970	Athe_0793
fig|31899.10.peg.1253|SAMN05216182_1065	WP_015907344.1	ATHE_RS03975	Athe_0794
fig|31899.10.peg.1254|SAMN05216182_1066	WP_015907345.1	ATHE_RS03980	Athe_0795
fig|31899.10.peg.1255|SAMN05216182_1067	WP_015907346.1	ATHE_RS03985	Athe_0796
fig|31899.10.peg.1256|SAMN05216182_1068	WP_015907347.1	ATHE_RS03990	Athe_0797
fig|31899.10.peg.1257|SAMN05216182_1069	WP_041727092.1	ATHE_RS03995	Athe_0798
fig|31899.10.peg.1258|SAMN05216182_1070	WP_015907349.1	ATHE_RS04000	Athe_0799
fig|31899.10.peg.1259|SAMN05216182_1071	WP_015907350.1	ATHE_RS04005	Athe_0800
fig|31899.10.peg.1260|SAMN05216182_1072	WP_015907351.1	ATHE_RS04010	Athe_0801
fig|31899.10.peg.1261|SAMN05216182_1074	WP_015907352.1	ATHE_RS04015	Athe_0802
fig|31899.10.peg.1262|SAMN05216182_1075	WP_015907353.1	ATHE_RS04020	Athe_0803
fig|31899.10.peg.1263|SAMN05216182_1076	WP_015907354.1	ATHE_RS04025	Athe_0804
fig|31899.10.peg.1264|SAMN05216182_1077	WP_015907355.1	ATHE_RS04030	Athe_0805
fig|31899.10.peg.1265|SAMN05216182_1078	WP_013430775.1	ATHE_RS04035	Athe_0806
fig|31899.10.peg.1266|SAMN05216182_1079	WP_013290052.1	ATHE_RS04040	Athe_0807
fig|31899.10.peg.1267|SAMN05216182_1080	WP_013290053.1	ATHE_RS04045	Athe_0808
fig|31899.10.peg.1268|SAMN05216182_1081	WP_015907356.1	ATHE_RS04050	Athe_0809
fig|31899.10.peg.1269|SAMN05216182_1082	WP_013403741.1	ATHE_RS04055	Athe_0810
fig|31899.10.peg.1270|SAMN05216182_1083	WP_015907357.1	ATHE_RS04060	Athe_0811
fig|31899.10.peg.1271|SAMN05216182_1084	WP_013403739.1	ATHE_RS04065	Athe_0812
fig|31899.10.peg.1272|SAMN05216182_1085	WP_015907358.1	ATHE_RS04070	Athe_0813
fig|31899.10.peg.1273|SAMN05216182_1086	WP_015907359.1	ATHE_RS04075	Athe_0814
fig|31899.10.peg.1274|SAMN05216182_1087	WP_015907360.1	ATHE_RS04080	Athe_0815
fig|31899.10.peg.1275|SAMN05216182_1088	WP_015907361.1	ATHE_RS04085	Athe_0816
fig|31899.10.peg.1276|SAMN05216182_1089	WP_013433105.1	ATHE_RS04090	Athe_0817
fig|31899.10.peg.1277|SAMN05216182_1090	WP_015907362.1	ATHE_RS04095	Athe_0818
fig|31899.10.peg.1278|SAMN05216182_1091	WP_015907363.1	ATHE_RS04100	Athe_0819
fig|31899.10.peg.1279|SAMN05216182_1092	WP_013403731.1	ATHE_RS04105	Athe_0820
fig|31899.10.peg.1280|SAMN05216182_1093	WP_015907364.1	ATHE_RS04110	Athe_0821
fig|31899.10.peg.1281|SAMN05216182_1094	WP_015907365.1	ATHE_RS04115	Athe_0822
fig|31899.10.peg.1282|SAMN05216182_1095	WP_015907366.1	ATHE_RS04120	Athe_0823
fig|31899.10.peg.1284|SAMN05216182_1096	WP_015907367.1	ATHE_RS04125	Athe_0824
fig|31899.10.peg.1285|SAMN05216182_1097	WP_015907368.1	ATHE_RS04130	Athe_0825
