fig|31899.10.peg.70|SAMN05216182_0004	WP_015908853.1	ATHE_RS12780
fig|31899.10.peg.569|SAMN05216182_0427	WP_015906800.1	ATHE_RS00845
fig|31899.10.peg.570|SAMN05216182_0428	WP_011917919.1	ATHE_RS00850
fig|31899.10.peg.571|SAMN05216182_0429	WP_015906801.1	ATHE_RS00855
fig|31899.10.peg.572|SAMN05216182_0430	WP_013431286.1	ATHE_RS00860
fig|31899.10.peg.573|SAMN05216182_0431	WP_013431285.1	ATHE_RS00865
fig|31899.10.peg.574|SAMN05216182_0432	WP_015906802.1	ATHE_RS00870
fig|31899.10.peg.575|SAMN05216182_0433	WP_015906803.1	ATHE_RS00875
fig|31899.10.peg.576|SAMN05216182_0434	WP_015906804.1	ATHE_RS00880
fig|31899.10.peg.577|SAMN05216182_0435	WP_015906805.1	ATHE_RS00885
fig|31899.10.peg.578|SAMN05216182_0436	WP_013431280.1	ATHE_RS00890
fig|31899.10.peg.580|SAMN05216182_0438	WP_015906807.1	ATHE_RS00900
fig|31899.10.peg.581|SAMN05216182_0439	WP_015906808.1	ATHE_RS00905
fig|31899.10.peg.582|SAMN05216182_0440	WP_015906809.1	ATHE_RS00910
fig|31899.10.peg.583|SAMN05216182_0441	WP_015906810.1	ATHE_RS00915
fig|31899.10.peg.585|SAMN05216182_0443	WP_015906731.1	ATHE_RS13960
fig|31899.10.peg.587|SAMN05216182_0445	WP_015906812.1	ATHE_RS00930
fig|31899.10.peg.588|SAMN05216182_0446	WP_015906813.1	ATHE_RS00935
fig|31899.10.peg.589|SAMN05216182_0447	WP_015906814.1	ATHE_RS00940
fig|31899.10.peg.590|SAMN05216182_0448	WP_015906815.1	ATHE_RS00945
fig|31899.10.peg.591|SAMN05216182_0449	WP_015906816.1	ATHE_RS00950
fig|31899.10.peg.592|SAMN05216182_0450	WP_015906817.1	ATHE_RS00955
fig|31899.10.peg.593|SAMN05216182_0451	WP_015906818.1	ATHE_RS00960
fig|31899.10.peg.594|SAMN05216182_0452	WP_015906819.1	ATHE_RS00965
fig|31899.10.peg.595|SAMN05216182_0453	WP_015906820.1	ATHE_RS00970
fig|31899.10.peg.596|SAMN05216182_0454	WP_015906821.1	ATHE_RS00975
fig|31899.10.peg.597|SAMN05216182_0455	WP_015906822.1	ATHE_RS00980
fig|31899.10.peg.598|SAMN05216182_0456	WP_013431266.1	ATHE_RS00985
fig|31899.10.peg.599|SAMN05216182_0457	WP_015906823.1	ATHE_RS00990
fig|31899.10.peg.600|SAMN05216182_0458	WP_015906824.1	ATHE_RS00995
fig|31899.10.peg.602|SAMN05216182_0459	WP_015906825.1	ATHE_RS01000
fig|31899.10.peg.603|SAMN05216182_0460	WP_015906826.1	ATHE_RS01005
fig|31899.10.peg.604|SAMN05216182_0461	WP_015906827.1	ATHE_RS01010
fig|31899.10.peg.605|SAMN05216182_0462	WP_015906828.1	ATHE_RS01015
fig|31899.10.peg.607|SAMN05216182_0464	WP_015906830.1	ATHE_RS01025
fig|31899.10.peg.608|SAMN05216182_0465	WP_015906831.1	ATHE_RS01030
fig|31899.10.peg.609|SAMN05216182_0466	WP_015906832.1	ATHE_RS01035
fig|31899.10.peg.610|SAMN05216182_0467	WP_015906833.1	ATHE_RS01040
fig|31899.10.peg.611|SAMN05216182_0468	WP_015906834.1	ATHE_RS01045
fig|31899.10.peg.612|SAMN05216182_0469	WP_015906835.1	ATHE_RS01050
fig|31899.10.peg.613|SAMN05216182_0470	WP_015906836.1	ATHE_RS01055
fig|31899.10.peg.614|SAMN05216182_0471	WP_015906837.1	ATHE_RS01060
fig|31899.10.peg.615|SAMN05216182_0472	WP_015906838.1	ATHE_RS01065
fig|31899.10.peg.616|SAMN05216182_0473	WP_015906839.1	ATHE_RS01070
fig|31899.10.peg.617|SAMN05216182_0474	WP_015906840.1	ATHE_RS01075
fig|31899.10.peg.618|SAMN05216182_0475	WP_041726965.1	ATHE_RS01080
fig|31899.10.peg.619|SAMN05216182_0476	WP_015906842.1	ATHE_RS01085
fig|31899.10.peg.620|SAMN05216182_0477	WP_015906843.1	ATHE_RS01090
fig|31899.10.peg.621|SAMN05216182_0478	WP_015906844.1	ATHE_RS01095
fig|31899.10.peg.622|SAMN05216182_0479	WP_041726967.1	ATHE_RS01100
fig|31899.10.peg.623|SAMN05216182_0480	WP_015906846.1	ATHE_RS01105
fig|31899.10.peg.625|SAMN05216182_0482	WP_015906847.1	ATHE_RS01115
fig|31899.10.peg.627|SAMN05216182_0484	WP_015906848.1	ATHE_RS01120
fig|31899.10.peg.628|SAMN05216182_0485	WP_015906849.1	ATHE_RS01125
fig|31899.10.peg.630|SAMN05216182_0487	WP_015906851.1	ATHE_RS01135
fig|31899.10.peg.631|SAMN05216182_0488	WP_015906852.1	ATHE_RS01140
fig|31899.10.peg.632|SAMN05216182_0489	WP_015906853.1	ATHE_RS01145
fig|31899.10.peg.633|SAMN05216182_0490	WP_015906854.1	ATHE_RS01150
fig|31899.10.peg.634|SAMN05216182_0491	WP_015906855.1	ATHE_RS01155
fig|31899.10.peg.635|SAMN05216182_0492	WP_015906856.1	ATHE_RS01160
fig|31899.10.peg.636|SAMN05216182_0493	WP_015906857.1	ATHE_RS01165
fig|31899.10.peg.637|SAMN05216182_0494	WP_015906858.1	ATHE_RS01170
fig|31899.10.peg.638|SAMN05216182_0495	WP_015906859.1	ATHE_RS01175
fig|31899.10.peg.639|SAMN05216182_0496	WP_015906860.1	ATHE_RS01180
fig|31899.10.peg.641|SAMN05216182_0498	WP_013431228.1	ATHE_RS01185
fig|31899.10.peg.642|SAMN05216182_0499	WP_013431227.1	ATHE_RS01190
fig|31899.10.peg.643|SAMN05216182_0500	WP_015906862.1	ATHE_RS01195
fig|31899.10.peg.644|SAMN05216182_0501	WP_015906863.1	ATHE_RS01200
fig|31899.10.peg.645|SAMN05216182_0502	WP_015906864.1	ATHE_RS01205
fig|31899.10.peg.646|SAMN05216182_0503	WP_015906865.1	ATHE_RS01210
fig|31899.10.peg.647|SAMN05216182_0504	WP_015906866.1	ATHE_RS01215
fig|31899.10.peg.648|SAMN05216182_0505	WP_015906867.1	ATHE_RS01220
fig|31899.10.peg.649|SAMN05216182_0506	WP_015906868.1	ATHE_RS01225
fig|31899.10.peg.650|SAMN05216182_0507	WP_015906869.1	ATHE_RS01230
fig|31899.10.peg.651|SAMN05216182_0508	WP_015906870.1	ATHE_RS01235
fig|31899.10.peg.652|SAMN05216182_0509	WP_015906871.1	ATHE_RS01240
fig|31899.10.peg.653|SAMN05216182_0510	WP_015906872.1	ATHE_RS01245
fig|31899.10.peg.657|SAMN05216182_0513	WP_013429593.1	ATHE_RS11550
fig|31899.10.peg.658|SAMN05216182_0514	WP_015906876.1	ATHE_RS11545
fig|31899.10.peg.664|SAMN05216182_0517	WP_015906879.1	ATHE_RS01280
fig|31899.10.peg.665|SAMN05216182_0518	WP_015906880.1	ATHE_RS01285
fig|31899.10.peg.667|SAMN05216182_0520	WP_015906882.1	ATHE_RS01295
fig|31899.10.peg.668	WP_015906883.1	ATHE_RS01300
fig|31899.10.peg.669	WP_015906884.1	ATHE_RS01305
fig|31899.10.peg.672|SAMN05216182_0524	WP_013431220.1	ATHE_RS01310
fig|31899.10.peg.673|SAMN05216182_0525	WP_015906886.1	ATHE_RS01315
fig|31899.10.peg.674|SAMN05216182_0526	WP_015906887.1	ATHE_RS01320
fig|31899.10.peg.675|SAMN05216182_0527	WP_015906888.1	ATHE_RS01325
fig|31899.10.peg.676|SAMN05216182_0528	WP_015906889.1	ATHE_RS01330
fig|31899.10.peg.678|SAMN05216182_0530	WP_015906891.1	ATHE_RS01340
fig|31899.10.peg.679|SAMN05216182_0531	WP_015906892.1	ATHE_RS01345
fig|31899.10.peg.680|SAMN05216182_0532	WP_015906893.1	ATHE_RS01350
fig|31899.10.peg.681|SAMN05216182_0533	WP_015906894.1	ATHE_RS01355
fig|31899.10.peg.691	WP_015906896.1	ATHE_RS01385
fig|31899.10.peg.696|SAMN05216182_0543	WP_015906899.1	ATHE_RS01400
fig|31899.10.peg.697|SAMN05216182_0544	WP_015906900.1	ATHE_RS01405
fig|31899.10.peg.699	WP_041726989.1	ATHE_RS01415
fig|31899.10.peg.707|SAMN05216182_0550	WP_015906902.1	ATHE_RS01440
fig|31899.10.peg.708|SAMN05216182_0551	WP_015906903.1	ATHE_RS01445
fig|31899.10.peg.710|SAMN05216182_0553	WP_015906905.1	ATHE_RS01455
fig|31899.10.peg.711|SAMN05216182_0554	WP_015906906.1	ATHE_RS01460
fig|31899.10.peg.713|SAMN05216182_0556	WP_015906908.1	ATHE_RS01470
fig|31899.10.peg.715|SAMN05216182_0558	WP_015906910.1	ATHE_RS01480
fig|31899.10.peg.716|SAMN05216182_0559	WP_015906911.1	ATHE_RS01485
fig|31899.10.peg.717|SAMN05216182_0560	WP_015906912.1	ATHE_RS01490
fig|31899.10.peg.718|SAMN05216182_0561	WP_015906913.1	ATHE_RS01495
fig|31899.10.peg.719|SAMN05216182_0562	WP_015906914.1	ATHE_RS01500
fig|31899.10.peg.720|SAMN05216182_0563	WP_015906915.1	ATHE_RS01505
fig|31899.10.peg.721|SAMN05216182_0564	WP_015906916.1	ATHE_RS01510
fig|31899.10.peg.722|SAMN05216182_0565	WP_015906917.1	ATHE_RS01515
fig|31899.10.peg.723|SAMN05216182_0566	WP_015906918.1	ATHE_RS01520
fig|31899.10.peg.724|SAMN05216182_0567	WP_013289631.1	ATHE_RS01525
fig|31899.10.peg.725|SAMN05216182_0568	WP_015906919.1	ATHE_RS01530
fig|31899.10.peg.726|SAMN05216182_0569	WP_015906920.1	ATHE_RS01535
fig|31899.10.peg.727|SAMN05216182_0570	WP_015906921.1	ATHE_RS01540
fig|31899.10.peg.728|SAMN05216182_0571	WP_015906922.1	ATHE_RS01545
fig|31899.10.peg.729|SAMN05216182_0572	WP_015906923.1	ATHE_RS01550
fig|31899.10.peg.730|SAMN05216182_0573	WP_015906924.1	ATHE_RS01555
fig|31899.10.peg.731|SAMN05216182_0574	WP_079504049.1	ATHE_RS01560
fig|31899.10.peg.732|SAMN05216182_0575	WP_041727004.1	ATHE_RS01565
fig|31899.10.peg.733|SAMN05216182_0576	WP_015906927.1	ATHE_RS01570
fig|31899.10.peg.734|SAMN05216182_0577	WP_015906928.1	ATHE_RS01575
fig|31899.10.peg.735|SAMN05216182_0578	WP_015906929.1	ATHE_RS01580
fig|31899.10.peg.736|SAMN05216182_0579	WP_015906930.1	ATHE_RS01585
fig|31899.10.peg.738|SAMN05216182_0581	WP_015906932.1	ATHE_RS01590
fig|31899.10.peg.739|SAMN05216182_0582	WP_015906933.1	ATHE_RS01595
fig|31899.10.peg.740|SAMN05216182_0583	WP_015906934.1	ATHE_RS01600
fig|31899.10.peg.741|SAMN05216182_0584	WP_015906935.1	ATHE_RS01605
fig|31899.10.peg.742|SAMN05216182_0585	WP_015906936.1	ATHE_RS14060
fig|31899.10.peg.748|SAMN05216182_0591	WP_015906937.1	ATHE_RS01635
fig|31899.10.peg.750|SAMN05216182_0593	WP_015906940.1	ATHE_RS01645
fig|31899.10.peg.751|SAMN05216182_0594	WP_015906941.1	ATHE_RS01650
fig|31899.10.peg.752|SAMN05216182_0595	WP_015906942.1	ATHE_RS01655
fig|31899.10.peg.753|SAMN05216182_0596	WP_015906943.1	ATHE_RS01660
fig|31899.10.peg.754|SAMN05216182_0597	WP_015906944.1	ATHE_RS01665
fig|31899.10.peg.755|SAMN05216182_0598	WP_015906945.1	ATHE_RS01670
fig|31899.10.peg.756|SAMN05216182_0599	WP_015906946.1	ATHE_RS01675
fig|31899.10.peg.758|SAMN05216182_0601	WP_015906948.1	ATHE_RS01685
fig|31899.10.peg.759|SAMN05216182_0602	WP_079504000.1	ATHE_RS01690
fig|31899.10.peg.760|SAMN05216182_0603	WP_015906950.1	ATHE_RS01695
fig|31899.10.peg.761|SAMN05216182_0604	WP_015906951.1	ATHE_RS01700
fig|31899.10.peg.762|SAMN05216182_0605	WP_015906952.1	ATHE_RS14185
fig|31899.10.peg.763|SAMN05216182_0606	WP_015906953.1	ATHE_RS01710
fig|31899.10.peg.766|SAMN05216182_0609	WP_015906955.1	ATHE_RS01720
fig|31899.10.peg.771|SAMN05216182_0613	WP_015906960.1	ATHE_RS01740
fig|31899.10.peg.772|SAMN05216182_0614	WP_015906961.1	ATHE_RS01745
fig|31899.10.peg.773|SAMN05216182_0615	WP_015906962.1	ATHE_RS01750
fig|31899.10.peg.774|SAMN05216182_0616	WP_015906963.1	ATHE_RS01755
fig|31899.10.peg.776|SAMN05216182_0618	WP_015906965.1	ATHE_RS01765
fig|31899.10.peg.778|SAMN05216182_0620	WP_015906967.1	ATHE_RS01775
fig|31899.10.peg.780|SAMN05216182_0622	WP_015906968.1	ATHE_RS01780
fig|31899.10.peg.781|SAMN05216182_0623	WP_015906969.1	ATHE_RS01785
fig|31899.10.peg.782|SAMN05216182_0624	WP_015906970.1	ATHE_RS01790
fig|31899.10.peg.783|SAMN05216182_0625	WP_015906971.1	ATHE_RS01795
fig|31899.10.peg.784|SAMN05216182_0626	WP_015906972.1	ATHE_RS01800
fig|31899.10.peg.785|SAMN05216182_0627	WP_015906973.1	ATHE_RS01805
fig|31899.10.peg.786|SAMN05216182_0628	WP_015906974.1	ATHE_RS01810
fig|31899.10.peg.790|SAMN05216182_0630	WP_015906975.1	ATHE_RS14070
fig|31899.10.peg.791|SAMN05216182_0631	WP_015906976.1	ATHE_RS01830
fig|31899.10.peg.792|SAMN05216182_0632	WP_015906977.1	ATHE_RS01835
fig|31899.10.peg.793	WP_015906978.1	ATHE_RS01840
fig|31899.10.peg.796|SAMN05216182_0636	WP_015906980.1	ATHE_RS01855
fig|31899.10.peg.797|SAMN05216182_0637	WP_015906981.1	ATHE_RS01860
fig|31899.10.peg.798|SAMN05216182_0638	WP_015906982.1	ATHE_RS01865
fig|31899.10.peg.799|SAMN05216182_0639	WP_015906983.1	ATHE_RS01870
fig|31899.10.peg.802|SAMN05216182_0642	WP_015906986.1	ATHE_RS01880
fig|31899.10.peg.803|SAMN05216182_0643	WP_015906987.1	ATHE_RS01885
fig|31899.10.peg.805|SAMN05216182_0645	WP_015906989.1	ATHE_RS01895
fig|31899.10.peg.806|SAMN05216182_0646	WP_015906990.1	ATHE_RS01900
fig|31899.10.peg.808|SAMN05216182_0648	WP_015906992.1	ATHE_RS01910
fig|31899.10.peg.809|SAMN05216182_0649	WP_015906993.1	ATHE_RS01915
fig|31899.10.peg.810|SAMN05216182_0650	WP_015906994.1	ATHE_RS01920
fig|31899.10.peg.811|SAMN05216182_0651	WP_041727026.1	ATHE_RS01925
fig|31899.10.peg.812|SAMN05216182_0658	WP_015906996.1	ATHE_RS01955
fig|31899.10.peg.813|SAMN05216182_0659	WP_015906997.1	ATHE_RS01960
fig|31899.10.peg.814|SAMN05216182_0660	WP_015906998.1	ATHE_RS01965
fig|31899.10.peg.815|SAMN05216182_0661	WP_015906999.1	ATHE_RS01970
fig|31899.10.peg.816|SAMN05216182_0662	WP_015907000.1	ATHE_RS01975
fig|31899.10.peg.817|SAMN05216182_0663	WP_015907001.1	ATHE_RS01980
fig|31899.10.peg.818|SAMN05216182_0664	WP_015907002.1	ATHE_RS01985
fig|31899.10.peg.821|SAMN05216182_0667	WP_015907004.1	ATHE_RS01995
fig|31899.10.peg.822|SAMN05216182_0668	WP_015907005.1	ATHE_RS02000
fig|31899.10.peg.826|SAMN05216182_0672	WP_015907009.1	ATHE_RS02015
fig|31899.10.peg.829|SAMN05216182_0674	WP_015907011.1	ATHE_RS02025
fig|31899.10.peg.835|SAMN05216182_0677	WP_015907013.1	ATHE_RS02045
fig|31899.10.peg.836|SAMN05216182_0678	WP_015907014.1	ATHE_RS02050
fig|31899.10.peg.837|SAMN05216182_0679	WP_013431128.1	ATHE_RS02055
fig|31899.10.peg.838|SAMN05216182_0680	WP_015907015.1	ATHE_RS02060
fig|31899.10.peg.839|SAMN05216182_0681	WP_015907016.1	ATHE_RS02065
fig|31899.10.peg.841|SAMN05216182_0683	WP_015907018.1	ATHE_RS02075
fig|31899.10.peg.843|SAMN05216182_0684	WP_015907019.1	ATHE_RS02080
fig|31899.10.peg.844|SAMN05216182_0685	WP_015907020.1	ATHE_RS02085
fig|31899.10.peg.846|SAMN05216182_0687	WP_015907022.1	ATHE_RS02095
fig|31899.10.peg.847|SAMN05216182_0688	WP_041727319.1	ATHE_RS02100
fig|31899.10.peg.848|SAMN05216182_0689	WP_015907024.1	ATHE_RS02105
fig|31899.10.peg.849|SAMN05216182_0690	WP_015907025.1	ATHE_RS02110
fig|31899.10.peg.851|SAMN05216182_0692	WP_015907027.1	ATHE_RS02120
fig|31899.10.peg.852|SAMN05216182_0693	WP_015907028.1	ATHE_RS02125
fig|31899.10.peg.853|SAMN05216182_0694	WP_015907029.1	ATHE_RS02130
fig|31899.10.peg.854|SAMN05216182_0695	WP_015907030.1	ATHE_RS02135
fig|31899.10.peg.855|SAMN05216182_0696	WP_013431110.1	ATHE_RS02140
fig|31899.10.peg.856|SAMN05216182_0697	WP_015907031.1	ATHE_RS02145
fig|31899.10.peg.857|SAMN05216182_0698	WP_015907032.1	ATHE_RS02150
fig|31899.10.peg.858|SAMN05216182_0699	WP_015907033.1	ATHE_RS02155
fig|31899.10.peg.859|SAMN05216182_0700	WP_015907034.1	ATHE_RS02160
fig|31899.10.peg.860|SAMN05216182_0701	WP_015907035.1	ATHE_RS02165
fig|31899.10.peg.861|SAMN05216182_0702	WP_015907036.1	ATHE_RS02170
fig|31899.10.peg.862|SAMN05216182_0703	WP_015907037.1	ATHE_RS02175
fig|31899.10.peg.863|SAMN05216182_0704	WP_015907038.1	ATHE_RS02180
fig|31899.10.peg.864|SAMN05216182_0705	WP_015907039.1	ATHE_RS02185
fig|31899.10.peg.865|SAMN05216182_0706	WP_015907040.1	ATHE_RS02190
fig|31899.10.peg.866|SAMN05216182_0707	WP_015907041.1	ATHE_RS02195
fig|31899.10.peg.867|SAMN05216182_0708	WP_015907042.1	ATHE_RS02200
fig|31899.10.peg.868|SAMN05216182_0709	WP_015907043.1	ATHE_RS02205
fig|31899.10.peg.869|SAMN05216182_0710	WP_015907044.1	ATHE_RS02210
fig|31899.10.peg.870|SAMN05216182_0712	WP_015907045.1	ATHE_RS02220
fig|31899.10.peg.871|SAMN05216182_0713	WP_015907046.1	ATHE_RS02225
fig|31899.10.peg.872|SAMN05216182_0714	WP_015907047.1	ATHE_RS02230
fig|31899.10.peg.873|SAMN05216182_0715	WP_015907048.1	ATHE_RS02235
fig|31899.10.peg.874|SAMN05216182_0716	WP_015907049.1	ATHE_RS02240
fig|31899.10.peg.875|SAMN05216182_0717	WP_015907050.1	ATHE_RS02245
fig|31899.10.peg.876|SAMN05216182_0718	WP_015907051.1	ATHE_RS02250
fig|31899.10.peg.877|SAMN05216182_0719	WP_015907052.1	ATHE_RS02255
fig|31899.10.peg.878|SAMN05216182_0720	WP_015907053.1	ATHE_RS02260
fig|31899.10.peg.879|SAMN05216182_0721	WP_015907054.1	ATHE_RS02265
fig|31899.10.peg.880|SAMN05216182_0722	WP_015907055.1	ATHE_RS02270
fig|31899.10.peg.881|SAMN05216182_0723	WP_015907056.1	ATHE_RS02275
fig|31899.10.peg.882|SAMN05216182_0724	WP_015907057.1	ATHE_RS02280
fig|31899.10.peg.883|SAMN05216182_0726	WP_015907058.1	ATHE_RS02285
fig|31899.10.peg.884|SAMN05216182_0727	WP_015907059.1	ATHE_RS02290
fig|31899.10.peg.885|SAMN05216182_0728	WP_015907060.1	ATHE_RS02295
fig|31899.10.peg.886|SAMN05216182_0729	WP_015907061.1	ATHE_RS02300
fig|31899.10.peg.887|SAMN05216182_0730	WP_015907062.1	ATHE_RS02305
fig|31899.10.peg.888|SAMN05216182_0731	WP_015907063.1	ATHE_RS02310
fig|31899.10.peg.889|SAMN05216182_0732	WP_015907064.1	ATHE_RS02315
fig|31899.10.peg.890|SAMN05216182_0733	WP_015907065.1	ATHE_RS02320
fig|31899.10.peg.893|SAMN05216182_0735	WP_015907067.1	ATHE_RS02330
fig|31899.10.peg.894|SAMN05216182_0736	WP_015907068.1	ATHE_RS02335
fig|31899.10.peg.895|SAMN05216182_0737	WP_015907069.1	ATHE_RS02340
fig|31899.10.peg.898|SAMN05216182_0739	WP_015907071.1	ATHE_RS02350
fig|31899.10.peg.899|SAMN05216182_0740	WP_015907072.1	ATHE_RS02355
fig|31899.10.peg.900|SAMN05216182_0741	WP_015907073.1	ATHE_RS02360
fig|31899.10.peg.902|SAMN05216182_0742	WP_015907074.1	ATHE_RS02365
fig|31899.10.peg.906|SAMN05216182_0744	WP_015907075.1	ATHE_RS02375
fig|31899.10.peg.909|SAMN05216182_0746	WP_015907077.1	ATHE_RS02385
fig|31899.10.peg.914|SAMN05216182_0748	WP_015907079.1	ATHE_RS02400
fig|31899.10.peg.917	WP_049760238.1	ATHE_RS02410
fig|31899.10.peg.919|SAMN05216182_0751	WP_015907082.1	ATHE_RS02420
fig|31899.10.peg.922|SAMN05216182_0753	WP_015907083.1	ATHE_RS02430
fig|31899.10.peg.926|SAMN05216182_0757	WP_015907085.1	ATHE_RS02455
fig|31899.10.peg.927|SAMN05216182_0758	WP_013431064.1	ATHE_RS02460
fig|31899.10.peg.928|SAMN05216182_0759	WP_015907086.1	ATHE_RS02465
fig|31899.10.peg.930|SAMN05216182_0761	WP_015907087.1	ATHE_RS02470
fig|31899.10.peg.931|SAMN05216182_0762	WP_015907088.1	ATHE_RS02475
fig|31899.10.peg.932|SAMN05216182_0763	WP_015907089.1	ATHE_RS02480
fig|31899.10.peg.933|SAMN05216182_0764	WP_015907090.1	ATHE_RS02485
fig|31899.10.peg.934|SAMN05216182_0765	WP_015907091.1	ATHE_RS02490
fig|31899.10.peg.935|SAMN05216182_0766	WP_013431057.1	ATHE_RS02495
fig|31899.10.peg.936|SAMN05216182_0767	WP_015907092.1	ATHE_RS02500
fig|31899.10.peg.939|SAMN05216182_0770	WP_015907095.1	ATHE_RS02510
fig|31899.10.peg.940|SAMN05216182_0771	WP_013431052.1	ATHE_RS02515
fig|31899.10.peg.941|SAMN05216182_0772	WP_015907096.1	ATHE_RS02520
fig|31899.10.peg.943|SAMN05216182_0774	WP_013431048.1	ATHE_RS02535
fig|31899.10.peg.944|SAMN05216182_0775	WP_015907099.1	ATHE_RS02540
fig|31899.10.peg.945|SAMN05216182_0776	WP_015907100.1	ATHE_RS02545
fig|31899.10.peg.946|SAMN05216182_0777	WP_015907101.1	ATHE_RS02550
fig|31899.10.peg.947|SAMN05216182_0778	WP_015907102.1	ATHE_RS02555
fig|31899.10.peg.949|SAMN05216182_0779	WP_015907103.1	ATHE_RS02560
fig|31899.10.peg.950|SAMN05216182_0780	WP_015907104.1	ATHE_RS02565
fig|31899.10.peg.951|SAMN05216182_0781	WP_041727048.1	ATHE_RS02570
fig|31899.10.peg.954|SAMN05216182_0784	WP_015907108.1	ATHE_RS02585
fig|31899.10.peg.955|SAMN05216182_0785	WP_015907109.1	ATHE_RS02590
fig|31899.10.peg.956|SAMN05216182_0786	WP_015907110.1	ATHE_RS02595
fig|31899.10.peg.957|SAMN05216182_0787	WP_013431024.1	ATHE_RS02600
fig|31899.10.peg.958|SAMN05216182_0788	WP_015907111.1	ATHE_RS02605
fig|31899.10.peg.959|SAMN05216182_0789	WP_015907112.1	ATHE_RS02610
fig|31899.10.peg.960|SAMN05216182_0791	WP_015907113.1	ATHE_RS02615
fig|31899.10.peg.961|SAMN05216182_0792	WP_015907114.1	ATHE_RS02620
fig|31899.10.peg.962|SAMN05216182_0793	WP_015907115.1	ATHE_RS02625
fig|31899.10.peg.963|SAMN05216182_0794	WP_015907116.1	ATHE_RS02630
fig|31899.10.peg.965|SAMN05216182_0796	WP_015907118.1	ATHE_RS02640
fig|31899.10.peg.966|SAMN05216182_0797	WP_015907119.1	ATHE_RS02645
fig|31899.10.peg.967|SAMN05216182_0798	WP_015907120.1	ATHE_RS02650
fig|31899.10.peg.968|SAMN05216182_0799	WP_015907121.1	ATHE_RS02655
fig|31899.10.peg.969|SAMN05216182_0801	WP_015907122.1	ATHE_RS02665
fig|31899.10.peg.970|SAMN05216182_0802	WP_013431011.1	ATHE_RS02670
fig|31899.10.peg.971|SAMN05216182_0803	WP_015907123.1	ATHE_RS02675
fig|31899.10.peg.973|SAMN05216182_0805	WP_015907125.1	ATHE_RS02685
fig|31899.10.peg.974|SAMN05216182_0806	WP_015907126.1	ATHE_RS02690
fig|31899.10.peg.975|SAMN05216182_0807	WP_015907127.1	ATHE_RS02695
fig|31899.10.peg.976|SAMN05216182_0808	WP_013431005.1	ATHE_RS02700
fig|31899.10.peg.977|SAMN05216182_0809	WP_015907128.1	ATHE_RS02705
fig|31899.10.peg.978|SAMN05216182_0810	WP_015907129.1	ATHE_RS02710
fig|31899.10.peg.979|SAMN05216182_0811	WP_015907130.1	ATHE_RS02715
fig|31899.10.peg.982|SAMN05216182_0813	WP_015907132.1	ATHE_RS02725
fig|31899.10.peg.983|SAMN05216182_0815	WP_013289825.1	ATHE_RS02730
fig|31899.10.peg.984|SAMN05216182_0816	WP_015907133.1	ATHE_RS02735
fig|31899.10.peg.985|SAMN05216182_0817	WP_015907134.1	ATHE_RS02740
fig|31899.10.peg.986|SAMN05216182_0818	WP_015907135.1	ATHE_RS02745
fig|31899.10.peg.987|SAMN05216182_0819	WP_015907136.1	ATHE_RS02750
fig|31899.10.peg.988|SAMN05216182_0820	WP_015907137.1	ATHE_RS02755
fig|31899.10.peg.989|SAMN05216182_0821	WP_015907138.1	ATHE_RS02760
fig|31899.10.peg.990|SAMN05216182_0822	WP_015907139.1	ATHE_RS02765
fig|31899.10.peg.991|SAMN05216182_0823	WP_013430992.1	ATHE_RS02770
fig|31899.10.peg.992|SAMN05216182_0824	WP_015907140.1	ATHE_RS02775
fig|31899.10.peg.993|SAMN05216182_0825	WP_015907141.1	ATHE_RS02780
fig|31899.10.peg.994|SAMN05216182_0826	WP_015907142.1	ATHE_RS02785
fig|31899.10.peg.995|SAMN05216182_0827	WP_015907143.1	ATHE_RS02790
fig|31899.10.peg.996|SAMN05216182_0828	WP_015907144.1	ATHE_RS02795
fig|31899.10.peg.998|SAMN05216182_0829	WP_015907145.1	ATHE_RS02805
fig|31899.10.peg.999|SAMN05216182_0830	WP_015907146.1	ATHE_RS02810
fig|31899.10.peg.1000|SAMN05216182_0831	WP_015907147.1	ATHE_RS02815
fig|31899.10.peg.1001|SAMN05216182_0832	WP_015907148.1	ATHE_RS02820
fig|31899.10.peg.1002|SAMN05216182_0833	WP_015907149.1	ATHE_RS02825
fig|31899.10.peg.1003|SAMN05216182_0834	WP_013430979.1	ATHE_RS02830
fig|31899.10.peg.1005|SAMN05216182_0836	WP_015907151.1	ATHE_RS02840
fig|31899.10.peg.1006|SAMN05216182_0837	WP_015907152.1	ATHE_RS02845
fig|31899.10.peg.1007|SAMN05216182_0838	WP_015907153.1	ATHE_RS02850
fig|31899.10.peg.1008|SAMN05216182_0839	WP_015907154.1	ATHE_RS02855
fig|31899.10.peg.1009|SAMN05216182_0840	WP_015907155.1	ATHE_RS02860
fig|31899.10.peg.1010|SAMN05216182_0841	WP_015907156.1	ATHE_RS02865
fig|31899.10.peg.1011|SAMN05216182_0842	WP_015907157.1	ATHE_RS02870
fig|31899.10.peg.1012|SAMN05216182_0843	WP_015907158.1	ATHE_RS02875
fig|31899.10.peg.1013|SAMN05216182_0844	WP_015907159.1	ATHE_RS02880
fig|31899.10.peg.1015|SAMN05216182_0846	WP_015907161.1	ATHE_RS02890
fig|31899.10.peg.1016|SAMN05216182_0847	WP_015907162.1	ATHE_RS02895
