fig|31899.10.peg.70	WP_015908853.1	ATHE_RS12780	Athe_2535
fig|31899.10.peg.607	WP_015906830.1	ATHE_RS01025	Athe_0209
fig|31899.10.peg.608	WP_015906831.1	ATHE_RS01030	Athe_0210
fig|31899.10.peg.609	WP_015906832.1	ATHE_RS01035	Athe_0211
fig|31899.10.peg.610	WP_015906833.1	ATHE_RS01040	Athe_0212
fig|31899.10.peg.611	WP_015906834.1	ATHE_RS01045	Athe_0213
fig|31899.10.peg.612	WP_015906835.1	ATHE_RS01050	Athe_0214
fig|31899.10.peg.613	WP_015906836.1	ATHE_RS01055	Athe_0215
fig|31899.10.peg.614	WP_015906837.1	ATHE_RS01060	Athe_0216
fig|31899.10.peg.615	WP_015906838.1	ATHE_RS01065	Athe_0217
fig|31899.10.peg.616	WP_015906839.1	ATHE_RS01070	Athe_0218
fig|31899.10.peg.617	WP_015906840.1	ATHE_RS01075	Athe_0219
fig|31899.10.peg.618	WP_041726965.1	ATHE_RS01080	Athe_0220
fig|31899.10.peg.619	WP_015906842.1	ATHE_RS01085	Athe_0221
fig|31899.10.peg.620	WP_015906843.1	ATHE_RS01090	Athe_0222
fig|31899.10.peg.621	WP_015906844.1	ATHE_RS01095	Athe_0223
fig|31899.10.peg.622	WP_041726967.1	ATHE_RS01100	Athe_0224
fig|31899.10.peg.623	WP_015906846.1	ATHE_RS01105	Athe_0225
fig|31899.10.peg.625	WP_015906847.1	ATHE_RS01115	Athe_0227
fig|31899.10.peg.627	WP_015906848.1	ATHE_RS01120	Athe_0228
fig|31899.10.peg.628	WP_015906849.1	ATHE_RS01125	Athe_0229
fig|31899.10.peg.630	WP_015906851.1	ATHE_RS01135	Athe_0231
fig|31899.10.peg.631	WP_015906852.1	ATHE_RS01140	Athe_0232
fig|31899.10.peg.632	WP_015906853.1	ATHE_RS01145	Athe_0233
fig|31899.10.peg.633	WP_015906854.1	ATHE_RS01150	Athe_0234
fig|31899.10.peg.634	WP_015906855.1	ATHE_RS01155	Athe_0235
fig|31899.10.peg.635	WP_015906856.1	ATHE_RS01160	Athe_0236
fig|31899.10.peg.636	WP_015906857.1	ATHE_RS01165	Athe_0237
fig|31899.10.peg.637	WP_015906858.1	ATHE_RS01170	Athe_0238
fig|31899.10.peg.638	WP_015906859.1	ATHE_RS01175	Athe_0239
fig|31899.10.peg.639	WP_015906860.1	ATHE_RS01180	Athe_0240
fig|31899.10.peg.641	WP_013431228.1	ATHE_RS01185	Athe_0242
fig|31899.10.peg.642	WP_013431227.1	ATHE_RS01190	Athe_0243
fig|31899.10.peg.643	WP_015906862.1	ATHE_RS01195	Athe_0244
fig|31899.10.peg.644	WP_015906863.1	ATHE_RS01200	Athe_0245
fig|31899.10.peg.645	WP_015906864.1	ATHE_RS01205	Athe_0246
fig|31899.10.peg.646	WP_015906865.1	ATHE_RS01210	Athe_0247
fig|31899.10.peg.647	WP_015906866.1	ATHE_RS01215	Athe_0248
fig|31899.10.peg.648	WP_015906867.1	ATHE_RS01220	Athe_0249
fig|31899.10.peg.649	WP_015906868.1	ATHE_RS01225	Athe_0250
fig|31899.10.peg.650	WP_015906869.1	ATHE_RS01230	Athe_0251
fig|31899.10.peg.651	WP_015906870.1	ATHE_RS01235	Athe_0252
fig|31899.10.peg.652	WP_015906871.1	ATHE_RS01240	Athe_0253
fig|31899.10.peg.653	WP_015906872.1	ATHE_RS01245	Athe_0254
fig|31899.10.peg.657	WP_013429593.1	ATHE_RS11550	Athe_2293
fig|31899.10.peg.658	WP_015906876.1	ATHE_RS11545	Athe_2292
fig|31899.10.peg.664	WP_015906879.1	ATHE_RS01280	Athe_0263
fig|31899.10.peg.665	WP_015906880.1	ATHE_RS01285	Athe_0264
fig|31899.10.peg.667	WP_015906882.1	ATHE_RS01295	Athe_0266
fig|31899.10.peg.668	WP_015906883.1	ATHE_RS01300	NA
fig|31899.10.peg.669	WP_015906884.1	ATHE_RS01305	Athe_0268
fig|31899.10.peg.672	WP_013431220.1	ATHE_RS01310	Athe_0271
fig|31899.10.peg.673	WP_015906886.1	ATHE_RS01315	Athe_0272
fig|31899.10.peg.674	WP_015906887.1	ATHE_RS01320	Athe_0273
fig|31899.10.peg.675	WP_015906888.1	ATHE_RS01325	Athe_0274
fig|31899.10.peg.676	WP_015906889.1	ATHE_RS01330	Athe_0275
fig|31899.10.peg.678	WP_015906891.1	ATHE_RS01340	Athe_0277
fig|31899.10.peg.679	WP_015906892.1	ATHE_RS01345	Athe_0278
fig|31899.10.peg.680	WP_015906893.1	ATHE_RS01350	Athe_0279
fig|31899.10.peg.681	WP_015906894.1	ATHE_RS01355	Athe_0280
fig|31899.10.peg.691	WP_015906896.1	ATHE_RS01385	Athe_0285
fig|31899.10.peg.696	WP_015906899.1	ATHE_RS01400	Athe_0289
fig|31899.10.peg.697	WP_015906900.1	ATHE_RS01405	Athe_0290
fig|31899.10.peg.699	WP_041726989.1	ATHE_RS01415	NA
fig|31899.10.peg.707	WP_015906902.1	ATHE_RS01440	Athe_0296
fig|31899.10.peg.708	WP_015906903.1	ATHE_RS01445	Athe_0297
fig|31899.10.peg.710	WP_015906905.1	ATHE_RS01455	Athe_0299
fig|31899.10.peg.711	WP_015906906.1	ATHE_RS01460	Athe_0300
fig|31899.10.peg.713	WP_015906908.1	ATHE_RS01470	Athe_0302
fig|31899.10.peg.715	WP_015906910.1	ATHE_RS01480	Athe_0304
fig|31899.10.peg.716	WP_015906911.1	ATHE_RS01485	Athe_0305
fig|31899.10.peg.717	WP_015906912.1	ATHE_RS01490	Athe_0306
fig|31899.10.peg.718	WP_015906913.1	ATHE_RS01495	Athe_0307
fig|31899.10.peg.719	WP_015906914.1	ATHE_RS01500	Athe_0308
fig|31899.10.peg.720	WP_015906915.1	ATHE_RS01505	Athe_0309
fig|31899.10.peg.721	WP_015906916.1	ATHE_RS01510	Athe_0310
fig|31899.10.peg.722	WP_015906917.1	ATHE_RS01515	Athe_0311
fig|31899.10.peg.723	WP_015906918.1	ATHE_RS01520	Athe_0312
fig|31899.10.peg.724	WP_013289631.1	ATHE_RS01525	Athe_0313
fig|31899.10.peg.725	WP_015906919.1	ATHE_RS01530	Athe_0314
fig|31899.10.peg.726	WP_015906920.1	ATHE_RS01535	Athe_0315
fig|31899.10.peg.727	WP_015906921.1	ATHE_RS01540	Athe_0316
fig|31899.10.peg.728	WP_015906922.1	ATHE_RS01545	Athe_0317
fig|31899.10.peg.729	WP_015906923.1	ATHE_RS01550	Athe_0318
fig|31899.10.peg.730	WP_015906924.1	ATHE_RS01555	Athe_0319
fig|31899.10.peg.731	WP_079504049.1	ATHE_RS01560	Athe_0320
fig|31899.10.peg.732	WP_041727004.1	ATHE_RS01565	Athe_0321
fig|31899.10.peg.733	WP_015906927.1	ATHE_RS01570	Athe_0322
fig|31899.10.peg.734	WP_015906928.1	ATHE_RS01575	Athe_0323
fig|31899.10.peg.735	WP_015906929.1	ATHE_RS01580	Athe_0324
fig|31899.10.peg.736	WP_015906930.1	ATHE_RS01585	Athe_0325
fig|31899.10.peg.738	WP_015906932.1	ATHE_RS01590	Athe_0327
fig|31899.10.peg.739	WP_015906933.1	ATHE_RS01595	Athe_0328
fig|31899.10.peg.740	WP_015906934.1	ATHE_RS01600	Athe_0329
fig|31899.10.peg.741	WP_015906935.1	ATHE_RS01605	Athe_0330
fig|31899.10.peg.742	WP_015906936.1	ATHE_RS14060	Athe_0331
fig|31899.10.peg.748	WP_015906937.1	ATHE_RS01635	Athe_0336
fig|31899.10.peg.750	WP_015906940.1	ATHE_RS01645	Athe_0339
fig|31899.10.peg.751	WP_015906941.1	ATHE_RS01650	Athe_0340
fig|31899.10.peg.752	WP_015906942.1	ATHE_RS01655	Athe_0341
fig|31899.10.peg.753	WP_015906943.1	ATHE_RS01660	Athe_0342
fig|31899.10.peg.754	WP_015906944.1	ATHE_RS01665	Athe_0343
fig|31899.10.peg.755	WP_015906945.1	ATHE_RS01670	Athe_0344
fig|31899.10.peg.756	WP_015906946.1	ATHE_RS01675	Athe_0345
fig|31899.10.peg.758	WP_015906948.1	ATHE_RS01685	Athe_0347
fig|31899.10.peg.759	WP_079504000.1	ATHE_RS01690	Athe_0348
fig|31899.10.peg.760	WP_015906950.1	ATHE_RS01695	Athe_0349
fig|31899.10.peg.761	WP_015906951.1	ATHE_RS01700	Athe_0350
fig|31899.10.peg.762	WP_015906952.1	ATHE_RS14185	Athe_0351
fig|31899.10.peg.763	WP_015906953.1	ATHE_RS01710	Athe_0352
fig|31899.10.peg.766	WP_015906955.1	ATHE_RS01720	Athe_0354
fig|31899.10.peg.771	WP_015906960.1	ATHE_RS01740	Athe_0359
fig|31899.10.peg.772	WP_015906961.1	ATHE_RS01745	Athe_0360
fig|31899.10.peg.773	WP_015906962.1	ATHE_RS01750	Athe_0361
fig|31899.10.peg.774	WP_015906963.1	ATHE_RS01755	Athe_0362
fig|31899.10.peg.776	WP_015906965.1	ATHE_RS01765	Athe_0364
fig|31899.10.peg.778	WP_015906967.1	ATHE_RS01775	Athe_0366
fig|31899.10.peg.780	WP_015906968.1	ATHE_RS01780	Athe_0367
fig|31899.10.peg.781	WP_015906969.1	ATHE_RS01785	Athe_0368
fig|31899.10.peg.782	WP_015906970.1	ATHE_RS01790	Athe_0369
fig|31899.10.peg.783	WP_015906971.1	ATHE_RS01795	Athe_0370
fig|31899.10.peg.784	WP_015906972.1	ATHE_RS01800	Athe_0371
fig|31899.10.peg.785	WP_015906973.1	ATHE_RS01805	Athe_0372
fig|31899.10.peg.786	WP_015906974.1	ATHE_RS01810	Athe_0373
fig|31899.10.peg.790	WP_015906975.1	ATHE_RS14070	Athe_0375
fig|31899.10.peg.791	WP_015906976.1	ATHE_RS01830	Athe_0376
fig|31899.10.peg.792	WP_015906977.1	ATHE_RS01835	Athe_0377
fig|31899.10.peg.793	WP_015906978.1	ATHE_RS01840	Athe_0378
fig|31899.10.peg.796	WP_015906980.1	ATHE_RS01855	Athe_0381
fig|31899.10.peg.797	WP_015906981.1	ATHE_RS01860	Athe_0382
fig|31899.10.peg.798	WP_015906982.1	ATHE_RS01865	Athe_0383
fig|31899.10.peg.799	WP_015906983.1	ATHE_RS01870	Athe_0384
fig|31899.10.peg.802	WP_015906986.1	ATHE_RS01880	Athe_0387
fig|31899.10.peg.803	WP_015906987.1	ATHE_RS01885	Athe_0388
fig|31899.10.peg.805	WP_015906989.1	ATHE_RS01895	Athe_0390
fig|31899.10.peg.806	WP_015906990.1	ATHE_RS01900	Athe_0391
fig|31899.10.peg.808	WP_015906992.1	ATHE_RS01910	Athe_0393
fig|31899.10.peg.809	WP_015906993.1	ATHE_RS01915	Athe_0394
fig|31899.10.peg.810	WP_015906994.1	ATHE_RS01920	Athe_0395
fig|31899.10.peg.811	WP_041727026.1	ATHE_RS01925	Athe_0396
fig|31899.10.peg.812	WP_015906996.1	ATHE_RS01955	Athe_0397
fig|31899.10.peg.813	WP_015906997.1	ATHE_RS01960	Athe_0398
fig|31899.10.peg.814	WP_015906998.1	ATHE_RS01965	Athe_0399
fig|31899.10.peg.815	WP_015906999.1	ATHE_RS01970	Athe_0400
fig|31899.10.peg.816	WP_015907000.1	ATHE_RS01975	Athe_0401
fig|31899.10.peg.817	WP_015907001.1	ATHE_RS01980	Athe_0402
fig|31899.10.peg.818	WP_015907002.1	ATHE_RS01985	Athe_0403
fig|31899.10.peg.821	WP_015907004.1	ATHE_RS01995	Athe_0406
fig|31899.10.peg.822	WP_015907005.1	ATHE_RS02000	Athe_0407
fig|31899.10.peg.826	WP_015907009.1	ATHE_RS02015	Athe_0411
fig|31899.10.peg.829	WP_015907011.1	ATHE_RS02025	Athe_0413
fig|31899.10.peg.835	WP_015907013.1	ATHE_RS02045	Athe_0416
fig|31899.10.peg.836	WP_015907014.1	ATHE_RS02050	Athe_0417
fig|31899.10.peg.837	WP_013431128.1	ATHE_RS02055	Athe_0418
fig|31899.10.peg.838	WP_015907015.1	ATHE_RS02060	Athe_0419
fig|31899.10.peg.839	WP_015907016.1	ATHE_RS02065	Athe_0420
fig|31899.10.peg.841	WP_015907018.1	ATHE_RS02075	Athe_0422
fig|31899.10.peg.843	WP_015907019.1	ATHE_RS02080	Athe_0423
fig|31899.10.peg.844	WP_015907020.1	ATHE_RS02085	Athe_0424
fig|31899.10.peg.846	WP_015907022.1	ATHE_RS02095	Athe_0426
fig|31899.10.peg.847	WP_041727319.1	ATHE_RS02100	Athe_0427
fig|31899.10.peg.848	WP_015907024.1	ATHE_RS02105	Athe_0428
fig|31899.10.peg.849	WP_015907025.1	ATHE_RS02110	Athe_0429
fig|31899.10.peg.851	WP_015907027.1	ATHE_RS02120	Athe_0431
fig|31899.10.peg.852	WP_015907028.1	ATHE_RS02125	Athe_0432
fig|31899.10.peg.853	WP_015907029.1	ATHE_RS02130	Athe_0433
fig|31899.10.peg.854	WP_015907030.1	ATHE_RS02135	Athe_0434
fig|31899.10.peg.855	WP_013431110.1	ATHE_RS02140	Athe_0435
fig|31899.10.peg.856	WP_015907031.1	ATHE_RS02145	Athe_0436
fig|31899.10.peg.857	WP_015907032.1	ATHE_RS02150	Athe_0437
fig|31899.10.peg.858	WP_015907033.1	ATHE_RS02155	Athe_0438
fig|31899.10.peg.859	WP_015907034.1	ATHE_RS02160	Athe_0439
fig|31899.10.peg.860	WP_015907035.1	ATHE_RS02165	Athe_0440
fig|31899.10.peg.861	WP_015907036.1	ATHE_RS02170	Athe_0441
fig|31899.10.peg.862	WP_015907037.1	ATHE_RS02175	Athe_0442
fig|31899.10.peg.863	WP_015907038.1	ATHE_RS02180	Athe_0443
fig|31899.10.peg.864	WP_015907039.1	ATHE_RS02185	Athe_0444
fig|31899.10.peg.865	WP_015907040.1	ATHE_RS02190	Athe_0445
fig|31899.10.peg.866	WP_015907041.1	ATHE_RS02195	Athe_0446
fig|31899.10.peg.867	WP_015907042.1	ATHE_RS02200	Athe_0447
fig|31899.10.peg.868	WP_015907043.1	ATHE_RS02205	Athe_0448
fig|31899.10.peg.869	WP_015907044.1	ATHE_RS02210	Athe_0449
fig|31899.10.peg.870	WP_015907045.1	ATHE_RS02220	Athe_0450
fig|31899.10.peg.871	WP_015907046.1	ATHE_RS02225	Athe_0451
fig|31899.10.peg.872	WP_015907047.1	ATHE_RS02230	Athe_0452
fig|31899.10.peg.873	WP_015907048.1	ATHE_RS02235	Athe_0453
fig|31899.10.peg.874	WP_015907049.1	ATHE_RS02240	Athe_0454
fig|31899.10.peg.875	WP_015907050.1	ATHE_RS02245	Athe_0455
fig|31899.10.peg.876	WP_015907051.1	ATHE_RS02250	Athe_0456
fig|31899.10.peg.877	WP_015907052.1	ATHE_RS02255	Athe_0457
fig|31899.10.peg.878	WP_015907053.1	ATHE_RS02260	Athe_0458
fig|31899.10.peg.879	WP_015907054.1	ATHE_RS02265	Athe_0459
fig|31899.10.peg.880	WP_015907055.1	ATHE_RS02270	Athe_0460
fig|31899.10.peg.881	WP_015907056.1	ATHE_RS02275	Athe_0461
fig|31899.10.peg.882	WP_015907057.1	ATHE_RS02280	Athe_0462
fig|31899.10.peg.883	WP_015907058.1	ATHE_RS02285	Athe_0463
fig|31899.10.peg.884	WP_015907059.1	ATHE_RS02290	Athe_0464
fig|31899.10.peg.885	WP_015907060.1	ATHE_RS02295	Athe_0465
fig|31899.10.peg.886	WP_015907061.1	ATHE_RS02300	Athe_0466
fig|31899.10.peg.887	WP_015907062.1	ATHE_RS02305	Athe_0467
fig|31899.10.peg.888	WP_015907063.1	ATHE_RS02310	Athe_0468
fig|31899.10.peg.889	WP_015907064.1	ATHE_RS02315	Athe_0469
fig|31899.10.peg.890	WP_015907065.1	ATHE_RS02320	Athe_0470
fig|31899.10.peg.893	WP_015907067.1	ATHE_RS02330	Athe_0472
fig|31899.10.peg.894	WP_015907068.1	ATHE_RS02335	Athe_0473
fig|31899.10.peg.895	WP_015907069.1	ATHE_RS02340	Athe_0474
fig|31899.10.peg.898	WP_015907071.1	ATHE_RS02350	Athe_0476
fig|31899.10.peg.899	WP_015907072.1	ATHE_RS02355	Athe_0477
fig|31899.10.peg.900	WP_015907073.1	ATHE_RS02360	Athe_0478
fig|31899.10.peg.902	WP_015907074.1	ATHE_RS02365	Athe_0479
fig|31899.10.peg.906	WP_015907075.1	ATHE_RS02375	Athe_0481
fig|31899.10.peg.909	WP_015907077.1	ATHE_RS02385	Athe_0483
fig|31899.10.peg.914	WP_015907079.1	ATHE_RS02400	Athe_0486
fig|31899.10.peg.917	WP_049760238.1	ATHE_RS02410	NA
fig|31899.10.peg.919	WP_015907082.1	ATHE_RS02420	Athe_0490
fig|31899.10.peg.922	WP_015907083.1	ATHE_RS02430	Athe_0492
fig|31899.10.peg.926	WP_015907085.1	ATHE_RS02455	Athe_0496
fig|31899.10.peg.927	WP_013431064.1	ATHE_RS02460	Athe_0497
fig|31899.10.peg.928	WP_015907086.1	ATHE_RS02465	Athe_0498
fig|31899.10.peg.930	WP_015907087.1	ATHE_RS02470	Athe_0499
fig|31899.10.peg.931	WP_015907088.1	ATHE_RS02475	Athe_0500
fig|31899.10.peg.932	WP_015907089.1	ATHE_RS02480	Athe_0501
fig|31899.10.peg.933	WP_015907090.1	ATHE_RS02485	Athe_0502
fig|31899.10.peg.934	WP_015907091.1	ATHE_RS02490	Athe_0503
fig|31899.10.peg.935	WP_013431057.1	ATHE_RS02495	Athe_0504
fig|31899.10.peg.936	WP_015907092.1	ATHE_RS02500	Athe_0505
fig|31899.10.peg.939	WP_015907095.1	ATHE_RS02510	Athe_0508
fig|31899.10.peg.940	WP_013431052.1	ATHE_RS02515	Athe_0509
fig|31899.10.peg.941	WP_015907096.1	ATHE_RS02520	Athe_0510
fig|31899.10.peg.943	WP_013431048.1	ATHE_RS02535	Athe_0513
fig|31899.10.peg.944	WP_015907099.1	ATHE_RS02540	Athe_0514
fig|31899.10.peg.945	WP_015907100.1	ATHE_RS02545	Athe_0515
fig|31899.10.peg.946	WP_015907101.1	ATHE_RS02550	Athe_0516
fig|31899.10.peg.947	WP_015907102.1	ATHE_RS02555	Athe_0517
fig|31899.10.peg.949	WP_015907103.1	ATHE_RS02560	Athe_0518
fig|31899.10.peg.950	WP_015907104.1	ATHE_RS02565	Athe_0519
fig|31899.10.peg.951	WP_041727048.1	ATHE_RS02570	Athe_0520
fig|31899.10.peg.954	WP_015907108.1	ATHE_RS02585	Athe_0523
fig|31899.10.peg.955	WP_015907109.1	ATHE_RS02590	Athe_0524
fig|31899.10.peg.956	WP_015907110.1	ATHE_RS02595	Athe_0525
fig|31899.10.peg.957	WP_013431024.1	ATHE_RS02600	Athe_0526
fig|31899.10.peg.958	WP_015907111.1	ATHE_RS02605	Athe_0527
fig|31899.10.peg.959	WP_015907112.1	ATHE_RS02610	Athe_0528
fig|31899.10.peg.960	WP_015907113.1	ATHE_RS02615	Athe_0529
fig|31899.10.peg.961	WP_015907114.1	ATHE_RS02620	Athe_0530
fig|31899.10.peg.962	WP_015907115.1	ATHE_RS02625	Athe_0531
fig|31899.10.peg.963	WP_015907116.1	ATHE_RS02630	Athe_0532
fig|31899.10.peg.965	WP_015907118.1	ATHE_RS02640	Athe_0534
fig|31899.10.peg.966	WP_015907119.1	ATHE_RS02645	Athe_0535
fig|31899.10.peg.967	WP_015907120.1	ATHE_RS02650	Athe_0536
fig|31899.10.peg.968	WP_015907121.1	ATHE_RS02655	Athe_0537
fig|31899.10.peg.969	WP_015907122.1	ATHE_RS02665	Athe_0538
fig|31899.10.peg.970	WP_013431011.1	ATHE_RS02670	Athe_0539
fig|31899.10.peg.971	WP_015907123.1	ATHE_RS02675	Athe_0540
fig|31899.10.peg.973	WP_015907125.1	ATHE_RS02685	Athe_0542
fig|31899.10.peg.974	WP_015907126.1	ATHE_RS02690	Athe_0543
fig|31899.10.peg.975	WP_015907127.1	ATHE_RS02695	Athe_0544
fig|31899.10.peg.976	WP_013431005.1	ATHE_RS02700	Athe_0545
fig|31899.10.peg.977	WP_015907128.1	ATHE_RS02705	Athe_0546
fig|31899.10.peg.978	WP_015907129.1	ATHE_RS02710	Athe_0547
fig|31899.10.peg.979	WP_015907130.1	ATHE_RS02715	Athe_0548
fig|31899.10.peg.982	WP_015907132.1	ATHE_RS02725	Athe_0550
fig|31899.10.peg.983	WP_013289825.1	ATHE_RS02730	Athe_0551
fig|31899.10.peg.984	WP_015907133.1	ATHE_RS02735	Athe_0552
fig|31899.10.peg.985	WP_015907134.1	ATHE_RS02740	Athe_0553
fig|31899.10.peg.986	WP_015907135.1	ATHE_RS02745	Athe_0554
fig|31899.10.peg.987	WP_015907136.1	ATHE_RS02750	Athe_0555
fig|31899.10.peg.988	WP_015907137.1	ATHE_RS02755	Athe_0556
fig|31899.10.peg.989	WP_015907138.1	ATHE_RS02760	Athe_0557
fig|31899.10.peg.990	WP_015907139.1	ATHE_RS02765	Athe_0558
fig|31899.10.peg.991	WP_013430992.1	ATHE_RS02770	Athe_0559
fig|31899.10.peg.992	WP_015907140.1	ATHE_RS02775	Athe_0560
fig|31899.10.peg.993	WP_015907141.1	ATHE_RS02780	Athe_0561
fig|31899.10.peg.994	WP_015907142.1	ATHE_RS02785	Athe_0562
fig|31899.10.peg.995	WP_015907143.1	ATHE_RS02790	Athe_0563
fig|31899.10.peg.996	WP_015907144.1	ATHE_RS02795	Athe_0564
fig|31899.10.peg.998	WP_015907145.1	ATHE_RS02805	Athe_0565
fig|31899.10.peg.999	WP_015907146.1	ATHE_RS02810	Athe_0566
fig|31899.10.peg.1000	WP_015907147.1	ATHE_RS02815	Athe_0567
fig|31899.10.peg.1001	WP_015907148.1	ATHE_RS02820	Athe_0568
fig|31899.10.peg.1002	WP_015907149.1	ATHE_RS02825	Athe_0569
fig|31899.10.peg.1003	WP_013430979.1	ATHE_RS02830	Athe_0570
fig|31899.10.peg.1005	WP_015907151.1	ATHE_RS02840	Athe_0572
fig|31899.10.peg.1006	WP_015907152.1	ATHE_RS02845	Athe_0573
fig|31899.10.peg.1007	WP_015907153.1	ATHE_RS02850	Athe_0574
fig|31899.10.peg.1008	WP_015907154.1	ATHE_RS02855	Athe_0575
fig|31899.10.peg.1009	WP_015907155.1	ATHE_RS02860	Athe_0576
fig|31899.10.peg.1010	WP_015907156.1	ATHE_RS02865	Athe_0577
fig|31899.10.peg.1011	WP_015907157.1	ATHE_RS02870	Athe_0578
fig|31899.10.peg.1012	WP_015907158.1	ATHE_RS02875	Athe_0579
fig|31899.10.peg.1013	WP_015907159.1	ATHE_RS02880	Athe_0580
fig|31899.10.peg.1015	WP_015907161.1	ATHE_RS02890	Athe_0582
fig|31899.10.peg.1016	WP_015907162.1	ATHE_RS02895	Athe_0583
fig|31899.10.peg.1017	WP_015907163.1	ATHE_RS02900	Athe_0584
fig|31899.10.peg.1018	WP_015907164.1	ATHE_RS02905	Athe_0585
fig|31899.10.peg.1019	WP_015907165.1	ATHE_RS02910	Athe_0586
fig|31899.10.peg.1020	WP_015907166.1	ATHE_RS02915	Athe_0587
fig|31899.10.peg.1021	WP_015907167.1	ATHE_RS02920	Athe_0588
fig|31899.10.peg.1023	WP_015907169.1	ATHE_RS02930	Athe_0590
fig|31899.10.peg.1024	WP_015907170.1	ATHE_RS02935	Athe_0591
fig|31899.10.peg.1025	WP_015907171.1	ATHE_RS02940	Athe_0592
fig|31899.10.peg.1026	WP_015907172.1	ATHE_RS02945	Athe_0593
fig|31899.10.peg.1027	WP_015907173.1	ATHE_RS02950	Athe_0594
fig|31899.10.peg.1029	WP_015907174.1	ATHE_RS02955	Athe_0595
fig|31899.10.peg.1030	WP_015907175.1	ATHE_RS02960	Athe_0596
fig|31899.10.peg.1031	WP_015907176.1	ATHE_RS02965	Athe_0597
fig|31899.10.peg.1032	WP_015907177.1	ATHE_RS02970	Athe_0598
fig|31899.10.peg.1033	WP_015907178.1	ATHE_RS02975	Athe_0599
fig|31899.10.peg.1034	WP_015907179.1	ATHE_RS02980	Athe_0600
fig|31899.10.peg.1035	WP_015907180.1	ATHE_RS02985	Athe_0601
fig|31899.10.peg.1036	WP_015907181.1	ATHE_RS02990	Athe_0602
fig|31899.10.peg.1037	WP_015907182.1	ATHE_RS02995	Athe_0603
fig|31899.10.peg.1038	WP_015907183.1	ATHE_RS03000	Athe_0604
fig|31899.10.peg.1039	WP_015907184.1	ATHE_RS03005	Athe_0605
fig|31899.10.peg.1043	WP_015907186.1	ATHE_RS03020	Athe_0608
fig|31899.10.peg.1045	WP_015907187.1	ATHE_RS03030	Athe_0609
fig|31899.10.peg.1046	WP_015907188.1	ATHE_RS03035	Athe_0610
fig|31899.10.peg.1051	WP_015907189.1	ATHE_RS03050	Athe_0612
fig|31899.10.peg.1052	WP_015907190.1	ATHE_RS03055	Athe_0613
fig|31899.10.peg.1053	WP_015907191.1	ATHE_RS03060	Athe_0614
fig|31899.10.peg.1054	WP_015907192.1	ATHE_RS03065	Athe_0615
fig|31899.10.peg.1055	WP_015907193.1	ATHE_RS03070	Athe_0616
fig|31899.10.peg.1056	WP_015907194.1	ATHE_RS03075	Athe_0617
fig|31899.10.peg.1057	WP_015907195.1	ATHE_RS03080	Athe_0618
fig|31899.10.peg.1059	WP_015907196.1	ATHE_RS03085	Athe_0619
fig|31899.10.peg.1060	WP_015907197.1	ATHE_RS03090	Athe_0620
fig|31899.10.peg.1061	WP_013289899.1	ATHE_RS03095	Athe_0621
fig|31899.10.peg.1062	WP_013289901.1	ATHE_RS14235	Athe_0622
fig|31899.10.peg.1064	WP_015907198.1	ATHE_RS03100	Athe_0623
fig|31899.10.peg.1065	WP_015907199.1	ATHE_RS03105	Athe_0624
fig|31899.10.peg.1066	WP_015907200.1	ATHE_RS03110	Athe_0625
fig|31899.10.peg.1067	WP_015907201.1	ATHE_RS03115	Athe_0626
fig|31899.10.peg.1068	WP_015907202.1	ATHE_RS03120	Athe_0627
fig|31899.10.peg.1069	WP_015907203.1	ATHE_RS03125	Athe_0628
fig|31899.10.peg.1070	WP_041727071.1	ATHE_RS03130	Athe_0629
fig|31899.10.peg.1071	WP_015907205.1	ATHE_RS03135	Athe_0630
fig|31899.10.peg.1072	WP_015907206.1	ATHE_RS03140	Athe_0631
fig|31899.10.peg.1073	WP_015907207.1	ATHE_RS03145	Athe_0632
fig|31899.10.peg.1074	WP_013403882.1	ATHE_RS03150	Athe_0633
fig|31899.10.peg.1075	WP_015907208.1	ATHE_RS03155	Athe_0634
fig|31899.10.peg.1076	WP_015907209.1	ATHE_RS03160	Athe_0635
fig|31899.10.peg.1078	WP_015907210.1	ATHE_RS03170	Athe_0637
fig|31899.10.peg.1079	WP_015907211.1	ATHE_RS03175	Athe_0638
fig|31899.10.peg.1080	WP_015907212.1	ATHE_RS03180	Athe_0639
fig|31899.10.peg.1081	WP_015907213.1	ATHE_RS03185	Athe_0640
fig|31899.10.peg.1082	WP_015907214.1	ATHE_RS03190	Athe_0641
fig|31899.10.peg.1083	WP_015907215.1	ATHE_RS03195	Athe_0642
fig|31899.10.peg.1084	WP_015907216.1	ATHE_RS03200	Athe_0643
fig|31899.10.peg.1086	WP_015907218.1	ATHE_RS03210	Athe_0645
fig|31899.10.peg.1088	WP_015907219.1	ATHE_RS03215	Athe_0646
fig|31899.10.peg.1089	WP_015907220.1	ATHE_RS03220	Athe_0647
fig|31899.10.peg.1090	WP_015907221.1	ATHE_RS03225	Athe_0648
fig|31899.10.peg.1091	WP_015907222.1	ATHE_RS03230	Athe_0649
fig|31899.10.peg.1093	WP_015907224.1	ATHE_RS03240	Athe_0651
fig|31899.10.peg.1094	WP_013430895.1	ATHE_RS03245	Athe_0652
fig|31899.10.peg.1095	WP_015907225.1	ATHE_RS03250	Athe_0653
fig|31899.10.peg.1096	WP_015907226.1	ATHE_RS03255	Athe_0654
