fig|31899.10.peg.70|SAMN05216182_0004	WP_015908853.1
fig|31899.10.peg.715|SAMN05216182_0558	WP_015906910.1
fig|31899.10.peg.716|SAMN05216182_0559	WP_015906911.1
fig|31899.10.peg.717|SAMN05216182_0560	WP_015906912.1
fig|31899.10.peg.718|SAMN05216182_0561	WP_015906913.1
fig|31899.10.peg.719|SAMN05216182_0562	WP_015906914.1
fig|31899.10.peg.720|SAMN05216182_0563	WP_015906915.1
fig|31899.10.peg.721|SAMN05216182_0564	WP_015906916.1
fig|31899.10.peg.722|SAMN05216182_0565	WP_015906917.1
fig|31899.10.peg.723|SAMN05216182_0566	WP_015906918.1
fig|31899.10.peg.724|SAMN05216182_0567	WP_013289631.1
fig|31899.10.peg.725|SAMN05216182_0568	WP_015906919.1
fig|31899.10.peg.726|SAMN05216182_0569	WP_015906920.1
fig|31899.10.peg.727|SAMN05216182_0570	WP_015906921.1
fig|31899.10.peg.728|SAMN05216182_0571	WP_015906922.1
fig|31899.10.peg.729|SAMN05216182_0572	WP_015906923.1
fig|31899.10.peg.730|SAMN05216182_0573	WP_015906924.1
fig|31899.10.peg.731|SAMN05216182_0574	WP_079504049.1
fig|31899.10.peg.732|SAMN05216182_0575	WP_041727004.1
fig|31899.10.peg.733|SAMN05216182_0576	WP_015906927.1
fig|31899.10.peg.734|SAMN05216182_0577	WP_015906928.1
fig|31899.10.peg.735|SAMN05216182_0578	WP_015906929.1
fig|31899.10.peg.736|SAMN05216182_0579	WP_015906930.1
fig|31899.10.peg.738|SAMN05216182_0581	WP_015906932.1
fig|31899.10.peg.739|SAMN05216182_0582	WP_015906933.1
fig|31899.10.peg.740|SAMN05216182_0583	WP_015906934.1
fig|31899.10.peg.741|SAMN05216182_0584	WP_015906935.1
fig|31899.10.peg.742|SAMN05216182_0585	WP_015906936.1
fig|31899.10.peg.748|SAMN05216182_0591	WP_015906937.1
fig|31899.10.peg.750|SAMN05216182_0593	WP_015906940.1
fig|31899.10.peg.751|SAMN05216182_0594	WP_015906941.1
fig|31899.10.peg.752|SAMN05216182_0595	WP_015906942.1
fig|31899.10.peg.753|SAMN05216182_0596	WP_015906943.1
fig|31899.10.peg.754|SAMN05216182_0597	WP_015906944.1
fig|31899.10.peg.755|SAMN05216182_0598	WP_015906945.1
fig|31899.10.peg.756|SAMN05216182_0599	WP_015906946.1
fig|31899.10.peg.758|SAMN05216182_0601	WP_015906948.1
fig|31899.10.peg.759|SAMN05216182_0602	WP_079504000.1
fig|31899.10.peg.760|SAMN05216182_0603	WP_015906950.1
fig|31899.10.peg.761|SAMN05216182_0604	WP_015906951.1
fig|31899.10.peg.762|SAMN05216182_0605	WP_015906952.1
fig|31899.10.peg.763|SAMN05216182_0606	WP_015906953.1
fig|31899.10.peg.766|SAMN05216182_0609	WP_015906955.1
fig|31899.10.peg.771|SAMN05216182_0613	WP_015906960.1
fig|31899.10.peg.772|SAMN05216182_0614	WP_015906961.1
fig|31899.10.peg.773|SAMN05216182_0615	WP_015906962.1
fig|31899.10.peg.774|SAMN05216182_0616	WP_015906963.1
fig|31899.10.peg.776|SAMN05216182_0618	WP_015906965.1
fig|31899.10.peg.778|SAMN05216182_0620	WP_015906967.1
fig|31899.10.peg.780|SAMN05216182_0622	WP_015906968.1
fig|31899.10.peg.781|SAMN05216182_0623	WP_015906969.1
fig|31899.10.peg.782|SAMN05216182_0624	WP_015906970.1
fig|31899.10.peg.783|SAMN05216182_0625	WP_015906971.1
fig|31899.10.peg.784|SAMN05216182_0626	WP_015906972.1
fig|31899.10.peg.785|SAMN05216182_0627	WP_015906973.1
fig|31899.10.peg.786|SAMN05216182_0628	WP_015906974.1
fig|31899.10.peg.790|SAMN05216182_0630	WP_015906975.1
fig|31899.10.peg.791|SAMN05216182_0631	WP_015906976.1
fig|31899.10.peg.792|SAMN05216182_0632	WP_015906977.1
fig|31899.10.peg.793	WP_015906978.1
fig|31899.10.peg.796|SAMN05216182_0636	WP_015906980.1
fig|31899.10.peg.797|SAMN05216182_0637	WP_015906981.1
fig|31899.10.peg.798|SAMN05216182_0638	WP_015906982.1
fig|31899.10.peg.799|SAMN05216182_0639	WP_015906983.1
fig|31899.10.peg.802|SAMN05216182_0642	WP_015906986.1
fig|31899.10.peg.803|SAMN05216182_0643	WP_015906987.1
fig|31899.10.peg.805|SAMN05216182_0645	WP_015906989.1
fig|31899.10.peg.806|SAMN05216182_0646	WP_015906990.1
fig|31899.10.peg.808|SAMN05216182_0648	WP_015906992.1
fig|31899.10.peg.809|SAMN05216182_0649	WP_015906993.1
fig|31899.10.peg.810|SAMN05216182_0650	WP_015906994.1
fig|31899.10.peg.811|SAMN05216182_0651	WP_041727026.1
fig|31899.10.peg.812|SAMN05216182_0658	WP_015906996.1
fig|31899.10.peg.813|SAMN05216182_0659	WP_015906997.1
fig|31899.10.peg.814|SAMN05216182_0660	WP_015906998.1
fig|31899.10.peg.815|SAMN05216182_0661	WP_015906999.1
fig|31899.10.peg.816|SAMN05216182_0662	WP_015907000.1
fig|31899.10.peg.817|SAMN05216182_0663	WP_015907001.1
fig|31899.10.peg.818|SAMN05216182_0664	WP_015907002.1
fig|31899.10.peg.821|SAMN05216182_0667	WP_015907004.1
fig|31899.10.peg.822|SAMN05216182_0668	WP_015907005.1
fig|31899.10.peg.826|SAMN05216182_0672	WP_015907009.1
fig|31899.10.peg.829|SAMN05216182_0674	WP_015907011.1
fig|31899.10.peg.835|SAMN05216182_0677	WP_015907013.1
fig|31899.10.peg.836|SAMN05216182_0678	WP_015907014.1
fig|31899.10.peg.837|SAMN05216182_0679	WP_013431128.1
fig|31899.10.peg.838|SAMN05216182_0680	WP_015907015.1
fig|31899.10.peg.839|SAMN05216182_0681	WP_015907016.1
fig|31899.10.peg.841|SAMN05216182_0683	WP_015907018.1
fig|31899.10.peg.843|SAMN05216182_0684	WP_015907019.1
fig|31899.10.peg.844|SAMN05216182_0685	WP_015907020.1
fig|31899.10.peg.846|SAMN05216182_0687	WP_015907022.1
fig|31899.10.peg.847|SAMN05216182_0688	WP_041727319.1
fig|31899.10.peg.848|SAMN05216182_0689	WP_015907024.1
fig|31899.10.peg.849|SAMN05216182_0690	WP_015907025.1
fig|31899.10.peg.851|SAMN05216182_0692	WP_015907027.1
fig|31899.10.peg.852|SAMN05216182_0693	WP_015907028.1
fig|31899.10.peg.853|SAMN05216182_0694	WP_015907029.1
fig|31899.10.peg.854|SAMN05216182_0695	WP_015907030.1
fig|31899.10.peg.855|SAMN05216182_0696	WP_013431110.1
fig|31899.10.peg.856|SAMN05216182_0697	WP_015907031.1
fig|31899.10.peg.857|SAMN05216182_0698	WP_015907032.1
fig|31899.10.peg.858|SAMN05216182_0699	WP_015907033.1
fig|31899.10.peg.859|SAMN05216182_0700	WP_015907034.1
fig|31899.10.peg.860|SAMN05216182_0701	WP_015907035.1
fig|31899.10.peg.861|SAMN05216182_0702	WP_015907036.1
fig|31899.10.peg.862|SAMN05216182_0703	WP_015907037.1
fig|31899.10.peg.863|SAMN05216182_0704	WP_015907038.1
fig|31899.10.peg.864|SAMN05216182_0705	WP_015907039.1
fig|31899.10.peg.865|SAMN05216182_0706	WP_015907040.1
fig|31899.10.peg.866|SAMN05216182_0707	WP_015907041.1
fig|31899.10.peg.867|SAMN05216182_0708	WP_015907042.1
fig|31899.10.peg.868|SAMN05216182_0709	WP_015907043.1
fig|31899.10.peg.869|SAMN05216182_0710	WP_015907044.1
fig|31899.10.peg.870|SAMN05216182_0712	WP_015907045.1
fig|31899.10.peg.871|SAMN05216182_0713	WP_015907046.1
fig|31899.10.peg.872|SAMN05216182_0714	WP_015907047.1
fig|31899.10.peg.873|SAMN05216182_0715	WP_015907048.1
fig|31899.10.peg.874|SAMN05216182_0716	WP_015907049.1
fig|31899.10.peg.875|SAMN05216182_0717	WP_015907050.1
fig|31899.10.peg.876|SAMN05216182_0718	WP_015907051.1
fig|31899.10.peg.877|SAMN05216182_0719	WP_015907052.1
fig|31899.10.peg.878|SAMN05216182_0720	WP_015907053.1
fig|31899.10.peg.879|SAMN05216182_0721	WP_015907054.1
fig|31899.10.peg.880|SAMN05216182_0722	WP_015907055.1
fig|31899.10.peg.881|SAMN05216182_0723	WP_015907056.1
fig|31899.10.peg.882|SAMN05216182_0724	WP_015907057.1
fig|31899.10.peg.883|SAMN05216182_0726	WP_015907058.1
fig|31899.10.peg.884|SAMN05216182_0727	WP_015907059.1
fig|31899.10.peg.885|SAMN05216182_0728	WP_015907060.1
fig|31899.10.peg.886|SAMN05216182_0729	WP_015907061.1
fig|31899.10.peg.887|SAMN05216182_0730	WP_015907062.1
fig|31899.10.peg.888|SAMN05216182_0731	WP_015907063.1
fig|31899.10.peg.889|SAMN05216182_0732	WP_015907064.1
fig|31899.10.peg.890|SAMN05216182_0733	WP_015907065.1
fig|31899.10.peg.893|SAMN05216182_0735	WP_015907067.1
fig|31899.10.peg.894|SAMN05216182_0736	WP_015907068.1
fig|31899.10.peg.895|SAMN05216182_0737	WP_015907069.1
fig|31899.10.peg.898|SAMN05216182_0739	WP_015907071.1
fig|31899.10.peg.899|SAMN05216182_0740	WP_015907072.1
fig|31899.10.peg.900|SAMN05216182_0741	WP_015907073.1
fig|31899.10.peg.902|SAMN05216182_0742	WP_015907074.1
fig|31899.10.peg.906|SAMN05216182_0744	WP_015907075.1
fig|31899.10.peg.909|SAMN05216182_0746	WP_015907077.1
fig|31899.10.peg.914|SAMN05216182_0748	WP_015907079.1
fig|31899.10.peg.917	WP_049760238.1
fig|31899.10.peg.919|SAMN05216182_0751	WP_015907082.1
fig|31899.10.peg.922|SAMN05216182_0753	WP_015907083.1
fig|31899.10.peg.926|SAMN05216182_0757	WP_015907085.1
fig|31899.10.peg.927|SAMN05216182_0758	WP_013431064.1
fig|31899.10.peg.928|SAMN05216182_0759	WP_015907086.1
fig|31899.10.peg.930|SAMN05216182_0761	WP_015907087.1
fig|31899.10.peg.931|SAMN05216182_0762	WP_015907088.1
fig|31899.10.peg.932|SAMN05216182_0763	WP_015907089.1
fig|31899.10.peg.933|SAMN05216182_0764	WP_015907090.1
fig|31899.10.peg.934|SAMN05216182_0765	WP_015907091.1
fig|31899.10.peg.935|SAMN05216182_0766	WP_013431057.1
fig|31899.10.peg.936|SAMN05216182_0767	WP_015907092.1
fig|31899.10.peg.939|SAMN05216182_0770	WP_015907095.1
fig|31899.10.peg.940|SAMN05216182_0771	WP_013431052.1
fig|31899.10.peg.941|SAMN05216182_0772	WP_015907096.1
fig|31899.10.peg.943|SAMN05216182_0774	WP_013431048.1
fig|31899.10.peg.944|SAMN05216182_0775	WP_015907099.1
fig|31899.10.peg.945|SAMN05216182_0776	WP_015907100.1
fig|31899.10.peg.946|SAMN05216182_0777	WP_015907101.1
fig|31899.10.peg.947|SAMN05216182_0778	WP_015907102.1
fig|31899.10.peg.949|SAMN05216182_0779	WP_015907103.1
fig|31899.10.peg.950|SAMN05216182_0780	WP_015907104.1
fig|31899.10.peg.951|SAMN05216182_0781	WP_041727048.1
fig|31899.10.peg.954|SAMN05216182_0784	WP_015907108.1
fig|31899.10.peg.955|SAMN05216182_0785	WP_015907109.1
fig|31899.10.peg.956|SAMN05216182_0786	WP_015907110.1
fig|31899.10.peg.957|SAMN05216182_0787	WP_013431024.1
fig|31899.10.peg.958|SAMN05216182_0788	WP_015907111.1
fig|31899.10.peg.959|SAMN05216182_0789	WP_015907112.1
fig|31899.10.peg.960|SAMN05216182_0791	WP_015907113.1
fig|31899.10.peg.961|SAMN05216182_0792	WP_015907114.1
fig|31899.10.peg.962|SAMN05216182_0793	WP_015907115.1
fig|31899.10.peg.963|SAMN05216182_0794	WP_015907116.1
fig|31899.10.peg.965|SAMN05216182_0796	WP_015907118.1
fig|31899.10.peg.966|SAMN05216182_0797	WP_015907119.1
fig|31899.10.peg.967|SAMN05216182_0798	WP_015907120.1
fig|31899.10.peg.968|SAMN05216182_0799	WP_015907121.1
fig|31899.10.peg.969|SAMN05216182_0801	WP_015907122.1
fig|31899.10.peg.970|SAMN05216182_0802	WP_013431011.1
fig|31899.10.peg.971|SAMN05216182_0803	WP_015907123.1
fig|31899.10.peg.973|SAMN05216182_0805	WP_015907125.1
fig|31899.10.peg.974|SAMN05216182_0806	WP_015907126.1
fig|31899.10.peg.975|SAMN05216182_0807	WP_015907127.1
fig|31899.10.peg.976|SAMN05216182_0808	WP_013431005.1
fig|31899.10.peg.977|SAMN05216182_0809	WP_015907128.1
fig|31899.10.peg.978|SAMN05216182_0810	WP_015907129.1
fig|31899.10.peg.979|SAMN05216182_0811	WP_015907130.1
fig|31899.10.peg.982|SAMN05216182_0813	WP_015907132.1
fig|31899.10.peg.983|SAMN05216182_0815	WP_013289825.1
fig|31899.10.peg.984|SAMN05216182_0816	WP_015907133.1
fig|31899.10.peg.985|SAMN05216182_0817	WP_015907134.1
fig|31899.10.peg.986|SAMN05216182_0818	WP_015907135.1
fig|31899.10.peg.987|SAMN05216182_0819	WP_015907136.1
fig|31899.10.peg.988|SAMN05216182_0820	WP_015907137.1
fig|31899.10.peg.989|SAMN05216182_0821	WP_015907138.1
fig|31899.10.peg.990|SAMN05216182_0822	WP_015907139.1
fig|31899.10.peg.991|SAMN05216182_0823	WP_013430992.1
fig|31899.10.peg.992|SAMN05216182_0824	WP_015907140.1
fig|31899.10.peg.993|SAMN05216182_0825	WP_015907141.1
fig|31899.10.peg.994|SAMN05216182_0826	WP_015907142.1
fig|31899.10.peg.995|SAMN05216182_0827	WP_015907143.1
fig|31899.10.peg.996|SAMN05216182_0828	WP_015907144.1
fig|31899.10.peg.998|SAMN05216182_0829	WP_015907145.1
fig|31899.10.peg.999|SAMN05216182_0830	WP_015907146.1
fig|31899.10.peg.1000|SAMN05216182_0831	WP_015907147.1
fig|31899.10.peg.1001|SAMN05216182_0832	WP_015907148.1
fig|31899.10.peg.1002|SAMN05216182_0833	WP_015907149.1
fig|31899.10.peg.1003|SAMN05216182_0834	WP_013430979.1
fig|31899.10.peg.1005|SAMN05216182_0836	WP_015907151.1
fig|31899.10.peg.1006|SAMN05216182_0837	WP_015907152.1
fig|31899.10.peg.1007|SAMN05216182_0838	WP_015907153.1
fig|31899.10.peg.1008|SAMN05216182_0839	WP_015907154.1
fig|31899.10.peg.1009|SAMN05216182_0840	WP_015907155.1
fig|31899.10.peg.1010|SAMN05216182_0841	WP_015907156.1
fig|31899.10.peg.1011|SAMN05216182_0842	WP_015907157.1
fig|31899.10.peg.1012|SAMN05216182_0843	WP_015907158.1
fig|31899.10.peg.1013|SAMN05216182_0844	WP_015907159.1
fig|31899.10.peg.1015|SAMN05216182_0846	WP_015907161.1
fig|31899.10.peg.1016|SAMN05216182_0847	WP_015907162.1
fig|31899.10.peg.1017|SAMN05216182_0848	WP_015907163.1
fig|31899.10.peg.1018|SAMN05216182_0849	WP_015907164.1
fig|31899.10.peg.1019|SAMN05216182_0850	WP_015907165.1
fig|31899.10.peg.1020|SAMN05216182_0851	WP_015907166.1
fig|31899.10.peg.1021|SAMN05216182_0852	WP_015907167.1
fig|31899.10.peg.1023|SAMN05216182_0855	WP_015907169.1
fig|31899.10.peg.1024|SAMN05216182_0856	WP_015907170.1
fig|31899.10.peg.1025|SAMN05216182_0857	WP_015907171.1
fig|31899.10.peg.1026|SAMN05216182_0858	WP_015907172.1
fig|31899.10.peg.1027|SAMN05216182_0859	WP_015907173.1
fig|31899.10.peg.1029|SAMN05216182_0860	WP_015907174.1
fig|31899.10.peg.1030|SAMN05216182_0861	WP_015907175.1
fig|31899.10.peg.1031|SAMN05216182_0862	WP_015907176.1
fig|31899.10.peg.1032|SAMN05216182_0863	WP_015907177.1
fig|31899.10.peg.1033|SAMN05216182_0864	WP_015907178.1
fig|31899.10.peg.1034|SAMN05216182_0865	WP_015907179.1
fig|31899.10.peg.1035|SAMN05216182_0866	WP_015907180.1
fig|31899.10.peg.1036|SAMN05216182_0867	WP_015907181.1
fig|31899.10.peg.1037|SAMN05216182_0868	WP_015907182.1
fig|31899.10.peg.1038|SAMN05216182_0869	WP_015907183.1
fig|31899.10.peg.1039|SAMN05216182_0870	WP_015907184.1
fig|31899.10.peg.1043|SAMN05216182_0873	WP_015907186.1
fig|31899.10.peg.1045|SAMN05216182_0874	WP_015907187.1
fig|31899.10.peg.1046|SAMN05216182_0875	WP_015907188.1
fig|31899.10.peg.1051|SAMN05216182_0877	WP_015907189.1
fig|31899.10.peg.1052|SAMN05216182_0878	WP_015907190.1
fig|31899.10.peg.1053|SAMN05216182_0879	WP_015907191.1
fig|31899.10.peg.1054|SAMN05216182_0880	WP_015907192.1
fig|31899.10.peg.1055|SAMN05216182_0881	WP_015907193.1
fig|31899.10.peg.1056|SAMN05216182_0882	WP_015907194.1
fig|31899.10.peg.1057|SAMN05216182_0883	WP_015907195.1
fig|31899.10.peg.1059|SAMN05216182_0884	WP_015907196.1
fig|31899.10.peg.1060|SAMN05216182_0885	WP_015907197.1
fig|31899.10.peg.1061|SAMN05216182_0886	WP_013289899.1
fig|31899.10.peg.1062|SAMN05216182_0887	WP_013289901.1
fig|31899.10.peg.1064|SAMN05216182_0888	WP_015907198.1
fig|31899.10.peg.1065|SAMN05216182_0889	WP_015907199.1
fig|31899.10.peg.1066|SAMN05216182_0890	WP_015907200.1
fig|31899.10.peg.1067|SAMN05216182_0891	WP_015907201.1
fig|31899.10.peg.1068|SAMN05216182_0892	WP_015907202.1
fig|31899.10.peg.1069|SAMN05216182_0893	WP_015907203.1
fig|31899.10.peg.1070|SAMN05216182_0894	WP_041727071.1
fig|31899.10.peg.1071|SAMN05216182_0895	WP_015907205.1
fig|31899.10.peg.1072|SAMN05216182_0896	WP_015907206.1
fig|31899.10.peg.1073|SAMN05216182_0897	WP_015907207.1
fig|31899.10.peg.1074|SAMN05216182_0898	WP_013403882.1
fig|31899.10.peg.1075|SAMN05216182_0899	WP_015907208.1
fig|31899.10.peg.1076|SAMN05216182_0900	WP_015907209.1
fig|31899.10.peg.1078|SAMN05216182_0902	WP_015907210.1
fig|31899.10.peg.1079|SAMN05216182_0903	WP_015907211.1
fig|31899.10.peg.1080|SAMN05216182_0904	WP_015907212.1
fig|31899.10.peg.1081|SAMN05216182_0905	WP_015907213.1
fig|31899.10.peg.1082|SAMN05216182_0906	WP_015907214.1
fig|31899.10.peg.1083|SAMN05216182_0907	WP_015907215.1
fig|31899.10.peg.1084|SAMN05216182_0908	WP_015907216.1
fig|31899.10.peg.1086|SAMN05216182_0910	WP_015907218.1
fig|31899.10.peg.1088|SAMN05216182_0911	WP_015907219.1
fig|31899.10.peg.1089|SAMN05216182_0912	WP_015907220.1
fig|31899.10.peg.1090|SAMN05216182_0913	WP_015907221.1
fig|31899.10.peg.1091|SAMN05216182_0914	WP_015907222.1
fig|31899.10.peg.1093|SAMN05216182_0916	WP_015907224.1
fig|31899.10.peg.1094|SAMN05216182_0917	WP_013430895.1
fig|31899.10.peg.1095|SAMN05216182_0918	WP_015907225.1
fig|31899.10.peg.1096|SAMN05216182_0919	WP_015907226.1
fig|31899.10.peg.1097|SAMN05216182_0920	WP_015907227.1
fig|31899.10.peg.1098	WP_079504002.1
fig|31899.10.peg.1099|SAMN05216182_0922	WP_013430891.1
fig|31899.10.peg.1100|SAMN05216182_0923	WP_015907228.1
fig|31899.10.peg.1101|SAMN05216182_0924	WP_013430889.1
fig|31899.10.peg.1104|SAMN05216182_0927	WP_015907231.1
fig|31899.10.peg.1105|SAMN05216182_0928	WP_015907232.1
fig|31899.10.peg.1107|SAMN05216182_0929	WP_015907233.1
fig|31899.10.peg.1108	WP_041727075.1
fig|31899.10.peg.1109|SAMN05216182_0930	WP_015907234.1
fig|31899.10.peg.1110|SAMN05216182_0931	WP_015907235.1
fig|31899.10.peg.1111|SAMN05216182_0932	WP_015907236.1
fig|31899.10.peg.1115|SAMN05216182_0935	WP_015907237.1
fig|31899.10.peg.1124|SAMN05216182_0940	WP_015907238.1
fig|31899.10.peg.1125|SAMN05216182_0941	WP_015907239.1
fig|31899.10.peg.1126|SAMN05216182_0942	WP_015907240.1
fig|31899.10.peg.1127|SAMN05216182_0943	WP_041727077.1
fig|31899.10.peg.1128|SAMN05216182_0944	WP_015907242.1
fig|31899.10.peg.1129|SAMN05216182_0945	WP_015907243.1
fig|31899.10.peg.1130|SAMN05216182_0946	WP_013430872.1
fig|31899.10.peg.1131|SAMN05216182_0947	WP_013430871.1
fig|31899.10.peg.1136|SAMN05216182_0950	WP_013403845.1
fig|31899.10.peg.1139|SAMN05216182_0952	WP_013430869.1
fig|31899.10.peg.1140|SAMN05216182_0953	WP_015907245.1
fig|31899.10.peg.1142|SAMN05216182_0955	WP_015907247.1
fig|31899.10.peg.1143|SAMN05216182_0956	WP_041727080.1
fig|31899.10.peg.1144|SAMN05216182_0957	WP_015907249.1
fig|31899.10.peg.1145|SAMN05216182_0958	WP_015907250.1
fig|31899.10.peg.1146|SAMN05216182_0959	WP_015907251.1
fig|31899.10.peg.1149|SAMN05216182_0961	WP_015907252.1
fig|31899.10.peg.1150|SAMN05216182_0962	WP_015907253.1
fig|31899.10.peg.1151|SAMN05216182_0963	WP_015907254.1
fig|31899.10.peg.1152|SAMN05216182_0964	WP_015907255.1
fig|31899.10.peg.1153|SAMN05216182_0965	WP_015907256.1
fig|31899.10.peg.1154|SAMN05216182_0966	WP_015907257.1
fig|31899.10.peg.1155|SAMN05216182_0967	WP_015907258.1
fig|31899.10.peg.1156|SAMN05216182_0968	WP_015907259.1
fig|31899.10.peg.1157|SAMN05216182_0969	WP_015907260.1
fig|31899.10.peg.1158|SAMN05216182_0970	WP_015907261.1
fig|31899.10.peg.1159|SAMN05216182_0971	WP_015907262.1
fig|31899.10.peg.1160|SAMN05216182_0972	WP_015907263.1
fig|31899.10.peg.1162|SAMN05216182_0974	WP_015907265.1
fig|31899.10.peg.1163|SAMN05216182_0975	WP_013430845.1
fig|31899.10.peg.1164|SAMN05216182_0976	WP_015907266.1
fig|31899.10.peg.1165|SAMN05216182_0977	WP_015907267.1
fig|31899.10.peg.1166|SAMN05216182_0978	WP_015907268.1
fig|31899.10.peg.1168|SAMN05216182_0980	WP_015907270.1
fig|31899.10.peg.1169|SAMN05216182_0981	WP_015907271.1
fig|31899.10.peg.1170|SAMN05216182_0982	WP_015907272.1
fig|31899.10.peg.1171|SAMN05216182_0983	WP_015907273.1
fig|31899.10.peg.1172|SAMN05216182_0984	WP_015907274.1
fig|31899.10.peg.1176|SAMN05216182_0988	WP_015907278.1
fig|31899.10.peg.1177|SAMN05216182_0989	WP_015907279.1
fig|31899.10.peg.1178|SAMN05216182_0990	WP_015907280.1
fig|31899.10.peg.1179	WP_015907281.1
fig|31899.10.peg.1180	WP_015907282.1
fig|31899.10.peg.1181|SAMN05216182_0992	WP_015907283.1
fig|31899.10.peg.1182|SAMN05216182_0993	WP_015907284.1
fig|31899.10.peg.1184|SAMN05216182_0994	WP_015906731.1
fig|31899.10.peg.1185|SAMN05216182_0995	WP_015907285.1
fig|31899.10.peg.1186|SAMN05216182_0996	WP_011916452.1
fig|31899.10.peg.1187|SAMN05216182_0997	WP_015907286.1
fig|31899.10.peg.1188|SAMN05216182_0998	WP_015907287.1
fig|31899.10.peg.1189|SAMN05216182_0999	WP_015907288.1
fig|31899.10.peg.1192|SAMN05216182_1002	WP_015907291.1
fig|31899.10.peg.1193|SAMN05216182_1003	WP_015907292.1
fig|31899.10.peg.1194|SAMN05216182_1004	WP_015907293.1
fig|31899.10.peg.1195|SAMN05216182_1005	WP_015907294.1
fig|31899.10.peg.1196|SAMN05216182_1006	WP_015907295.1
fig|31899.10.peg.1197|SAMN05216182_1007	WP_015907296.1
fig|31899.10.peg.1198|SAMN05216182_1008	WP_012660747.1
fig|31899.10.peg.1200|SAMN05216182_1009	WP_015907297.1
fig|31899.10.peg.1201|SAMN05216182_1010	WP_015907298.1
fig|31899.10.peg.1202|SAMN05216182_1011	WP_015907299.1
fig|31899.10.peg.1203|SAMN05216182_1012	WP_015907300.1
fig|31899.10.peg.1204|SAMN05216182_1014	WP_015907301.1
fig|31899.10.peg.1205|SAMN05216182_1015	WP_015907302.1
fig|31899.10.peg.1206|SAMN05216182_1016	WP_015907303.1
fig|31899.10.peg.1207|SAMN05216182_1017	WP_015907304.1
fig|31899.10.peg.1208|SAMN05216182_1018	WP_015907305.1
fig|31899.10.peg.1209|SAMN05216182_1019	WP_015907306.1
fig|31899.10.peg.1210|SAMN05216182_1020	WP_015907307.1
fig|31899.10.peg.1211|SAMN05216182_1021	WP_015907308.1
fig|31899.10.peg.1212|SAMN05216182_1027	WP_015907309.1
fig|31899.10.peg.1213|SAMN05216182_1028	WP_015907310.1
fig|31899.10.peg.1216|SAMN05216182_1029	WP_015907311.1
fig|31899.10.peg.1217|SAMN05216182_1030	WP_015907312.1
fig|31899.10.peg.1218|SAMN05216182_1031	WP_015907313.1
fig|31899.10.peg.1219|SAMN05216182_1032	WP_015907314.1
fig|31899.10.peg.1220|SAMN05216182_1033	WP_015907315.1
fig|31899.10.peg.1222|SAMN05216182_1035	WP_015907317.1
fig|31899.10.peg.1225|SAMN05216182_1037	WP_015907319.1
fig|31899.10.peg.1226|SAMN05216182_1038	WP_015907320.1
fig|31899.10.peg.1227|SAMN05216182_1039	WP_015907321.1
fig|31899.10.peg.1228|SAMN05216182_1040	WP_015907322.1
fig|31899.10.peg.1230|SAMN05216182_1042	WP_015907324.1
fig|31899.10.peg.1231|SAMN05216182_1043	WP_015907325.1
fig|31899.10.peg.1233|SAMN05216182_1045	WP_015907327.1
fig|31899.10.peg.1234|SAMN05216182_1046	WP_015907328.1
fig|31899.10.peg.1235|SAMN05216182_1047	WP_015907329.1
fig|31899.10.peg.1237|SAMN05216182_1049	WP_015907331.1
fig|31899.10.peg.1240|SAMN05216182_1052	WP_015907333.1
fig|31899.10.peg.1241|SAMN05216182_1053	WP_013430797.1
fig|31899.10.peg.1242|SAMN05216182_1054	WP_015907334.1
fig|31899.10.peg.1243|SAMN05216182_1055	WP_013430795.1
fig|31899.10.peg.1244|SAMN05216182_1056	WP_015907335.1
fig|31899.10.peg.1245|SAMN05216182_1057	WP_015907336.1
fig|31899.10.peg.1246|SAMN05216182_1058	WP_015907337.1
fig|31899.10.peg.1247|SAMN05216182_1059	WP_015907338.1
fig|31899.10.peg.1248|SAMN05216182_1060	WP_015907339.1
fig|31899.10.peg.1249|SAMN05216182_1061	WP_015907340.1
fig|31899.10.peg.1250|SAMN05216182_1062	WP_015907341.1
fig|31899.10.peg.1251|SAMN05216182_1063	WP_015907342.1
fig|31899.10.peg.1252|SAMN05216182_1064	WP_015907343.1
fig|31899.10.peg.1253|SAMN05216182_1065	WP_015907344.1
fig|31899.10.peg.1254|SAMN05216182_1066	WP_015907345.1
fig|31899.10.peg.1255|SAMN05216182_1067	WP_015907346.1
fig|31899.10.peg.1256|SAMN05216182_1068	WP_015907347.1
fig|31899.10.peg.1257|SAMN05216182_1069	WP_041727092.1
fig|31899.10.peg.1258|SAMN05216182_1070	WP_015907349.1
fig|31899.10.peg.1259|SAMN05216182_1071	WP_015907350.1
fig|31899.10.peg.1260|SAMN05216182_1072	WP_015907351.1
fig|31899.10.peg.1261|SAMN05216182_1074	WP_015907352.1
fig|31899.10.peg.1262|SAMN05216182_1075	WP_015907353.1
fig|31899.10.peg.1263|SAMN05216182_1076	WP_015907354.1
fig|31899.10.peg.1264|SAMN05216182_1077	WP_015907355.1
fig|31899.10.peg.1265|SAMN05216182_1078	WP_013430775.1
fig|31899.10.peg.1266|SAMN05216182_1079	WP_013290052.1
fig|31899.10.peg.1267|SAMN05216182_1080	WP_013290053.1
fig|31899.10.peg.1268|SAMN05216182_1081	WP_015907356.1
