reaction,pH,ionic strength [M],dG'0 [kJ/mol],uncertainty [kJ/mol],ln(Reversibility Index),comment
praii,7.0,0.25,-9.83,1.35,-3.97,
prampc,7.0,0.25,-2706.81,116582.80,-0.02,
pratpp,7.0,0.25,-1813.17,141421.36,-27.34,
prmici,7.0,0.25,-9.77,1.35,-3.94,
prpps,7.0,0.25,2.02,2.02,0.41,
pscvt,7.0,0.25,-16.73,2.30,-3.38,
pta2,7.0,0.25,20.87,3.29,4.21,
ptar,7.0,0.25,8.88,0.61,1.79,
ptpati,7.0,0.25,-20.77,5.18,-4.19,
punp1,7.0,0.25,8.38,1.33,1.69,
punp2,7.0,0.25,10.01,3.39,2.02,
punp3,7.0,0.25,11.78,2.07,2.38,
punp4,7.0,0.25,16.73,3.77,3.38,
punp5,7.0,0.25,8.81,1.07,1.78,
punp6,7.0,0.25,9.23,1.69,1.86,
punp7,7.0,0.25,11.08,2.93,2.24,
pydamk,7.0,0.25,-12.97,2.71,-2.62,
pydxk,7.0,0.25,-14.46,1.99,-2.92,
pydxnk,7.0,0.25,-7.65,2.17,-1.54,
pydxpp,7.0,0.25,-12.91,1.99,-8.08,
pyk,7.0,0.25,-27.58,0.42,-5.57,
pynp2r,7.0,0.25,-0.14,1.31,-0.03,
quindh,7.0,0.25,16.10,2.93,3.25,
qulns,7.0,0.25,-217.31,4.24,-43.85,
r15bpk,7.0,0.25,10.96,2.61,2.21,
r1pk,7.0,0.25,-22.94,2.68,-4.63,
rbfk,7.0,0.25,-10.04,2.92,-2.03,
rbfsa,7.0,0.25,-96.09,8.43,-19.39,
rbfsb,7.0,0.25,-99.70,8.32,-20.12,
rmi,7.0,0.25,0.13,1.69,0.05,
rmk,7.0,0.25,-1.80,2.76,-0.36,
rndr1,7.0,0.25,-42.28,3.74,-8.53,
rndr2,7.0,0.25,-38.67,3.04,-7.80,
rndr3,7.0,0.25,-39.33,2.94,-7.94,
rndr4,7.0,0.25,-40.62,2.41,-8.20,
rz5pp,7.0,0.25,-15.48,1.25,-8.77,
s7pi,7.0,0.25,2.23,2.29,0.90,
sadt2,7.0,0.25,21.97,1.79,0.56,
sarcox,7.0,0.25,-70.47,6.35,-14.14,
sbtpd,7.0,0.25,14.59,1.73,2.94,
sdpds,7.0,0.25,7.96,3.74,-2.46,
selnps,7.0,0.25,800.22,141421.36,-22.19,
sephchcs,7.0,0.25,-5.70,5.07,-1.15,
sgsad,7.0,0.25,-41.38,1.09,-8.35,
shchcs3,7.0,0.25,-91.14,3.62,-29.13,
shchd2,7.0,0.25,2429.64,232257.75,-8.64,
shk3dr,7.0,0.25,-9.45,1.31,-1.91,
shkk,7.0,0.25,-23.70,2.84,-4.78,
spmdat1,7.0,0.25,-19.97,1.79,-4.03,
spmdat2,7.0,0.25,-19.95,1.79,-4.03,
spms,7.0,0.25,3.46,100000.00,0.70,
spodm,7.0,0.25,-34.32,200000.00,16.80,
spodmpp,7.0,0.25,-34.32,200000.00,16.80,
ssalx,7.0,0.25,-36.54,2.36,-7.37,
ssaly,7.0,0.25,-36.67,2.37,-7.40,
sucbzl,7.0,0.25,-15.35,1.46,-2.06,
sucbzs,7.0,0.25,-38.59,7.37,-15.58,
sucoas,7.0,0.25,-1.75,1.33,-0.24,
sucptspp,7.0,0.25,-37.10,3.09,-7.49,
sulri,7.0,0.25,-120.62,4.69,-12.17,
tagurr,7.0,0.25,18.26,1.44,3.69,
tala,7.0,0.25,-0.87,1.41,-0.18,
taudo,7.0,0.25,-180.45,70710.68,-22.78,
tdp,7.0,0.25,19.70,4.10,0.70,
tdpdre,7.0,0.25,-15.40,1.90,-6.21,
tdpdrr,7.0,0.25,1.22,1.59,0.25,
tdpgdh,7.0,0.25,-47.53,2.99,-19.19,
tdsk,7.0,0.25,-9.12,1.39,-1.84,
thd2pp,7.0,0.25,-0.13,0.34,-0.03,
thdps,7.0,0.25,26.00,5.20,5.25,
thfat,7.0,0.25,45.36,7.55,18.31,
thiordxi,7.0,0.25,-313.13,3.56,-79.65,
tmdk1,7.0,0.25,-17.37,2.99,-3.51,
tmdpp,7.0,0.25,5.02,4.48,1.01,
tmds,7.0,0.25,-45.15,2.94,-9.11,
tmk,7.0,0.25,43.17,4.46,8.71,
tmpk,7.0,0.25,-47.07,4.11,-9.50,
tmppp,7.0,0.25,-28.84,2.93,-5.82,
tpi,7.0,0.25,5.58,0.55,2.25,
trdr,7.0,0.25,-11.06,1.47,-2.23,
tre6pp,7.0,0.25,-7.53,2.21,-6.63,
tre6ps,7.0,0.25,-16.23,1.87,-3.27,
treptspp,7.0,0.25,-47.42,2.22,-9.57,
trps3,7.0,0.25,19.20,2.93,0.56,
uacgalppp,7.0,0.25,-27.04,3.36,-11.88,
uacgamppp,7.0,0.25,-28.28,4.84,-12.21,
uacmamo,7.0,0.25,-21.87,1.32,-2.94,
uag2e,7.0,0.25,1.53,2.68,0.62,
uagcvt,7.0,0.25,-14.77,3.71,-2.98,
uagdp,7.0,0.25,-8.47,2.93,-1.71,
uapgr,7.0,0.25,-58.35,1.30,-11.77,
udpg4e,7.0,0.25,2.92,0.83,1.18,
udpgalm,7.0,0.25,1.07,1.93,0.43,
udpgalppp,7.0,0.25,-34.22,3.98,-13.81,
udpgd,7.0,0.25,-19.25,2.20,-2.59,
udpgppp,7.0,0.25,-35.11,3.79,-14.05,
uglcurppp,7.0,0.25,-29.12,4.84,-12.44,
uglt,7.0,0.25,-0.89,1.27,-0.18,
ugmdds,7.0,0.25,-30.65,1.74,-4.12,
uhgada,7.0,0.25,-6.09,1.82,-6.24,
ula4nft,7.0,0.25,0.54,5.69,0.11,
umpk,7.0,0.25,-1.17,3.19,-0.24,
upp3mt,7.0,0.25,-263.17,289730.33,-35.41,
upp3s,7.0,0.25,-313.95,400000.00,-126.72,
uppdc1,7.0,0.25,-33.84,12.42,-13.76,
upprt,7.0,0.25,-16.51,4.39,-3.33,
urdglycd,7.0,0.25,-6.25,5.44,-1.26,
uric,7.0,0.25,-95.38,8.83,-18.16,
urik2,7.0,0.25,-15.47,4.38,-3.12,
xand,7.0,0.25,-22.45,4.68,-4.53,
xppt,7.0,0.25,-25.14,2.44,-5.07,
