reaction,pH,ionic strength [M],dG'0 [kJ/mol],uncertainty [kJ/mol],ln(Reversibility Index),comment
R05085,7.0,0.25,-10.74,1.91,-2.17,
R05086,7.0,0.25,-15.08,1.25,-8.66,
R05141,7.0,0.25,-12.93,1.78,-8.08,
R05142,7.0,0.25,-12.93,1.78,-8.08,
R05168,7.0,0.25,-6.96,1.82,-6.48,
R05332,7.0,0.25,-19.44,3.91,-3.92,
R05549,7.0,0.25,11.61,5.08,-1.48,
R05553,7.0,0.25,-88.32,7.81,-28.37,
R05577,7.0,0.25,nan,nan,nan,reaction is empty
R05578,7.0,0.25,nan,nan,nan,reaction is empty
R05605,7.0,0.25,16.24,2.07,-0.24,
R05606,7.0,0.25,-34.56,3.66,-13.95,
R05627,7.0,0.25,-31.50,1.30,-13.08,
R05629,7.0,0.25,1.44,3.45,0.29,
R05630,7.0,0.25,1.44,3.45,0.29,
R05633,7.0,0.25,-9.22,1.66,-1.86,
R05634,7.0,0.25,-6.99,4.27,-1.41,
R05636,7.0,0.25,-32.05,3.37,-6.47,
R05637,7.0,0.25,1809.69,100000.00,482.34,
R05662,7.0,0.25,-12.56,3.49,-2.53,
R05679,7.0,0.25,-18.24,1.50,-3.68,
R05680,7.0,0.25,-18.11,1.52,-3.66,
R05688,7.0,0.25,15.90,1.23,3.21,
R05711,7.0,0.25,-555.61,156096.76,-62.10,
R05743,7.0,0.25,nan,nan,nan,reaction is empty
R05789,7.0,0.25,-15.66,1.33,-8.82,
R05839,7.0,0.25,1.25,3.64,0.25,
R05850,7.0,0.25,-0.50,1.31,-0.20,
R05884,7.0,0.25,-76.56,6.15,-10.30,
R06178,7.0,0.25,nan,nan,nan,reaction is empty
R06447,7.0,0.25,-623.79,23.53,-27.97,
R06513,7.0,0.25,-47.53,2.99,-19.19,
R06514,7.0,0.25,-15.40,1.90,-6.21,
R06590,7.0,0.25,4.45,48207.30,0.90,
R06613,7.0,0.25,-70.34,2.72,-9.46,
R06895,7.0,0.25,27.83,200000.00,-3.28,
R07133,7.0,0.25,14.59,1.73,2.94,
R07159,7.0,0.25,-26.10,5.90,-3.51,
R07161,7.0,0.25,10.52,6.88,1.06,
R07168,7.0,0.25,-43.53,4.18,-8.78,
R07175,7.0,0.25,-12.50,3.37,0.74,
R07237,7.0,0.25,-126.00,144865.16,-25.43,
R07238,7.0,0.25,-137.17,144865.16,-27.68,
R07264_kz,7.0,0.25,0.60,2.61,0.12,
R07280,7.0,0.25,-15.21,1.25,-8.70,
R07281,7.0,0.25,-85.33,2.06,-27.57,
R07399,7.0,0.25,-43.32,2.64,-8.74,
R07404,7.0,0.25,-57.35,6.04,-7.72,
R07405,7.0,0.25,30.54,6.03,12.33,
R07413,7.0,0.25,-8.86,2.73,-6.99,
R07456,7.0,0.25,-305.63,5.17,-41.12,
R07605,7.0,0.25,-73.44,100000.00,-9.88,
R07613,7.0,0.25,-60.54,4.93,-12.22,
R08127,7.0,0.25,31.07,4.43,3.75,
R08198,7.0,0.25,21.26,1.87,4.29,
R08210,7.0,0.25,81.41,6.15,10.95,
R08218,7.0,0.25,nan,nan,nan,reaction is empty
R08221,7.0,0.25,-21.06,1.98,-10.27,
R08231,7.0,0.25,-28.91,2.61,-5.83,
R08237,7.0,0.25,1321.46,141421.36,-8.57,
R08238,7.0,0.25,-28.84,2.61,-5.82,
R08240,7.0,0.25,219.70,141421.36,-8.73,
R08244,7.0,0.25,-244.82,141421.36,-16.39,
R08245,7.0,0.25,1322.81,141421.36,-8.30,
R08260,7.0,0.25,26.77,4.43,2.60,
R08359,7.0,0.25,3.46,100000.00,0.70,
R08368,7.0,0.25,18.42,2.57,3.72,
R08553,7.0,0.25,22.66,4.74,6.42,
R08575,7.0,0.25,-0.87,1.41,-0.18,
R08612_kz,7.0,0.25,nan,nan,nan,reaction is empty
R08614_kz,7.0,0.25,nan,nan,nan,reaction is empty
R08648,7.0,0.25,-21.15,4.91,-4.27,
R08689,7.0,0.25,-1904.08,100000.00,-256.17,
R08924,7.0,0.25,-8.48,1.44,-1.14,
R09030,7.0,0.25,-2.00,0.47,-0.81,
R09099,7.0,0.25,-11.52,2.93,-2.32,
R09365,7.0,0.25,-63.20,141421.36,0.00,
R09394,7.0,0.25,-291.38,104813.72,-35.57,
R09592,7.0,0.25,-25.44,2.40,-3.42,
R09593,7.0,0.25,-11.12,5.36,-1.50,
R09660,7.0,0.25,-20.60,2.70,-10.15,
R09726,7.0,0.25,843.39,141421.36,-0.28,
R09735,7.0,0.25,nan,nan,nan,reaction is not chemically balanced
R09942,7.0,0.25,12.70,2.35,2.56,
R09952,7.0,0.25,0.00,0.00,0.00,
R09959,7.0,0.25,2708.10,100000.00,-16.81,
R09978,7.0,0.25,-101.38,100000.00,-13.64,
R10002,7.0,0.25,-57.62,6.41,-20.11,
R10035,7.0,0.25,-10.43,1.80,-7.41,
R10039,7.0,0.25,-15.11,4.43,-8.67,
R10040,7.0,0.25,-15.11,4.43,-8.67,
R10089,7.0,0.25,-303.55,5.17,-40.84,
R10147,7.0,0.25,-99.00,5.47,-22.03,
R10170,7.0,0.25,-4.09,0.67,-1.65,
R10209,7.0,0.25,nan,nan,nan,reaction is empty
R10244,7.0,0.25,12.62,2.66,2.55,
R10339,7.0,0.25,-62.10,6.52,-12.53,
R10712,7.0,0.25,-40.13,4.31,-9.24,
R10807,7.0,0.25,nan,nan,nan,reaction is empty
R10810,7.0,0.25,0.00,0.00,0.00,
R10811_kz,7.0,0.25,nan,nan,nan,reaction is empty
R10859,7.0,0.25,nan,nan,nan,reaction is empty
R10867,7.0,0.25,4.81,3.45,-3.31,
R11307_kz,7.0,0.25,nan,nan,nan,reaction is empty
R11308_kz,7.0,0.25,-14.86,6.85,-8.60,
R11308_kz2,7.0,0.25,-40.45,5.95,-14.82,
R11312,7.0,0.25,-58.16,141421.36,-12.15,
R11323,7.0,0.25,-36.33,2.61,-14.38,
R11372,7.0,0.25,nan,nan,nan,reaction is not chemically balanced
R11398_kz,7.0,0.25,5.83,3.16,1.18,
R11581,7.0,0.25,1351.45,156772.02,-0.35,
R11624,7.0,0.25,-1.68,1.83,-0.68,
R11633,7.0,0.25,-59.36,4.23,-11.98,
R11634,7.0,0.25,-65.32,5.15,-13.18,
R11635,7.0,0.25,-67.71,4.06,-13.66,
R11636,7.0,0.25,-60.85,3.96,-12.28,
R11719,7.0,0.25,nan,nan,nan,reaction is empty
R12152,7.0,0.25,252.71,59929.54,51.00,
Ram106B,7.0,0.25,nan,nan,nan,reaction is empty
RhiN,7.0,0.25,nan,nan,nan,reaction is empty
RibU,7.0,0.25,-27.37,0.30,-11.97,
TECA1S45_Cbes,7.0,0.25,nan,nan,nan,reaction is empty
TECA2S45_Cbes,7.0,0.25,nan,nan,nan,reaction is empty
TECA3S45_Cbes,7.0,0.25,nan,nan,nan,reaction is empty
TECA4S_Cbes,7.0,0.25,nan,nan,nan,reaction is empty
THZPSN,7.0,0.25,-254.34,100000.00,-23.29,
TP_CO,7.0,0.25,nan,nan,nan,reaction is empty
TP_CO2,7.0,0.25,nan,nan,nan,reaction is empty
TP_H2,7.0,0.25,nan,nan,nan,reaction is empty
TP_NH3,7.0,0.25,nan,nan,nan,reaction is empty
ThiT,7.0,0.25,nan,nan,nan,reaction is empty
TrkH,7.0,0.25,nan,nan,nan,reaction is empty
XLBASE,7.0,0.25,9.72,4.50,-1.99,
XOSASE,7.0,0.25,nan,nan,nan,reaction is empty
XylS,7.0,0.25,nan,nan,nan,reaction is empty
Xylase,7.0,0.25,nan,nan,nan,reaction is empty
XyloseABC,7.0,0.25,-27.37,0.30,-11.97,
Zn2efflux,7.0,0.25,nan,nan,nan,reaction is empty
axosABC,7.0,0.25,nan,nan,nan,reaction is empty
caEfflux,7.0,0.25,-27.37,0.30,-11.97,
carb_met,7.0,0.25,nan,nan,nan,reaction is empty
celbABC,7.0,0.25,-27.37,0.30,-11.97,
cellwall_met,7.0,0.25,nan,nan,nan,reaction is empty
coEfflux,7.0,0.25,-27.37,0.30,-11.97,
cosABC,7.0,0.25,-27.37,0.30,-11.97,
cuEfflux,7.0,0.25,-27.37,0.30,-11.97,
cysT,7.0,0.25,nan,nan,nan,reaction is empty
dna_met,7.0,0.25,nan,nan,nan,reaction is empty
fe2t,7.0,0.25,-24.56,1.35,-11.21,
fucABC,7.0,0.25,-27.37,0.30,-11.97,
glyASE,7.0,0.25,nan,nan,nan,reaction is empty
h2ot,7.0,0.25,nan,nan,nan,reaction is empty
hco3,7.0,0.25,-5.19,3.10,-2.09,
hco3ABC,7.0,0.25,-27.37,0.30,-11.97,
ileABC,7.0,0.25,-27.37,0.30,-11.97,
kojABC,7.0,0.25,-27.37,0.30,-11.97,
lacABC,7.0,0.25,-27.37,0.30,-11.97,
leuABC,7.0,0.25,-27.37,0.30,-11.97,
lipid_met,7.0,0.25,nan,nan,nan,reaction is empty
lta_met,7.0,0.25,nan,nan,nan,reaction is empty
malABC,7.0,0.25,-27.37,0.30,-11.97,
malateT,7.0,0.25,nan,nan,nan,reaction is empty
manABC,7.0,0.25,-27.37,0.30,-11.97,
mdosABC,7.0,0.25,nan,nan,nan,reaction is empty
melibABC,7.0,0.25,-27.37,0.30,-11.97,
moABC,7.0,0.25,-27.37,0.30,-11.97,
mosABC,7.0,0.25,nan,nan,nan,reaction is empty
nh4,7.0,0.25,0.00,0.00,inf,
nh4t,7.0,0.25,nan,nan,nan,reaction is empty
niUpt,7.0,0.25,-27.37,0.30,-11.97,
piABC,7.0,0.25,-27.37,0.30,-11.97,
piH,7.0,0.25,-17.02,0.19,-9.18,
pit,7.0,0.25,nan,nan,nan,reaction is empty
posABC,7.0,0.25,nan,nan,nan,reaction is empty
posABC-2,7.0,0.25,nan,nan,nan,reaction is empty
pro_met,7.0,0.25,nan,nan,nan,reaction is empty
rhaABC,7.0,0.25,-27.37,0.30,-11.97,
rhaosABC,7.0,0.25,nan,nan,nan,reaction is empty
rna_met,7.0,0.25,nan,nan,nan,reaction is empty
sink_biomass,7.0,0.25,nan,nan,nan,reaction is empty
sink_dads,7.0,0.25,nan,nan,nan,reaction is not chemically balanced
sink_gatp,7.0,0.25,nan,nan,nan,reaction is empty
sink_hybenalcohol,7.0,0.25,nan,nan,nan,reaction is not chemically balanced
sink_preQ1,7.0,0.25,nan,nan,nan,reaction is not chemically balanced
sink_suc,7.0,0.25,nan,nan,nan,reaction is not chemically balanced
starchASE,7.0,0.25,nan,nan,nan,reaction is empty
trace_met,7.0,0.25,nan,nan,nan,reaction is empty
trehABC,7.0,0.25,-27.37,0.30,-11.97,
uraUpt,7.0,0.25,nan,nan,nan,reaction is empty
valABC,7.0,0.25,-27.37,0.30,-11.97,
vb12ABC,7.0,0.25,-27.37,0.30,-11.97,
wo4ABC,7.0,0.25,-27.37,0.30,-11.97,
xgosABC-1,7.0,0.25,nan,nan,nan,reaction is empty
xgosABC-2,7.0,0.25,nan,nan,nan,reaction is empty
xosABC,7.0,0.25,nan,nan,nan,reaction is empty
xosABC-2,7.0,0.25,nan,nan,nan,reaction is empty
znABC,7.0,0.25,-27.37,0.30,-11.97,
znEfflux,7.0,0.25,-27.37,0.30,-11.97,
R07160,7.0,0.25,-6.14,6.75,-0.62,
R08566,7.0,0.25,-7.42,7.16,-0.75,
R08567,7.0,0.25,-6.14,6.75,-0.62,
R00228,7.0,0.25,17.62,1.20,0.08,
R00754,7.0,0.25,-21.11,0.32,-4.26,
Rnf,7.0,0.25,-15.98,5.89,-2.15,
